Tweet Id 	 Latitude 	 Longitude 	 Continent
5	-21.2134	-47.818	South America	
35	40.9307	-74.1439	North America	
52	33.836	-83.8985	North America	
62	-22.803	-47.4357	South America	
67	-6.16896	106.827	Asia	
68	40.9308	-74.1438	North America	
77	1.00185	116.394	Asia	
122	-7.27568	-35.9777	South America	
128	-7.27568	-35.9777	South America	
130	-7.27568	-35.9777	South America	
132	-7.27568	-35.9777	South America	
135	-7.27568	-35.9777	South America	
137	42.3144	-70.9703	North America	
149	52.3834	13.1196	Europe	
183	44.9022	-0.710472	Europe	
185	38.9637	35.2433	Asia	
205	-15.7763	-47.7966	South America	
211	52.3834	13.1196	Europe	
222	48.7734	2.07451	Europe	
274	-23.3921	-46.4539	South America	
278	-22.803	-47.4357	South America	
283	48.383	31.1814	Europe	
296	33.836	-83.8985	North America	
305	49.4434	2.0882	Europe	
311	18.467	-66.0907	North America	
313	52.3834	13.1196	Europe	
317	38.9637	35.2433	Asia	
337	-6.24007	-36.4424	South America	
358	-23.6828	-46.5955	South America	
377	32.9604	-96.791	North America	
394	-22.803	-47.4357	South America	
396	-13.997	-42.4764	South America	
401	-23.6828	-46.5955	South America	
417	40.6974	-73.9797	North America	
418	40.6974	-73.9797	North America	
449	-5.79931	-35.2216	South America	
453	40.0457	-75.1353	North America	
467	25.8931	-80.1657	North America	
476	45.2217	-123.204	North America	
479	41.1732	-73.2781	North America	
484	25.8931	-80.1657	North America	
495	51.5207	-0.142822	Europe	
525	51.5207	-0.142822	Europe	
536	52.3834	13.1196	Europe	
569	52.3871	13.1165	Europe	
585	-3.1107	-41.4845	South America	
631	52.3834	13.1196	Europe	
643	14.834	120.735	Asia	
667	37.0606	-76.4426	North America	
681	-6.13803	106.919	Asia	
688	39.2846	-76.6205	North America	
724	34.0019	-117.955	North America	
754	44.9008	-89.5695	North America	
763	-3.33513	114.61	Asia	
780	-3.33172	114.611	Asia	
794	52.3834	13.1196	Europe	
799	-5.79931	-35.2216	South America	
821	51.5207	-0.142822	Europe	
840	6.07036	102.29	Asia	
841	3.10189	101.64	Asia	
848	-30.0997	-51.1593	South America	
854	-29.9153	-51.1771	South America	
864	-23.6828	-46.5955	South America	
867	-29.5646	-50.8009	South America	
868	51.5207	-0.142822	Europe	
869	39.857	-84.1133	North America	
892	55.1559	61.3679	Europe	
893	52.3834	13.1196	Europe	
898	44.9008	-89.5695	North America	
903	-23.6828	-46.5955	South America	
907	51.4891	-0.0874363	Europe	
908	-29.5646	-50.8009	South America	
936	39.4224	-0.352529	Europe	
939	-36.7374	-71.0353	South America	
946	-22.916	-43.4474	South America	
956	52.3834	13.1196	Europe	
965	32.3085	-106.731	North America	
970	52.3871	13.1165	Europe	
971	-6.16896	106.827	Asia	
977	-36.7374	-71.0353	South America	
1013	52.5067	13.4246	Europe	
1015	39.983	-82.9773	North America	
1034	52.3834	13.1196	Europe	
1035	-5.14383	119.426	Asia	
1041	52.3871	13.1165	Europe	
1043	51.5207	-0.142822	Europe	
1046	-23.417	-54.5603	South America	
1049	3.03296	101.654	Asia	
1055	-6.97268	106.792	Asia	
1059	1.50756	103.776	Asia	
1065	1.39259	103.905	Asia	
1084	-5.12661	119.421	Asia	
1092	-22.916	-43.4474	South America	
1098	48.7793	9.17735	Europe	
1116	43.6293	-79.2725	North America	
1127	42.378	-83.2668	North America	
1136	39.3119	26.6559	Asia	
1151	52.3834	13.1196	Europe	
1154	42.378	-83.2668	North America	
1180	51.5207	-0.142822	Europe	
1205	-15.7763	-47.7966	South America	
1206	32.5886	-82.3389	North America	
1221	52.3871	13.1165	Europe	
1238	41.3253	-74.167	North America	
1246	-22.1148	-45.0354	South America	
1252	38.9637	35.2433	Asia	
1261	49.2707	-122.754	North America	
1269	52.3834	13.1196	Europe	
1271	43.889	-79.0082	North America	
1272	51.5207	-0.142822	Europe	
1279	52.3871	13.1165	Europe	
1294	30.3449	-81.6831	North America	
1303	-6.30174	107.116	Asia	
1321	-23.6828	-46.5955	South America	
1328	34.1091	-118.262	North America	
1336	50.652	-4.03372	Europe	
1341	52.0046	4.21273	Europe	
1361	-6.21154	106.845	Asia	
1406	35.1688	136.898	Asia	
1412	32.6753	-97.044	North America	
1418	40.5247	-3.81615	Europe	
1446	33.855	-84.5158	North America	
1464	34.7955	-85.003	North America	
1476	36.3998	-78.1593	North America	
1478	-6.16896	106.827	Asia	
1481	52.3834	13.1196	Europe	
1489	52.3871	13.1165	Europe	
1494	-7.268	112.781	Asia	
1501	52.6316	5.07012	Europe	
1505	52.3834	13.1196	Europe	
1512	49.1994	-122.913	North America	
1525	-8.0436	-34.9394	South America	
1532	13.7355	100.553	Asia	
1571	42.9904	-7.57063	Europe	
1574	3.03296	101.654	Asia	
1584	40.651	-73.8712	North America	
1602	45.7578	4.8351	Europe	
1609	51.5207	-0.142822	Europe	
1623	-1.16096	116.877	Asia	
1626	-1.16096	116.877	Asia	
1641	50.7261	-3.53657	Europe	
1650	-8.0436	-34.9394	South America	
1669	5.90749	116.094	Asia	
1699	51.5207	-0.142822	Europe	
1705	51.5207	-0.142822	Europe	
1711	3.14845	101.705	Asia	
1716	3.14441	101.731	Asia	
1760	48.383	31.1814	Europe	
1776	-6.14776	106.19	Asia	
1803	39.0947	-9.04127	Europe	
1815	51.5207	-0.142822	Europe	
1820	34.1922	-119.185	North America	
1838	-22.1609	-54.8613	South America	
1839	50.652	-4.03372	Europe	
1842	39.4207	26.8072	Asia	
1888	48.8588	2.34693	Europe	
1894	25.6412	-100.294	North America	
1895	52.3834	13.1196	Europe	
1906	50.7378	3.25392	Europe	
1919	1.43312	103.791	Asia	
1959	51.5207	-0.142822	Europe	
1963	52.3834	13.1196	Europe	
1966	-23.6828	-46.5955	South America	
1967	51.9995	4.36409	Europe	
1995	-22.8437	-47.2618	South America	
2008	32.5286	-92.6343	North America	
2011	32.8207	-96.7315	North America	
2017	23.4681	-106.272	North America	
2019	-22.9713	-53.0798	South America	
2020	51.5207	-0.142822	Europe	
2038	51.5207	-0.142822	Europe	
2045	-23.6828	-46.5955	South America	
2087	-23.6828	-46.5955	South America	
2100	52.3834	13.1196	Europe	
2141	-23.2473	-45.8929	South America	
2147	-23.2466	-45.8885	South America	
2152	-23.1117	-47.1947	South America	
2161	51.6121	5.1551	Europe	
2182	33.0779	-83.2325	North America	
2185	51.4631	-0.112945	Europe	
2196	52.3834	13.1196	Europe	
2245	-2.57242	-59.9803	South America	
2253	-6.16896	106.827	Asia	
2255	10.5943	-66.9517	South America	
2259	34.0209	-118.211	North America	
2280	39.983	-82.9773	North America	
2281	-36.7374	-71.0353	South America	
2304	51.5207	-0.142822	Europe	
2307	32.6782	-83.1783	North America	
2310	4.94955	114.842	Asia	
2387	34.0209	-118.211	North America	
2405	52.3834	13.1196	Europe	
2411	-6.22012	107.06	Asia	
2440	52.3834	13.1196	Europe	
2444	32.6782	-83.1783	North America	
2445	42.3979	-71.1729	North America	
2447	42.6217	-87.8793	North America	
2448	-6.22135	106.835	Asia	
2450	38.0355	-78.6919	North America	
2476	3.14845	101.705	Asia	
2485	52.3871	13.1165	Europe	
2487	52.3834	13.1196	Europe	
2506	51.5207	-0.142822	Europe	
2526	51.5207	-0.142822	Europe	
2542	49.1994	-122.913	North America	
2569	-22.8952	-47.0303	South America	
2574	51.5207	-0.142822	Europe	
2577	51.5207	-0.142822	Europe	
2581	40.854	14.2435	Europe	
2595	-7.26799	112.781	Asia	
2613	-22.7241	-47.2901	South America	
2618	18.1163	-66.1405	North America	
2632	-26.4195	-51.8397	South America	
2660	34.0209	-118.211	North America	
2675	-25.4912	-50.8622	South America	
2677	41.7837	-87.5886	North America	
2704	-7.30859	112.764	Asia	
2741	50.2654	-5.06791	Europe	
2744	-23.6828	-46.5955	South America	
2756	42.4842	-96.3822	North America	
2760	52.3834	13.1196	Europe	
2762	51.5207	-0.142822	Europe	
2771	0.247298	-51.0637	South America	
2803	37.7653	-122.199	North America	
2812	48.8588	2.34693	Europe	
2819	-1.27293	-48.4598	South America	
2822	-9.75808	-36.6473	South America	
2833	52.3834	13.1196	Europe	
2865	52.3834	13.1196	Europe	
2867	51.5207	-0.142822	Europe	
2871	-6.19018	106.847	Asia	
2875	-23.6828	-46.5955	South America	
2890	40.2628	-75.6091	North America	
2899	40.6974	-73.9797	North America	
2911	49.1994	-122.913	North America	
2927	51.5207	-0.142822	Europe	
2935	41.3941	2.1393	Europe	
2945	-23.6828	-46.5955	South America	
2947	33.516	-86.7487	North America	
2954	52.3834	13.1196	Europe	
2959	-6.90558	107.626	Asia	
2962	51.5207	-0.142822	Europe	
2965	52.3834	13.1196	Europe	
2966	51.5207	-0.142822	Europe	
2967	41.397	-81.8414	North America	
2982	19.5092	-99.1324	North America	
2983	-23.6828	-46.5955	South America	
2986	48.383	31.1814	Europe	
2993	3.07154	101.74	Asia	
2997	52.3834	13.1196	Europe	
3003	-6.90558	107.626	Asia	
3047	51.5207	-0.142822	Europe	
3064	-26.2617	-48.9665	South America	
3067	51.5207	-0.142822	Europe	
3071	-23.3921	-46.4538	South America	
3081	-7.76838	110.389	Asia	
3083	59.9341	30.3287	Europe	
3086	3.30965	101.55	Asia	
3090	51.5207	-0.142822	Europe	
3115	52.3834	13.1196	Europe	
3117	51.7495	-1.24103	Europe	
3126	39.4207	26.8072	Asia	
3136	52.3834	13.1196	Europe	
3142	51.5207	-0.142822	Europe	
3167	39.4207	26.8072	Asia	
