Tweet Id 	 Latitude 	 Longitude 	 Continent
556	39.5878	-104.898	North America	
944	-27.6534	-51.0923	South America	
1128	53.4424	-2.23348	Europe	
1162	3.11023	101.723	Asia	
1211	-6.23597	106.988	Asia	
1614	41.9888	-70.9708	North America	
1675	-33.4782	-70.7266	South America	
2000	-11.0019	-37.1007	South America	
2216	-11.0019	-37.1007	South America	
2295	41.9383	-93.3898	North America	
2518	-23.6828	-46.5955	South America	
2699	-25.4951	-49.2884	South America	
2714	59.0838	17.5272	Europe	
2917	-25.4951	-49.2884	South America	
4132	-12.8753	-38.5026	South America	
4171	19.2708	-99.6499	North America	
4265	51.5207	-0.142822	Europe	
4477	36.1817	-115.07	North America	
4925	-36.7374	-71.0353	South America	
5052	0.0188369	-51.0824	South America	
5101	19.6014	-90.3361	North America	
5124	-6.90558	107.626	Asia	
5133	-21.2133	-47.818	South America	
5147	19.6014	-90.3361	North America	
5276	13.6917	100.754	Asia	
5332	-6.90558	107.626	Asia	
5338	5.95737	116.111	Asia	
5390	29.8239	-95.4621	North America	
5415	59.0838	17.5272	Europe	
5448	-23.6828	-46.5955	South America	
5455	-6.93602	107.637	Asia	
5513	59.0838	17.5272	Europe	
5606	-19.9187	-43.9598	South America	
5895	19.6596	-99.1159	North America	
5958	-6.23424	106.826	Asia	
6012	-6.21357	106.819	Asia	
6057	51.4666	-3.20636	Europe	
6179	-5.18848	119.441	Asia	
7263	19.2708	-99.6499	North America	
7390	43.0579	-87.9671	North America	
8215	3.47484	-76.5201	South America	
8745	-6.16896	106.827	Asia	
9244	3.14845	101.705	Asia	
9369	-1.62225	103.641	Asia	
9386	-11.0019	-37.1007	South America	
9538	51.3927	6.14925	Europe	
9688	-23.47	-47.4366	South America	
9916	0.0188567	-51.0825	South America	
10990	-26.3075	27.9439	Africa	
10994	-6.90558	107.626	Asia	
10995	50.3881	-4.11457	Europe	
11057	50.3881	-4.11457	Europe	
11328	-25.4951	-49.2884	South America	
11341	-6.90558	107.626	Asia	
11446	-36.7374	-71.0353	South America	
11626	-22.3971	-47.613	South America	
11878	25.6503	-100.366	North America	
12054	-23.6828	-46.5955	South America	
12076	41.9383	-93.3898	North America	
12471	-24.018	-46.5015	South America	
12893	-5.18745	-37.3473	South America	
13636	2.9838	101.77	Asia	
14549	-6.24431	107.036	Asia	
14998	-6.89042	107.593	Asia	
15061	1.5254	103.838	Asia	
15090	-8.65053	115.205	Asia	
15274	-33.4464	-70.5553	South America	
15315	51.867	0.555831	Europe	
15517	-7.9725	112.629	Asia	
15738	-22.8952	-47.0303	South America	
15798	-21.2133	-47.818	South America	
15863	-5.18745	-37.3473	South America	
16298	19.2708	-99.6499	North America	
16371	42.0924	-76.8095	North America	
16440	19.2767	-99.1655	North America	
16492	51.5207	-0.142822	Europe	
16509	3.11023	101.723	Asia	
16532	-23.5334	-46.7845	South America	
16630	33.3795	-111.965	North America	
16632	3.03296	101.654	Asia	
17021	3.03296	101.654	Asia	
17739	51.2517	-0.198239	Europe	
18138	-6.22089	106.6	Asia	
18761	-23.6828	-46.5955	South America	
19635	34.1493	-77.8971	North America	
19793	-22.9195	-43.073	South America	
19970	53.7594	-2.71447	Europe	
20338	-11.0019	-37.1007	South America	
20498	51.7676	-0.575282	Europe	
20541	-25.4953	-49.2884	South America	
20572	-15.7763	-47.7966	South America	
21087	-15.7763	-47.7966	South America	
21202	-5.79931	-35.2216	South America	
21246	19.2708	-99.6499	North America	
21250	19.2708	-99.6499	North America	
21350	-6.16896	106.827	Asia	
21859	25.7917	-100.181	North America	
22497	-23.666	-46.4412	South America	
22708	-23.513	-51.0998	South America	
22726	39.6421	-77.8214	North America	
23046	51.9501	7.62409	Europe	
23107	-25.4951	-49.2884	South America	
23853	-23.6828	-46.5955	South America	
23900	-23.6661	-46.4412	South America	
23921	-23.6661	-46.4412	South America	
24108	43.6251	1.33179	Europe	
24114	-7.2771	112.717	Asia	
24116	-23.619	-46.7597	South America	
24138	-23.6828	-46.5955	South America	
24175	-7.2771	112.717	Asia	
24201	1.30065	103.885	Asia	
24204	-7.80284	110.375	Asia	
24479	-7.98	112.63	Asia	
24510	-7.98	112.63	Asia	
24865	35.4377	139.43	Asia	
25138	22.6263	88.4172	Asia	
25153	22.6263	88.4172	Asia	
25253	22.6263	88.4172	Asia	
25275	19.2708	-99.6499	North America	
25281	-22.916	-43.4474	South America	
25667	1.32376	103.845	Asia	
26082	53.8318	-1.38515	Europe	
26099	19.2708	-99.6499	North America	
26753	35.664	139.768	Asia	
26972	23.7462	90.4113	Asia	
27112	-7.9157	110.264	Asia	
27135	-7.9157	110.264	Asia	
27607	-7.98	112.63	Asia	
27984	39.6477	-104.997	North America	
28080	3.60295	98.6751	Asia	
28247	59.9342	30.3287	Europe	
28387	41.2366	-8.33199	Europe	
28686	-6.21154	106.845	Asia	
28745	-6.21154	106.845	Asia	
28807	-6.21154	106.845	Asia	
28849	-6.21154	106.845	Asia	
28892	-6.21154	106.845	Asia	
28915	-6.21154	106.845	Asia	
28940	50.3881	-4.11457	Europe	
28952	-6.21154	106.845	Asia	
29005	40.4331	-104.754	North America	
29009	-6.21154	106.845	Asia	
29105	50.3881	-4.11457	Europe	
29415	34.0209	-118.211	North America	
29421	45.552	-73.7359	North America	
29996	-6.21154	106.845	Asia	
30061	-5.18745	-37.3473	South America	
30315	-5.18745	-37.3473	South America	
30401	-6.92278	107.695	Asia	
30578	39.7643	-104.855	North America	
30591	39.0106	-76.7801	North America	
30842	51.7676	-0.575282	Europe	
31023	19.6014	-90.3361	North America	
31084	40.4331	-104.754	North America	
31112	39.6477	-104.997	North America	
31257	-26.2617	-48.9665	South America	
31344	39.2527	-84.7921	North America	
31618	39.2527	-84.7921	North America	
32713	39.6477	-104.997	North America	
32730	19.2708	-99.6499	North America	
32950	35.5074	139.762	Asia	
32962	35.5074	139.762	Asia	
33004	35.4008	139.376	Asia	
33211	39.6477	-104.997	North America	
33224	-29.0686	-51.0353	South America	
33262	50.3881	-4.11457	Europe	
33287	50.3881	-4.11457	Europe	
33306	50.3881	-4.11457	Europe	
33346	50.3881	-4.11457	Europe	
33907	36.4199	-82.0676	North America	
34522	-22.916	-43.4473	South America	
34634	39.6477	-104.997	North America	
34933	50.3881	-4.11457	Europe	
35234	-5.18745	-37.3473	South America	
35465	52.9554	-2.28748	Europe	
35978	51.5943	-0.352264	Europe	
36035	-6.56218	106.771	Asia	
36077	51.529	-0.134479	Europe	
36243	34.1871	-118.925	North America	
36484	-7.90244	110.267	Asia	
36554	51.5436	-0.275154	Europe	
37037	-23.6828	-46.5955	South America	
37086	3.14845	101.705	Asia	
37145	3.14845	101.705	Asia	
37725	3.14845	101.705	Asia	
37738	3.14845	101.705	Asia	
37740	-5.79927	-35.2213	South America	
37787	-6.24198	106.859	Asia	
37801	-6.21154	106.845	Asia	
37827	-6.21154	106.845	Asia	
38238	39.923	-86.1876	North America	
39423	33.8462	-117.828	North America	
39859	-11.0019	-37.1007	South America	
39938	-19.9187	-43.9598	South America	
40204	-15.7763	-47.7966	South America	
40223	-15.7763	-47.7966	South America	
40285	-36.7374	-71.0353	South America	
40519	-23.6288	-46.5089	South America	
40926	6.01225	116.396	Asia	
41167	33.9498	-117.399	North America	
41179	33.9498	-117.399	North America	
41274	33.9498	-117.399	North America	
41512	-23.6828	-46.5955	South America	
41785	-23.6405	-46.7806	South America	
42116	51.2355	5.67891	Europe	
42468	19.0322	-98.1543	North America	
42497	41.8588	-90.9234	North America	
42623	59.3446	18.0548	Europe	
43577	-6.24329	107.041	Asia	
43874	-7.39976	109.238	Asia	
43904	55.7559	37.5483	Europe	
45133	-21.2134	-47.818	South America	
45471	-25.4953	-49.2884	South America	
46457	33.3919	-111.928	North America	
46563	-6.20172	106.794	Asia	
47170	-6.45574	106.898	Asia	
47372	-5.40065	-47.5474	South America	
47826	1.51693	103.797	Asia	
47846	-7.2771	112.717	Asia	
47889	-7.2771	112.717	Asia	
48264	38.7435	-9.15999	Europe	
48531	-6.16896	106.827	Asia	
48699	19.0322	-98.1543	North America	
48807	-6.92786	107.639	Asia	
49185	41.6873	-71.3951	North America	
49284	-27.6534	-51.0923	South America	
49557	51.0386	3.39247	Europe	
49902	51.2355	5.67891	Europe	
50071	-7.26021	112.675	Asia	
50280	38.3143	-77.786	North America	
50606	37.6323	-0.720397	Europe	
50644	49.44	11.1354	Europe	
50664	50.3881	-4.11457	Europe	
50690	38.9637	35.2433	Asia	
50701	50.3881	-4.11457	Europe	
50800	50.3881	-4.11457	Europe	
51199	42.2856	-83.745	North America	
51222	52.3938	-1.7989	Europe	
51408	-23.6828	-46.5955	South America	
52028	-6.90558	107.626	Asia	
52030	51.7341	5.28598	Europe	
52129	51.7341	5.28575	Europe	
52383	41.7597	-88.3011	North America	
52401	41.7597	-88.3011	North America	
52472	19.4685	-98.7874	North America	
52506	-30.0997	-51.1593	South America	
52675	-22.7782	-45.0475	South America	
52712	-21.2134	-47.818	South America	
52869	-16.6428	-49.2612	South America	
53597	19.1644	-98.4097	North America	
53769	19.1644	-98.4097	North America	
53875	-7.82533	110.355	Asia	
53892	37.6434	-0.715457	Europe	
54195	-21.4064	-45.4872	South America	
54607	50.3881	-4.11457	Europe	
55000	49.9038	7.25027	Europe	
55198	3.05122	101.559	Asia	
55281	19.2524	-99.5724	North America	
55450	51.7676	-0.575282	Europe	
55897	19.2708	-99.6499	North America	
56013	-6.16896	106.827	Asia	
56306	50.3881	-4.11457	Europe	
56328	50.3881	-4.11457	Europe	
56401	50.3881	-4.11457	Europe	
56409	-6.34626	106.72	Asia	
56427	50.3881	-4.11457	Europe	
56643	51.505	-3.57467	Europe	
57201	-15.7763	-47.7966	South America	
57603	-23.6828	-46.5955	South America	
57607	50.3881	-4.11457	Europe	
57691	19.3942	-99.1494	North America	
57844	50.3881	-4.11457	Europe	
57856	50.3881	-4.11457	Europe	
57862	50.3881	-4.11457	Europe	
57874	50.3881	-4.11457	Europe	
57881	50.3881	-4.11457	Europe	
58018	50.3881	-4.11457	Europe	
58084	50.3881	-4.11457	Europe	
58096	50.3881	-4.11457	Europe	
58140	50.3881	-4.11457	Europe	
58178	-23.6828	-46.5955	South America	
58191	50.3881	-4.11457	Europe	
58218	50.3881	-4.11457	Europe	
58319	-27.8103	-50.3299	South America	
58344	50.3881	-4.11457	Europe	
58382	50.3881	-4.11457	Europe	
58396	50.3881	-4.11457	Europe	
58440	50.3881	-4.11457	Europe	
58790	50.3881	-4.11457	Europe	
58800	50.3881	-4.11457	Europe	
58832	-23.5465	-46.8931	South America	
58885	50.3881	-4.11457	Europe	
58970	50.3881	-4.11457	Europe	
58984	5.51177	95.3108	Asia	
59001	50.3881	-4.11457	Europe	
59009	50.3881	-4.11457	Europe	
59017	29.436	-98.7073	North America	
59071	50.3881	-4.11457	Europe	
59099	50.3881	-4.11457	Europe	
59117	50.3881	-4.11457	Europe	
59133	50.3881	-4.11457	Europe	
59160	50.3881	-4.11457	Europe	
59176	50.3881	-4.11457	Europe	
59195	50.3881	-4.11457	Europe	
59233	50.3881	-4.11457	Europe	
59343	50.3881	-4.11457	Europe	
59445	50.3881	-4.11457	Europe	
59539	50.3881	-4.11457	Europe	
59663	50.3881	-4.11457	Europe	
59772	-6.16896	106.827	Asia	
59779	-25.4951	-49.2884	South America	
60207	-21.708	-43.4227	South America	
60529	41.3692	2.02253	Europe	
60690	32.6806	-114.438	North America	
60898	34.1103	-117.366	North America	
61031	34.1103	-117.366	North America	
61070	34.1102	-117.367	North America	
61106	34.1103	-117.366	North America	
61144	34.1103	-117.366	North America	
61310	51.5207	-0.142822	Europe	
61319	-21.708	-43.4227	South America	
62002	38.3224	-80.6534	North America	
62030	-21.708	-43.4227	South America	
62442	34.505	-117.329	North America	
62461	-6.18947	106.802	Asia	
62628	34.1103	-117.366	North America	
63211	48.9174	11.408	Europe	
63265	48.9174	11.408	Europe	
64911	3.14845	101.705	Asia	
65276	-23.6828	-46.5955	South America	
65389	6.4043	5.63173	Africa	
65884	3.14845	101.705	Asia	
66261	-36.7374	-71.0353	South America	
66356	-22.8952	-47.0303	South America	
66750	19.6014	-90.3361	North America	
66810	-36.7374	-71.0353	South America	
66834	2.20133	102.248	Asia	
67483	43.357	-8.4194	Europe	
67601	-19.1468	-44.9291	South America	
67836	-23.5479	-46.8454	South America	
68118	37.9983	-1.13438	Europe	
68185	-15.7763	-47.7966	South America	
68200	-15.7763	-47.7966	South America	
68209	-25.4951	-49.2884	South America	
68210	-15.7763	-47.7966	South America	
68251	-11.0019	-37.1007	South America	
68437	-11.0019	-37.1007	South America	
68829	-23.6828	-46.5955	South America	
68883	-11.0019	-37.1007	South America	
69513	37.62	-1.02503	Europe	
69725	-6.90558	107.626	Asia	
69758	19.0322	-98.1543	North America	
70449	0	0	NULL	
70621	-21.2134	-47.818	South America	
70687	-27.6534	-51.0923	South America	
70742	-27.6534	-51.0923	South America	
70895	34.1103	-117.367	North America	
72208	39.2527	-84.7921	North America	
72346	34.1103	-117.367	North America	
72402	30.5238	-91.1385	North America	
72574	50.3881	-4.11457	Europe	
72577	50.3881	-4.11457	Europe	
72585	50.3881	-4.11457	Europe	
72661	50.3881	-4.11457	Europe	
72990	-6.6801	108.533	Asia	
73080	-7.78094	110.364	Asia	
73276	1.33406	103.847	Asia	
73292	-7.78094	110.364	Asia	
