Tweet Id 	 Latitude 	 Longitude
382	50.9045	4.36058	
438	48.8588	2.34701	
888	41.3941	2.1393	
1370	47.8169	19.0601	
1458	-25.4951	-49.2884	
1546	45.7578	4.8351	
1637	51.5207	-0.142822	
1688	37.3831	-5.92355	
2049	51.5207	-0.142822	
2723	3.14845	101.705	
2887	51.5207	-0.142822	
3094	51.5207	-0.142822	
3230	51.5207	-0.142822	
3306	51.5207	-0.142822	
3567	51.5207	-0.142822	
3580	51.5207	-0.142822	
3732	20.7153	-100.441	
4183	51.5207	-0.142822	
4226	51.5207	-0.142822	
4593	30.2161	-92.0175	
4841	51.5207	-0.142822	
4842	51.5207	-0.142822	
4936	51.5207	-0.142822	
5075	51.5207	-0.142822	
5778	51.5207	-0.142822	
5909	51.5207	-0.142822	
6123	29.8239	-95.4621	
6125	29.8239	-95.4621	
6240	51.5207	-0.142822	
7013	33.7678	-84.4181	
7204	51.5207	-0.142822	
7368	43.0579	-87.9671	
7603	51.5207	-0.142822	
7814	52.3834	13.1196	
8118	51.5207	-0.142822	
8307	50.749	5.05229	
8312	59.9341	30.3287	
8564	51.5207	-0.142822	
8639	51.5207	-0.142822	
8647	51.5207	-0.142822	
8670	51.5207	-0.142822	
8675	52.3834	13.1196	
8725	50.6711	-1.32759	
8761	51.5207	-0.142822	
8871	51.5207	-0.142822	
9335	40.1337	-75.3814	
9429	56.8949	23.8435	
9535	51.5207	-0.142822	
9635	51.5207	-0.142822	
9648	51.5207	-0.142822	
9701	35.3124	-80.7198	
9772	51.5207	-0.142822	
9875	51.5207	-0.142822	
9926	49.1994	-122.913	
10031	51.5207	-0.142822	
10044	51.5207	-0.142822	
10297	51.5207	-0.142822	
10411	38.2753	24.508	
10480	52.3834	13.1196	
10786	55.0015	82.9557	
10790	51.5207	-0.142822	
10801	50.3881	-4.11457	
10920	30.8395	-83.3278	
11059	51.5207	-0.142822	
11827	-6.21099	106.963	
11831	26.8086	-80.0948	
11880	39.4207	26.8072	
11959	51.2078	-1.47344	
12005	49.1994	-122.913	
12085	51.5207	-0.142822	
12245	51.5207	-0.142822	
13301	50.8774	5.96095	
13500	56.0229	92.8964	
13531	52.3834	13.1196	
13626	50.9966	-1.47435	
13937	52.3834	13.1196	
14030	42.9355	-87.9532	
14067	51.5207	-0.142822	
14107	51.5207	-0.142822	
14588	39.4207	26.8072	
14836	51.5207	-0.142822	
14930	51.5207	-0.142822	
15032	52.3834	13.1196	
15506	51.5207	-0.142822	
15566	51.5207	-0.142822	
15677	52.9553	-1.15197	
16000	51.5207	-0.142822	
16024	51.5207	-0.142822	
16348	51.5207	-0.142822	
16652	51.5207	-0.142822	
17090	52.3834	13.1196	
17147	51.5207	-0.142822	
17186	51.5207	-0.142822	
17317	51.5207	-0.142822	
17327	51.5207	-0.142822	
17432	51.5207	-0.142822	
17998	51.5207	-0.142822	
18319	51.5207	-0.142822	
18346	51.5207	-0.142822	
18450	51.5207	-0.142822	
18485	51.5207	-0.142822	
18511	51.5207	-0.142822	
18849	51.5207	-0.142822	
19012	51.9685	5.66513	
19338	51.5207	-0.142822	
