Tweet Id 	 Latitude 	 Longitude 	 Continent
30	16.2586	-92.301	North America	
58	-6.90558	107.626	Asia	
180	49.2696	-122.756	North America	
198	9.38547	76.5752	Asia	
216	49.2704	-122.754	North America	
249	49.2705	-122.753	North America	
319	49.2707	-122.754	North America	
358	-23.6828	-46.5955	South America	
589	-7.2771	112.717	Asia	
647	-7.2771	112.717	Asia	
821	51.5207	-0.142822	Europe	
987	42.9907	-85.9508	North America	
1126	43.6293	-79.2725	North America	
1154	42.378	-83.2668	North America	
1206	32.5886	-82.3389	North America	
1258	-7.2771	112.717	Asia	
1317	51.3253	3.53527	Europe	
1324	-8.26754	113.682	Asia	
1358	34.0922	-118.308	North America	
1491	51.5207	-0.142822	Europe	
1496	48.383	31.1814	Europe	
1505	52.3834	13.1196	Europe	
1607	-22.916	-43.4474	South America	
1778	29.2103	-81.0967	North America	
1838	-22.1609	-54.8613	South America	
1895	52.3834	13.1196	Europe	
1967	51.9995	4.36409	Europe	
2038	51.5207	-0.142822	Europe	
2338	-3.74656	-38.59	South America	
2410	3.14845	101.705	Asia	
2475	41.2229	-111.973	North America	
2589	51.6126	-0.372138	Europe	
2625	-23.47	-47.4366	South America	
2672	-23.3921	-46.4539	South America	
2839	48.383	31.1814	Europe	
2930	40.8716	-74.2461	North America	
2971	51.7519	4.06934	Europe	
3064	-26.2617	-48.9665	South America	
3156	51.5207	-0.142822	Europe	
3235	-6.69493	-35.5978	South America	
3242	52.3834	13.1196	Europe	
3259	52.7121	-2.71229	Europe	
3372	-30.0997	-51.1593	South America	
3412	51.5207	-0.142822	Europe	
3416	19.6511	-155.861	North America	
3534	52.3834	13.1196	Europe	
3588	3.1553	101.514	Asia	
3642	57.6947	-4.25228	Europe	
3656	34.0209	-118.211	North America	
3736	-23.6989	-46.6151	South America	
3784	51.5207	-0.142822	Europe	
3824	43.1153	131.89	Europe	
3968	0	0	NULL	
4058	52.3052	4.70921	Europe	
4103	38.9637	35.2433	Asia	
4142	51.5207	-0.142822	Europe	
4331	19.4325	-99.1534	North America	
4356	-5.14383	119.426	Asia	
4408	42.8962	-78.876	North America	
4436	13.7051	-89.2447	North America	
4512	-8.66913	115.215	Asia	
4518	-22.8952	-47.0303	South America	
4541	51.5207	-0.142822	Europe	
4604	53.2133	10.3758	Europe	
4710	39.4207	26.8072	Asia	
4754	-23.6828	-46.5955	South America	
4911	40.752	-74.1899	North America	
4933	51.4647	-0.0706031	Europe	
4982	51.5207	-0.142822	Europe	
5062	3.14845	101.705	Asia	
5119	51.5207	-0.142822	Europe	
5140	51.5207	-0.142822	Europe	
5173	19.0322	-98.1543	North America	
5180	19.0322	-98.1543	North America	
5194	52.3871	13.1165	Europe	
5214	-7.6481	111.043	Asia	
5232	51.5207	-0.142822	Europe	
5236	36.7177	-108.18	North America	
5329	-7.6481	111.043	Asia	
5335	51.5207	-0.142822	Europe	
5398	-7.2771	112.717	Asia	
5583	51.3972	0.400914	Europe	
5642	48.679	9.02332	Europe	
5738	48.679	9.02332	Europe	
5771	51.5207	-0.142822	Europe	
5979	39.4207	26.8072	Asia	
6014	52.3834	13.1196	Europe	
6081	-33.4334	-70.6559	South America	
6226	48.383	31.1814	Europe	
6228	50.8742	6.85095	Europe	
6372	52.3834	13.1196	Europe	
6429	19.4325	-99.1534	North America	
6437	39.4207	26.8072	Asia	
6562	52.9974	6.55836	Europe	
6614	49.2884	-123.073	North America	
6629	-28.7189	-53.5192	South America	
6690	41.6006	-93.5517	North America	
6724	48.6189	2.97564	Europe	
6796	51.5207	-0.142822	Europe	
6987	-3.74281	-38.5104	South America	
7118	52.3871	13.1165	Europe	
7173	66.6685	66.3855	Europe	
7176	48.8588	2.34701	Europe	
7203	19.1003	-103.657	North America	
7221	51.5207	-0.142822	Europe	
7223	51.5207	-0.142822	Europe	
7232	40.7695	-73.9676	North America	
7306	51.5207	-0.142822	Europe	
7332	39.4207	26.8072	Asia	
7345	-28.7189	-53.5192	South America	
7421	51.5207	-0.142822	Europe	
7429	52.3834	13.1196	Europe	
7521	51.5207	-0.142822	Europe	
7534	50.784	0.29937	Europe	
7613	19.4316	-99.0988	North America	
7623	-25.4951	-49.2884	South America	
7638	-12.0934	-77.0178	South America	
7818	51.5207	-0.142822	Europe	
7857	32.7741	-117.076	North America	
8040	52.3834	13.1196	Europe	
8099	41.6843	-87.6613	North America	
8119	51.5207	-0.142822	Europe	
8240	51.5207	-0.142822	Europe	
8569	51.5207	-0.142822	Europe	
8606	-6.21154	106.845	Asia	
8658	51.5207	-0.142822	Europe	
8709	51.5207	-0.142822	Europe	
8723	3.14845	101.705	Asia	
8906	-23.6828	-46.5955	South America	
8960	-26.4195	-51.8397	South America	
9008	52.3871	13.1165	Europe	
9063	54.2721	-2.79158	Europe	
9242	51.5207	-0.142822	Europe	
