Tweet Id 	 Latitude 	 Longitude 	 Continent
9	36.2068	-115.202	North America	
21	52.3834	13.1196	Europe	
30	16.2586	-92.301	North America	
34	52.3834	13.1196	Europe	
40	51.5207	-0.142822	Europe	
58	-6.90558	107.626	Asia	
62	-22.803	-47.4357	South America	
68	40.9308	-74.1438	North America	
77	1.00185	116.394	Asia	
100	51.5207	-0.142822	Europe	
119	52.3871	13.1165	Europe	
120	52.2143	6.974	Europe	
149	52.3834	13.1196	Europe	
169	-6.20553	106.778	Asia	
171	-22.916	-43.4473	South America	
180	49.2696	-122.756	North America	
185	38.9637	35.2433	Asia	
198	9.38547	76.5752	Asia	
216	49.2704	-122.754	North America	
223	51.5207	-0.142822	Europe	
235	39.1842	-77.2274	North America	
249	49.2705	-122.753	North America	
259	-36.8931	174.872	Oceania	
276	40.7809	-73.9772	North America	
280	29.8185	-95.3701	North America	
285	51.5207	-0.142822	Europe	
293	52.3834	13.1196	Europe	
311	18.467	-66.0907	North America	
313	52.3834	13.1196	Europe	
317	38.9637	35.2433	Asia	
319	49.2707	-122.754	North America	
337	-6.24007	-36.4424	South America	
351	33.9763	-118.179	North America	
358	-23.6828	-46.5955	South America	
375	52.3871	13.1165	Europe	
379	41.8559	-72.3407	North America	
387	52.3834	13.1196	Europe	
394	-22.803	-47.4357	South America	
401	-23.6828	-46.5955	South America	
403	51.5207	-0.142822	Europe	
409	48.788	-122.415	North America	
417	40.6974	-73.9797	North America	
418	40.6974	-73.9797	North America	
438	48.8588	2.34701	Europe	
450	-36.7374	-71.0353	South America	
458	32.8207	-96.7315	North America	
467	25.8931	-80.1657	North America	
479	41.1732	-73.2781	North America	
484	25.8931	-80.1657	North America	
486	52.3834	13.1196	Europe	
493	41.1848	-73.199	North America	
501	52.3871	13.1165	Europe	
509	-0.0417256	-51.173	South America	
523	39.4207	26.8072	Asia	
536	52.3834	13.1196	Europe	
566	52.3871	13.1165	Europe	
568	52.3871	13.1165	Europe	
569	52.3871	13.1165	Europe	
589	-7.2771	112.717	Asia	
600	51.5207	-0.142822	Europe	
647	-7.2771	112.717	Asia	
653	52.3871	13.1165	Europe	
663	19.3622	-99.1903	North America	
670	40.3888	-79.8329	North America	
681	-6.13803	106.919	Asia	
696	51.5207	-0.142822	Europe	
732	51.5207	-0.142822	Europe	
770	52.3871	13.1165	Europe	
794	52.3834	13.1196	Europe	
806	39.9507	-75.2758	North America	
821	51.5207	-0.142822	Europe	
837	52.3834	13.1196	Europe	
844	51.5207	-0.142822	Europe	
867	-29.5646	-50.8009	South America	
887	52.3834	13.1196	Europe	
888	41.3941	2.1393	Europe	
892	55.1559	61.3679	Europe	
893	52.3834	13.1196	Europe	
898	44.9008	-89.5695	North America	
908	-29.5646	-50.8009	South America	
927	51.5207	-0.142822	Europe	
934	20.9701	-89.6324	North America	
936	39.4224	-0.352529	Europe	
937	52.3834	13.1196	Europe	
946	-22.916	-43.4474	South America	
956	52.3834	13.1196	Europe	
958	51.5207	-0.142822	Europe	
972	52.3834	13.1196	Europe	
976	52.3838	4.64301	Europe	
977	-36.7374	-71.0353	South America	
987	42.9907	-85.9508	North America	
997	20.7153	-100.441	North America	
1034	52.3834	13.1196	Europe	
1046	-23.417	-54.5603	South America	
1097	53.3494	-6.27869	Europe	
1126	43.6293	-79.2725	North America	
1127	42.378	-83.2668	North America	
1154	42.378	-83.2668	North America	
1168	35.6721	139.764	Asia	
1180	51.5207	-0.142822	Europe	
1183	52.0769	4.3064	Europe	
1194	38.8808	-77.1022	North America	
1199	-34.9744	-71.2202	South America	
1205	-15.7763	-47.7966	South America	
1206	32.5886	-82.3389	North America	
1221	52.3871	13.1165	Europe	
1227	19.4325	-99.1534	North America	
1228	-34.0739	150.797	Oceania	
1242	52.3834	13.1196	Europe	
1258	-7.2771	112.717	Asia	
1261	49.2707	-122.754	North America	
1265	39.6186	-75.6795	North America	
1269	52.3834	13.1196	Europe	
1271	43.889	-79.0082	North America	
1294	30.3449	-81.6831	North America	
1317	51.3253	3.53527	Europe	
1318	41.7656	-72.6803	North America	
1324	-8.26754	113.682	Asia	
1326	19.0322	-98.1543	North America	
1332	52.3871	13.1165	Europe	
1336	50.652	-4.03372	Europe	
1340	40.0305	-75.1179	North America	
1341	52.0046	4.21273	Europe	
1348	51.5207	-0.142822	Europe	
1351	52.3834	13.1196	Europe	
1356	51.5207	-0.142822	Europe	
1358	34.0922	-118.308	North America	
1370	47.8169	19.0601	Europe	
1406	35.1688	136.898	Asia	
1418	40.5247	-3.81615	Europe	
1457	52.3834	13.1196	Europe	
1458	-25.4951	-49.2884	South America	
1472	48.3367	10.9017	Europe	
1476	36.3998	-78.1593	North America	
1478	-6.16896	106.827	Asia	
1491	51.5207	-0.142822	Europe	
1495	51.5207	-0.142822	Europe	
1496	48.383	31.1814	Europe	
1505	52.3834	13.1196	Europe	
1508	48.383	31.1814	Europe	
1511	52.3834	13.1196	Europe	
1525	-8.0436	-34.9394	South America	
