Tweet Id 	 Latitude 	 Longitude 	 Continent
30	16.2586	-92.301	North America	
58	-6.90558	107.626	Asia	
100	51.5207	-0.142822	Europe	
387	52.3834	13.1196	Europe	
479	41.1732	-73.2781	North America	
844	51.5207	-0.142822	Europe	
888	41.3941	2.1393	Europe	
892	55.1559	61.3679	Europe	
976	52.3838	4.64301	Europe	
1154	42.378	-83.2668	North America	
1183	52.0769	4.3064	Europe	
1199	-34.9744	-71.2202	South America	
1205	-15.7763	-47.7966	South America	
1227	19.4325	-99.1534	North America	
1242	52.3834	13.1196	Europe	
1258	-7.2771	112.717	Asia	
1406	35.1688	136.898	Asia	
1457	52.3834	13.1196	Europe	
1458	-25.4951	-49.2884	South America	
1511	52.3834	13.1196	Europe	
1532	13.7355	100.553	Asia	
1583	51.4546	46.1045	Europe	
1688	37.3831	-5.92355	Europe	
1838	-22.1609	-54.8613	South America	
1950	51.5207	-0.142822	Europe	
1990	51.5207	-0.142822	Europe	
2193	-6.90558	107.626	Asia	
2220	51.5207	-0.142822	Europe	
2304	51.5207	-0.142822	Europe	
2475	41.2229	-111.973	North America	
2589	51.6126	-0.372138	Europe	
2623	-6.24347	107.031	Asia	
2736	51.5207	-0.142822	Europe	
2758	-6.35101	106.739	Asia	
2838	-6.35101	106.739	Asia	
2839	48.383	31.1814	Europe	
2911	49.1994	-122.913	North America	
2930	40.8716	-74.2461	North America	
2964	59.913	30.3101	Europe	
2997	52.3834	13.1196	Europe	
3014	2.04811	103.382	Asia	
3081	-7.76838	110.389	Asia	
3101	51.5207	-0.142822	Europe	
3156	51.5207	-0.142822	Europe	
3159	1.45567	110.487	Asia	
3197	13.0061	77.5625	Asia	
3233	51.5207	-0.142822	Europe	
3257	52.3834	13.1196	Europe	
3259	52.7121	-2.71229	Europe	
3380	51.5207	-0.142822	Europe	
3412	51.5207	-0.142822	Europe	
3474	-22.8952	-47.0303	South America	
3656	34.0209	-118.211	North America	
3658	51.5207	-0.142822	Europe	
3659	51.5207	-0.142822	Europe	
3732	20.7153	-100.441	North America	
3736	-23.6989	-46.6151	South America	
3760	-15.7763	-47.7966	South America	
3796	59.3336	17.98	Europe	
3806	1.42922	110.333	Asia	
3870	51.5207	-0.142822	Europe	
3996	39.4207	26.8072	Asia	
4009	2.98355	101.54	Asia	
4049	52.3023	4.86069	Europe	
4080	25.559	-97.5474	North America	
4110	51.5207	-0.142822	Europe	
4173	51.5207	-0.142822	Europe	
4202	39.4207	26.8072	Asia	
4205	-6.34665	106.74	Asia	
4379	51.5207	-0.142822	Europe	
4436	13.7051	-89.2447	North America	
4488	13.7051	-89.2447	North America	
4512	-8.66913	115.215	Asia	
4539	51.5207	-0.142822	Europe	
4541	51.5207	-0.142822	Europe	
4606	51.5207	-0.142822	Europe	
4682	51.5207	-0.142822	Europe	
4769	53.8233	-1.4252	Europe	
4801	-5.11571	119.523	Asia	
4853	51.5207	-0.142822	Europe	
4865	-22.4201	-42.9737	South America	
4905	21.0981	-101.601	North America	
4911	40.752	-74.1899	North America	
4976	52.3834	13.1196	Europe	
4983	-23.6828	-46.5955	South America	
5062	3.14845	101.705	Asia	
5107	20.9146	-89.6025	North America	
5122	51.5207	-0.142822	Europe	
5194	52.3871	13.1165	Europe	
5205	-36.7374	-71.0353	South America	
5232	51.5207	-0.142822	Europe	
5236	36.7177	-108.18	North America	
5239	59.9341	30.3287	Europe	
5304	39.4207	26.8072	Asia	
5397	51.5207	-0.142822	Europe	
5404	51.5207	-0.142822	Europe	
5427	40.0565	-83.0353	North America	
5442	46.7352	-117.165	North America	
5497	52.3834	13.1196	Europe	
5502	-7.75203	110.399	Asia	
5511	52.0526	4.30879	Europe	
5524	51.5207	-0.142822	Europe	
5550	39.4207	26.8072	Asia	
5580	-7.63081	111.533	Asia	
5611	-6.16896	106.827	Asia	
5629	52.3871	13.1165	Europe	
5642	48.679	9.02332	Europe	
5681	34.1583	-119.151	North America	
5738	48.679	9.02332	Europe	
5763	55.774	37.5329	Europe	
5851	52.3834	13.1196	Europe	
5879	51.3819	-0.282529	Europe	
5918	-30.0997	-51.1593	South America	
5979	39.4207	26.8072	Asia	
6014	52.3834	13.1196	Europe	
6029	39.1718	-84.495	North America	
6047	-33.4336	-70.6556	South America	
6051	51.5207	-0.142822	Europe	
6066	51.5301	0.0402045	Europe	
6067	-25.3849	-49.2596	South America	
6081	-33.4334	-70.6559	South America	
6082	39.4207	26.8072	Asia	
6088	-23.2969	-45.9737	South America	
6089	40.3708	49.8409	Asia	
6228	50.8742	6.85095	Europe	
6275	19.0322	-98.1543	North America	
6295	51.5207	-0.142822	Europe	
6321	40.7695	-73.9676	North America	
6365	52.3651	4.87769	Europe	
6372	52.3834	13.1196	Europe	
6439	51.5207	-0.142822	Europe	
6456	51.5207	-0.142822	Europe	
