Tweet Id 	 Latitude 	 Longitude 	 Continent
152	26.8418	-80.1632	North America	
223	51.5207	-0.142822	Europe	
240	51.5207	-0.142822	Europe	
271	51.5207	-0.142822	Europe	
276	40.7809	-73.9772	North America	
662	51.5207	-0.142822	Europe	
927	51.5207	-0.142822	Europe	
957	39.0087	-77.0178	North America	
1491	51.5207	-0.142822	Europe	
1586	51.5207	-0.142822	Europe	
1667	2.93129	101.696	Asia	
1739	51.5207	-0.142822	Europe	
1836	-15.7763	-47.7966	South America	
1950	51.5207	-0.142822	Europe	
1990	51.5207	-0.142822	Europe	
2076	51.5207	-0.142822	Europe	
2125	51.5207	-0.142822	Europe	
2156	43.0841	-89.4064	North America	
2168	-7.29324	112.681	Asia	
2484	51.5207	-0.142822	Europe	
2567	41.4348	-88.2292	North America	
2587	18.1357	-66.0446	North America	
2599	51.5207	-0.142822	Europe	
2619	51.5207	-0.142822	Europe	
2695	48.8588	2.34693	Europe	
2832	33.803	-118.054	North America	
2895	51.4778	-0.865953	Europe	
3044	51.5207	-0.142822	Europe	
3051	51.5207	-0.142822	Europe	
3065	51.5207	-0.142822	Europe	
3119	51.5207	-0.142822	Europe	
3128	51.5207	-0.142822	Europe	
3172	61.5218	0.00022	Europe	
3248	42.5822	-77.154	North America	
3475	53.2204	-0.558267	Europe	
3511	-6.18065	106.844	Asia	
3552	51.5207	-0.142822	Europe	
3561	51.5207	-0.142822	Europe	
3585	41.8984	12.5451	Europe	
3659	51.5207	-0.142822	Europe	
3686	51.5207	-0.142822	Europe	
3738	34.019	-117.816	North America	
3999	42.4166	-71.043	North America	
4067	43.3068	-0.376843	Europe	
4114	51.5118	-0.162971	Europe	
4130	51.5207	-0.142822	Europe	
4135	-25.0608	-53.398	South America	
4202	39.4207	26.8072	Asia	
4439	51.5207	-0.142822	Europe	
4440	38.5342	-76.912	North America	
4597	43.101	131.926	Europe	
4631	42.4547	-83.0285	North America	
4653	51.5207	-0.142822	Europe	
4712	51.5207	-0.142822	Europe	
4769	53.8233	-1.4252	Europe	
4787	-6.71779	108.556	Asia	
4801	-5.11571	119.523	Asia	
4852	51.5207	-0.142822	Europe	
4866	43.2519	-2.93316	Europe	
4993	51.9522	5.90207	Europe	
5083	51.5207	-0.142822	Europe	
5205	-36.7374	-71.0353	South America	
5218	51.5207	-0.142822	Europe	
5291	-23.6828	-46.5955	South America	
5303	51.5207	-0.142822	Europe	
5319	51.5207	-0.142822	Europe	
5362	51.5207	-0.142822	Europe	
5366	51.5207	-0.142822	Europe	
5817	51.5207	-0.142822	Europe	
5831	36.4205	-121.315	North America	
5879	51.3819	-0.282529	Europe	
5965	51.5207	-0.142822	Europe	
6029	39.1718	-84.495	North America	
6078	51.3819	-0.282529	Europe	
6083	51.5207	-0.142822	Europe	
6086	51.5207	-0.142822	Europe	
6169	51.5207	-0.142822	Europe	
6176	-22.8215	-43.0007	South America	
6206	51.5207	-0.142822	Europe	
6262	51.5207	-0.142822	Europe	
6273	51.5207	-0.142822	Europe	
6341	51.5207	-0.142822	Europe	
6502	51.5207	-0.142822	Europe	
6648	51.5207	-0.142822	Europe	
6685	51.5207	-0.142822	Europe	
6707	51.5207	-0.142822	Europe	
6749	33.224	-96.6812	North America	
7014	40.0396	-75.6183	North America	
7128	53.3303	-2.66159	Europe	
7275	51.5207	-0.142822	Europe	
7283	51.5207	-0.142822	Europe	
7307	34.0209	-118.211	North America	
7312	51.5207	-0.142822	Europe	
7376	51.5207	-0.142822	Europe	
7384	51.5207	-0.142822	Europe	
7441	51.5207	-0.142822	Europe	
7521	51.5207	-0.142822	Europe	
7561	51.5207	-0.142822	Europe	
7613	19.4316	-99.0988	North America	
7614	-6.18065	106.844	Asia	
7615	51.5207	-0.142822	Europe	
7638	-12.0934	-77.0178	South America	
7691	51.5207	-0.142822	Europe	
7695	51.5207	-0.142822	Europe	
7769	45.6463	9.14248	Europe	
7810	51.5207	-0.142822	Europe	
7838	59.9341	30.3287	Europe	
7871	-2.57242	-59.9803	South America	
7946	35.0125	134.996	Asia	
7952	51.5207	-0.142822	Europe	
8171	51.5207	-0.142822	Europe	
8186	2.20133	102.248	Asia	
8193	51.5207	-0.142822	Europe	
8455	51.5207	-0.142822	Europe	
8570	51.5207	-0.142822	Europe	
8712	53.8233	-1.42526	Europe	
8721	56.9715	24.1287	Europe	
8846	51.5207	-0.142822	Europe	
8945	51.5207	-0.142822	Europe	
8955	59.3336	17.98	Europe	
9017	-7.77338	110.385	Asia	
9158	51.5207	-0.142822	Europe	
9206	51.5207	-0.142822	Europe	
9407	39.4207	26.8072	Asia	
9455	51.5207	-0.142822	Europe	
9580	51.5207	-0.142822	Europe	
9637	35.7458	139.622	Asia	
9971	53.0855	-0.80089	Europe	
10060	48.852	2.50924	Europe	
10074	43.1862	-77.6164	North America	
10084	51.5207	-0.142822	Europe	
10190	61.2734	73.4332	Europe	
10228	51.4621	0.149188	Europe	
10247	51.5207	-0.142822	Europe	
10316	-7.87435	110.423	Asia	
10360	-7.66334	110.275	Asia	
10642	51.5207	-0.142822	Europe	
10654	50.8716	-1.57635	Europe	
10704	51.5207	-0.142822	Europe	
10755	50.3881	-4.11457	Europe	
10914	51.5207	-0.142822	Europe	
10954	41.0484	28.9867	Asia	
11006	51.5207	-0.142822	Europe	
11146	51.5207	-0.142822	Europe	
11165	51.5207	-0.142822	Europe	
11211	29.8748	-97.9194	North America	
11291	51.5207	-0.142822	Europe	
11293	51.4773	-0.887618	Europe	
11303	51.4773	-0.887665	Europe	
11385	51.5207	-0.142822	Europe	
11459	51.5207	-0.142822	Europe	
11560	51.5207	-0.142822	Europe	
11621	51.5207	-0.142822	Europe	
11656	51.5207	-0.142822	Europe	
11673	51.5207	-0.142822	Europe	
11913	43.7159	-79.3283	North America	
12090	53.7932	-1.54218	Europe	
12231	29.8239	-95.4621	North America	
12814	51.5207	-0.142822	Europe	
12995	53.7172	27.9867	Europe	
13290	51.5207	-0.142822	Europe	
13648	51.5207	-0.142822	Europe	
13671	51.5207	-0.142822	Europe	
13738	38.8043	-77.3211	North America	
14180	51.5207	-0.142822	Europe	
14188	51.5207	-0.142822	Europe	
14242	51.5207	-0.142822	Europe	
14243	51.5207	-0.142822	Europe	
14280	-23.6828	-46.5955	South America	
14663	51.5207	-0.142822	Europe	
14720	8.90131	-79.7737	North America	
14757	33.0621	-16.344	Europe	
14847	36.2433	-81.6561	North America	
14921	51.5207	-0.142822	Europe	
15003	29.6575	-95.1902	North America	
15054	51.5207	-0.142822	Europe	
15162	38.9637	35.2433	Asia	
15319	51.5207	-0.142822	Europe	
15361	51.5207	-0.142822	Europe	
15426	39.4207	26.8072	Asia	
15470	50.7782	5.97428	Europe	
15782	51.5207	-0.142822	Europe	
15831	51.5207	-0.142822	Europe	
15921	33.6575	-84.224	North America	
15924	51.5207	-0.142822	Europe	
15959	51.5207	-0.142822	Europe	
16109	51.5207	-0.142822	Europe	
16197	51.5207	-0.142822	Europe	
16256	51.5207	-0.142822	Europe	
16276	51.5207	-0.142822	Europe	
16372	49.1048	6.19605	Europe	
16407	51.5207	-0.142822	Europe	
16464	51.5207	-0.142822	Europe	
16530	51.5207	-0.142822	Europe	
16659	51.5207	-0.142822	Europe	
16782	48.5455	7.49881	Europe	
16795	51.5207	-0.142822	Europe	
16824	-23.6828	-46.5955	South America	
16935	10.9515	-74.7782	South America	
16941	51.5207	-0.142822	Europe	
17098	51.5207	-0.142822	Europe	
17354	51.5207	-0.142822	Europe	
17393	32.7995	-97.2914	North America	
17428	25.1969	55.2539	Asia	
17547	51.4789	-0.865943	Europe	
17655	53.2204	-0.558267	Europe	
17676	51.5207	-0.142822	Europe	
17700	51.5207	-0.142822	Europe	
17994	3.08833	101.613	Asia	
18007	51.5207	-0.142822	Europe	
18069	51.5207	-0.142822	Europe	
18190	51.5207	-0.142822	Europe	
18309	40.8568	-73.9761	North America	
18407	56.8371	60.5928	Europe	
18556	51.5207	-0.142822	Europe	
18614	51.5207	-0.142822	Europe	
18637	51.5207	-0.142822	Europe	
18696	51.5207	-0.142822	Europe	
18736	51.5207	-0.142822	Europe	
18740	51.5207	-0.142822	Europe	
18872	51.5207	-0.142822	Europe	
19095	34.0209	-118.211	North America	
19109	39.0795	-76.8577	North America	
19168	51.5207	-0.142822	Europe	
19263	51.5207	-0.142822	Europe	
19434	48.6839	6.11844	Europe	
19479	51.5207	-0.142822	Europe	
19503	51.5207	-0.142822	Europe	
19642	51.5207	-0.142822	Europe	
19655	33.8031	-117.94	North America	
19709	51.5207	-0.142822	Europe	
19805	51.5207	-0.142822	Europe	
19847	19.3357	-99.1243	North America	
19907	51.5207	-0.142822	Europe	
19937	51.5207	-0.142822	Europe	
20025	51.5207	-0.142822	Europe	
20096	51.5207	-0.142822	Europe	
20140	51.5207	-0.142822	Europe	
20179	51.5207	-0.142822	Europe	
20231	-19.9187	-43.9598	South America	
20294	51.5207	-0.142822	Europe	
20372	40.9521	-74.2258	North America	
20472	29.8239	-95.4621	North America	
20581	51.5207	-0.142822	Europe	
20585	51.5207	-0.142822	Europe	
20681	-29.0686	-51.0353	South America	
20728	41.9862	-72.622	North America	
20742	40.073	-74.7243	North America	
20849	33.641	-83.9693	North America	
20869	55.7559	37.5483	Europe	
20923	51.5207	-0.142822	Europe	
20950	51.5207	-0.142822	Europe	
21251	-33.731	151.012	Oceania	
