Tweet Id 	 Latitude 	 Longitude
3	51.5207	-0.142822	
4	48.9009	2.33475	
15	51.5207	-0.142822	
27	51.5207	-0.142822	
60	51.5207	-0.142822	
134	51.5207	-0.142822	
147	52.3834	13.1196	
157	52.3871	13.1165	
174	-6.27976	106.851	
181	51.5207	-0.142822	
255	-13.997	-42.4764	
275	34.7156	-82.2814	
284	49.1994	-122.913	
301	51.5207	-0.142822	
356	51.5207	-0.142822	
368	14.5572	121.064	
370	40.7809	-73.9772	
393	49.1994	-122.913	
416	38.2753	24.508	
443	51.5207	-0.142822	
468	49.1994	-122.913	
503	49.1994	-122.913	
513	52.3871	13.1165	
523	39.4207	26.8072	
534	51.5207	-0.142822	
571	6.44655	100.28	
592	51.5207	-0.142822	
651	35.8813	-77.8812	
668	51.5207	-0.142822	
673	42.3961	-82.1607	
697	51.5207	-0.142822	
716	51.5207	-0.142822	
793	51.5207	-0.142822	
862	51.5207	-0.142822	
877	38.2753	24.508	
881	37.6744	-122.1	
894	38.2753	24.508	
988	34.0203	-6.83744	
1003	38.2753	24.508	
1016	38.2753	24.508	
1023	38.2753	24.508	
1054	3.58111	98.6676	
1074	38.2753	24.508	
1090	38.2753	24.508	
1106	38.2753	24.508	
1107	51.5207	-0.142822	
1114	20.6767	-103.337	
1138	38.2753	24.508	
1149	-14.5043	-56.8506	
1167	-6.90558	107.626	
1202	9.37391	-83.7087	
1216	51.5207	-0.142822	
1234	51.5207	-0.142822	
1268	5.49076	100.436	
1305	51.5207	-0.142822	
1424	51.5207	-0.142822	
1443	51.5698	-0.505873	
1516	49.1994	-122.913	
1539	51.5207	-0.142822	
1556	49.1994	-122.913	
1604	39.4207	26.8072	
1606	44.9008	-89.5695	
1611	50.2133	19.007	
1624	49.1994	-122.913	
1694	51.5207	-0.142822	
1717	-23.621	-46.7853	
1734	-23.621	-46.7853	
1790	52.3871	13.1165	
1791	39.5469	-85.7753	
1797	-6.98644	110.367	
1858	-22.916	-43.4474	
1938	49.1994	-122.913	
2029	51.5207	-0.142822	
2059	49.1994	-122.913	
2137	51.5207	-0.142822	
2146	52.3834	13.1196	
2151	51.5207	-0.142822	
2164	-6.12549	106.158	
2176	51.5207	-0.142822	
2198	39.4207	26.8072	
2232	44.985	-93.2394	
2289	49.1994	-122.913	
2296	51.5207	-0.142822	
2322	51.5207	-0.142822	
2324	51.5207	-0.142822	
2345	60.9716	25.689	
2346	51.5207	-0.142822	
2349	41.1482	-81.3311	
2420	51.5207	-0.142822	
2423	51.5207	-0.142822	
2463	52.3834	13.1196	
2495	51.5207	-0.142822	
2511	-23.6828	-46.5955	
2585	51.5207	-0.142822	
2620	51.5207	-0.142822	
2659	51.5207	-0.142822	
2674	51.5207	-0.142822	
2681	-6.7643	-38.9888	
2729	51.5207	-0.142822	
2752	49.1994	-122.913	
2770	51.5207	-0.142822	
2825	51.5207	-0.142822	
2873	51.5207	-0.142822	
2884	51.5207	-0.142822	
2940	33.6017	-7.60975	
2948	51.5207	-0.142822	
3009	51.5207	-0.142822	
3019	49.1994	-122.913	
3035	39.956	-75.2413	
3044	51.5207	-0.142822	
3054	39.4207	26.8072	
3075	51.5207	-0.142822	
3082	49.1994	-122.913	
3084	51.5207	-0.142822	
3119	51.5207	-0.142822	
3131	3.14845	101.705	
3195	51.5207	-0.142822	
3207	51.5207	-0.142822	
3211	49.1994	-122.913	
3276	-22.2387	-49.1125	
3287	-15.7763	-47.7966	
3314	52.0819	15.6121	
3408	34.0209	-118.211	
3424	34.0679	-118.299	
3459	51.5207	-0.142822	
3479	34.0209	-118.211	
3485	34.0209	-118.211	
3514	39.4207	26.8072	
3531	51.5207	-0.142822	
3537	49.1994	-122.913	
3538	49.1994	-122.913	
3554	51.5207	-0.142822	
3561	51.5207	-0.142822	
3599	51.5207	-0.142822	
3670	41.8685	-72.8176	
3691	51.5207	-0.142822	
3761	51.5207	-0.142822	
3788	38.2753	24.508	
3794	55.5715	38.2275	
3823	38.2753	24.508	
3849	38.2753	24.508	
3850	-21.2134	-47.818	
3876	38.2753	24.508	
3914	51.5207	-0.142822	
3919	24.988	102.695	
3921	38.2753	24.508	
3933	51.5207	-0.142822	
3938	38.2753	24.508	
3959	51.5207	-0.142822	
3963	49.1994	-122.913	
3986	51.5207	-0.142822	
4003	51.5207	-0.142822	
4013	51.5207	-0.142822	
4029	38.2753	24.508	
4032	51.5207	-0.142822	
4041	38.2753	24.508	
4042	3.14845	101.705	
4065	51.5207	-0.142822	
4071	38.2753	24.508	
4076	51.5207	-0.142822	
4082	51.6248	-3.9459	
4085	49.1994	-122.913	
4089	55.7411	38.0491	
4124	39.4207	26.8072	
4158	-5.79927	-35.2213	
4215	51.5207	-0.142822	
4227	49.1994	-122.913	
4231	49.1994	-122.913	
4305	39.4207	26.8072	
4308	49.1994	-122.913	
4337	51.5207	-0.142822	
4385	51.5207	-0.142822	
4390	51.5207	-0.142822	
