Tweet Id 	 Latitude 	 Longitude 	 Continent
235	39.1842	-77.2274	North America	
342	51.5207	-0.142822	Europe	
419	48.7453	2.52516	Europe	
427	48.7453	2.52516	Europe	
529	30.4223	-9.58203	Africa	
844	51.5207	-0.142822	Europe	
936	39.4224	-0.352529	Europe	
940	-7.97656	112.628	Asia	
1154	42.378	-83.2668	North America	
1235	48.7646	2.31052	Europe	
1304	48.5693	7.76221	Europe	
1334	48.7885	2.61732	Europe	
1555	39.4207	26.8072	Asia	
1604	39.4207	26.8072	Asia	
1609	51.5207	-0.142822	Europe	
1857	48.7891	2.39509	Europe	
2046	48.0242	0.3352	Europe	
2181	-14.2393	-53.1848	South America	
2190	39.1024	-84.5155	North America	
2248	43.2943	5.40513	Europe	
2551	37.5295	-122.009	North America	
2605	39.4207	26.8072	Asia	
2747	39.4207	26.8072	Asia	
2997	52.3834	13.1196	Europe	
3048	44.8377	-0.574654	Europe	
3067	51.5207	-0.142822	Europe	
3079	49.1994	-122.913	North America	
3157	48.913	2.33418	Europe	
3176	51.5207	-0.142822	Europe	
3404	51.5207	-0.142822	Europe	
3415	51.5207	-0.142822	Europe	
3466	48.9005	2.48481	Europe	
3581	32.6613	-117.091	North America	
3619	-6.23296	106.834	Asia	
3682	48.5303	2.25007	Europe	
4030	39.4207	26.8072	Asia	
4040	14.6268	-61.0749	North America	
4119	51.5207	-0.142822	Europe	
4228	45.552	-73.7359	North America	
4387	51.5207	-0.142822	Europe	
4619	51.5207	-0.142822	Europe	
4710	39.4207	26.8072	Asia	
4891	39.4207	26.8072	Asia	
4976	52.3834	13.1196	Europe	
5320	39.4207	26.8072	Asia	
5636	39.4207	26.8072	Asia	
5785	40.8314	-73.8681	North America	
5918	-30.0997	-51.1593	South America	
6018	45.2482	-75.8001	North America	
6051	51.5207	-0.142822	Europe	
6144	39.4207	26.8072	Asia	
6288	51.5207	-0.142822	Europe	
6338	47.2565	39.7904	Europe	
6724	48.6189	2.97564	Europe	
6966	51.5207	-0.142822	Europe	
6970	48.8617	2.34677	Europe	
6971	39.4207	26.8072	Asia	
7054	-36.7374	-71.0353	South America	
7059	48.383	31.1814	Europe	
7105	39.4207	26.8072	Asia	
