Tweet Id 	 Latitude 	 Longitude 	 Continent
50	40.0025	-75.118	North America	
71	42.4512	-83.1706	North America	
175	51.5207	-0.142822	Europe	
320	34.0209	-118.211	North America	
368	14.5572	121.064	Asia	
464	49.1994	-122.913	North America	
485	51.5207	-0.142822	Europe	
540	33.5379	-84.4921	North America	
594	43.6707	7.15032	Europe	
659	51.5207	-0.142822	Europe	
693	40.0309	-74.8612	North America	
738	51.5207	-0.142822	Europe	
741	31.1689	-100.077	North America	
746	40.1949	-85.3876	North America	
755	51.5207	-0.142822	Europe	
769	-6.17056	106.82	Asia	
891	-14.5043	-56.8506	South America	
1038	3.14845	101.705	Asia	
1053	34.1662	-106.026	North America	
1064	34.1662	-106.026	North America	
1073	49.1994	-122.913	North America	
1099	37.929	-121.74	North America	
1118	34.1662	-106.026	North America	
1141	-6.16896	106.827	Asia	
1212	49.1994	-122.913	North America	
1464	34.7955	-85.003	North America	
1521	40.3111	-79.8877	North America	
1606	44.9008	-89.5695	North America	
1656	34.9667	-81.9385	North America	
1664	49.1994	-122.913	North America	
1740	9.92877	76.3191	Asia	
1758	39.4207	26.8072	Asia	
1759	49.1994	-122.913	North America	
1765	51.5207	-0.142822	Europe	
1778	29.2103	-81.0967	North America	
1812	51.5207	-0.142822	Europe	
1945	20.9516	-103.027	North America	
1999	51.5207	-0.142822	Europe	
2227	51.5207	-0.142822	Europe	
2330	51.5207	-0.142822	Europe	
2360	53.9522	-1.04621	Europe	
2472	34.2133	-119.207	North America	
2590	52.3871	13.1165	Europe	
2651	41.4751	-81.5504	North America	
2687	39.4207	26.8072	Asia	
2692	41.4751	-81.5504	North America	
2715	51.5207	-0.142822	Europe	
2774	-33.945	25.5699	Africa	
2805	38.0378	-84.501	North America	
2858	34.0209	-118.211	North America	
2906	59.3942	18.6174	Europe	
2927	51.5207	-0.142822	Europe	
2956	52.3834	13.1196	Europe	
2959	-6.90558	107.626	Asia	
2963	51.5207	-0.142822	Europe	
3003	-6.90558	107.626	Asia	
3017	51.5207	-0.142822	Europe	
3042	52.5253	6.2707	Europe	
3056	32.6782	-83.1783	North America	
3126	39.4207	26.8072	Asia	
3250	51.5207	-0.142822	Europe	
3369	51.5207	-0.142822	Europe	
3402	52.3871	13.1165	Europe	
3501	51.5207	-0.142822	Europe	
3595	51.5207	-0.142822	Europe	
3658	51.5207	-0.142822	Europe	
3702	42.3216	14.0902	Europe	
3726	-7.27568	-35.9777	South America	
3740	-6.16896	106.827	Asia	
3815	32.722	-97.6273	North America	
3841	33.4819	-86.9044	North America	
3975	51.5207	-0.142822	Europe	
4011	37.6791	-122.134	North America	
4034	51.5207	-0.142822	Europe	
4242	40.2628	-75.6091	North America	
4321	49.1994	-122.913	North America	
4380	32.6613	-117.091	North America	
4391	49.1994	-122.913	North America	
4400	42.3375	-122.879	North America	
4700	51.5207	-0.142822	Europe	
4807	49.1994	-122.913	North America	
4848	52.3871	13.1165	Europe	
4927	39.4395	-83.8203	North America	
4936	51.5207	-0.142822	Europe	
4958	51.5207	-0.142822	Europe	
5000	51.5207	-0.142822	Europe	
5061	2.04811	103.382	Asia	
5167	28.2535	-80.6074	North America	
5244	39.4207	26.8072	Asia	
5339	51.5207	-0.142822	Europe	
5413	51.5207	-0.142822	Europe	
5458	51.5207	-0.142822	Europe	
5534	-6.16896	106.827	Asia	
5553	51.5207	-0.142822	Europe	
5713	34.2175	-79.2579	North America	
5788	51.5207	-0.142822	Europe	
5834	51.5207	-0.142822	Europe	
5947	39.4207	26.8072	Asia	
5952	51.5207	-0.142822	Europe	
5993	-22.916	-43.4474	South America	
5999	25.7558	-80.2957	North America	
6136	51.5207	-0.142822	Europe	
6329	39.4207	26.8072	Asia	
6417	39.0718	-77.1247	North America	
6437	39.4207	26.8072	Asia	
6819	51.5207	-0.142822	Europe	
6826	33.8146	-84.0081	North America	
6873	51.5207	-0.142822	Europe	
6889	38.8048	-77.237	North America	
7031	51.6664	-0.0844418	Europe	
7047	40.2333	-76.8217	North America	
7053	-7.27568	-35.9777	South America	
7097	49.1994	-122.913	North America	
7098	49.1994	-122.913	North America	
7209	40.0445	-75.1639	North America	
7340	41.9349	-87.7338	North America	
7348	-6.16896	106.827	Asia	
7406	39.4207	26.8072	Asia	
7496	40.7809	-73.9772	North America	
7565	-23.8041	-46.5307	South America	
7641	51.5207	-0.142822	Europe	
7643	52.3871	13.1165	Europe	
7647	38.6054	-76.926	North America	
7660	38.6054	-76.926	North America	
7738	34.1662	-106.026	North America	
7758	51.5207	-0.142822	Europe	
7825	51.5207	-0.142822	Europe	
7875	33.8382	-117.189	North America	
7879	33.8382	-117.189	North America	
7944	39.4207	26.8072	Asia	
7986	51.5207	-0.142822	Europe	
8033	51.5207	-0.142822	Europe	
8201	43.0813	-87.9164	North America	
8339	0.247298	-51.0638	South America	
8363	41.7004	-88.1682	North America	
8421	39.4207	26.8072	Asia	
8457	39.4207	26.8072	Asia	
8468	51.5207	-0.142822	Europe	
8478	43.6008	1.4329	Europe	
8520	51.5207	-0.142822	Europe	
8601	51.5207	-0.142822	Europe	
8641	-6.16896	106.827	Asia	
8658	51.5207	-0.142822	Europe	
8793	51.5207	-0.142822	Europe	
8807	51.5207	-0.142822	Europe	
8844	52.3871	13.1165	Europe	
8874	51.5207	-0.142822	Europe	
8888	51.5207	-0.142822	Europe	
8898	61.2073	-149.816	North America	
