Tweet Id 	 Latitude 	 Longitude 	 Continent
12	52.3871	13.1165	Europe	
54	52.3871	13.1165	Europe	
69	52.3871	13.1165	Europe	
87	52.3871	13.1165	Europe	
96	-23.6004	-46.5445	South America	
98	52.3871	13.1165	Europe	
99	52.3834	13.1196	Europe	
138	52.3871	13.1165	Europe	
154	52.3871	13.1165	Europe	
203	52.3871	13.1165	Europe	
214	52.3871	13.1165	Europe	
227	-25.4951	-49.2884	South America	
231	52.3871	13.1165	Europe	
279	52.3871	13.1165	Europe	
293	52.3834	13.1196	Europe	
299	52.3834	13.1196	Europe	
304	52.3871	13.1165	Europe	
318	48.7336	2.45753	Europe	
341	52.3871	13.1165	Europe	
361	52.3871	13.1165	Europe	
375	52.3871	13.1165	Europe	
380	52.3871	13.1165	Europe	
395	52.3834	13.1196	Europe	
412	52.3871	13.1165	Europe	
422	-25.4953	-49.2884	South America	
430	52.3834	13.1196	Europe	
434	52.3871	13.1165	Europe	
466	52.3871	13.1165	Europe	
475	52.3871	13.1165	Europe	
486	52.3834	13.1196	Europe	
491	52.3871	13.1165	Europe	
513	52.3871	13.1165	Europe	
526	52.3871	13.1165	Europe	
527	52.3871	13.1165	Europe	
533	52.3871	13.1165	Europe	
566	52.3871	13.1165	Europe	
568	52.3871	13.1165	Europe	
569	52.3871	13.1165	Europe	
605	52.3871	13.1165	Europe	
611	52.3871	13.1165	Europe	
796	52.3871	13.1165	Europe	
797	52.3871	13.1165	Europe	
803	52.3871	13.1165	Europe	
819	52.3871	13.1165	Europe	
866	52.3834	13.1196	Europe	
883	52.3871	13.1165	Europe	
900	-7.54153	110.763	Asia	
915	52.3871	13.1165	Europe	
925	52.3871	13.1165	Europe	
929	52.3871	13.1165	Europe	
972	52.3834	13.1196	Europe	
993	52.3834	13.1196	Europe	
1112	52.3871	13.1165	Europe	
1160	52.3871	13.1165	Europe	
1366	52.3871	13.1165	Europe	
1374	52.3834	13.1196	Europe	
1398	52.3871	13.1165	Europe	
1415	52.3871	13.1165	Europe	
1450	52.3871	13.1165	Europe	
1550	52.3871	13.1165	Europe	
1570	52.3871	13.1165	Europe	
1581	52.3834	13.1196	Europe	
1587	52.3871	13.1165	Europe	
1635	50.652	-4.03372	Europe	
1638	-23.3921	-46.4538	South America	
1661	52.3834	13.1196	Europe	
1665	52.3871	13.1165	Europe	
1696	-5.18848	119.441	Asia	
1754	52.3834	13.1196	Europe	
1813	52.3871	13.1165	Europe	
1876	52.3871	13.1165	Europe	
1885	52.3871	13.1165	Europe	
1912	52.3871	13.1165	Europe	
2013	52.3834	13.1196	Europe	
2100	52.3834	13.1196	Europe	
2143	52.3834	13.1196	Europe	
2148	52.3834	13.1196	Europe	
2192	52.3871	13.1165	Europe	
2206	52.3834	13.1196	Europe	
2269	52.3871	13.1165	Europe	
2277	52.3834	13.1196	Europe	
2344	52.3834	13.1196	Europe	
2376	52.3871	13.1165	Europe	
2382	52.3871	13.1165	Europe	
2400	52.3871	13.1165	Europe	
2408	52.3871	13.1165	Europe	
2418	52.3834	13.1196	Europe	
2419	52.3871	13.1165	Europe	
2465	52.3871	13.1165	Europe	
2520	52.3871	13.1165	Europe	
2525	52.3871	13.1165	Europe	
2547	52.3871	13.1165	Europe	
2579	52.3871	13.1165	Europe	
2590	52.3871	13.1165	Europe	
2596	52.3871	13.1165	Europe	
2609	52.3871	13.1165	Europe	
2610	52.3834	13.1196	Europe	
2662	52.3834	13.1196	Europe	
2665	52.3834	13.1196	Europe	
2761	52.3834	13.1196	Europe	
2802	52.3834	13.1196	Europe	
2829	52.3871	13.1165	Europe	
2918	52.3834	13.1196	Europe	
2941	52.3834	13.1196	Europe	
2970	52.3871	13.1165	Europe	
2996	52.3834	13.1196	Europe	
2998	52.3834	13.1196	Europe	
3000	52.3871	13.1165	Europe	
3092	52.3871	13.1165	Europe	
3122	52.3834	13.1196	Europe	
3131	3.14845	101.705	Asia	
3150	52.3871	13.1165	Europe	
3166	52.3834	13.1196	Europe	
3178	52.3871	13.1165	Europe	
3232	52.3871	13.1165	Europe	
3272	52.3871	13.1165	Europe	
3277	52.3834	13.1196	Europe	
3284	52.3871	13.1165	Europe	
3293	52.3871	13.1165	Europe	
3302	52.3871	13.1165	Europe	
3315	52.3871	13.1165	Europe	
3322	52.3871	13.1165	Europe	
3361	52.3871	13.1165	Europe	
3384	52.3871	13.1165	Europe	
3386	52.3871	13.1165	Europe	
3401	59.0838	17.5272	Europe	
3402	52.3871	13.1165	Europe	
3403	52.3871	13.1165	Europe	
3420	52.3871	13.1165	Europe	
3426	52.3871	13.1165	Europe	
3445	52.3871	13.1165	Europe	
3464	52.3871	13.1165	Europe	
3470	52.3871	13.1165	Europe	
3500	52.3871	13.1165	Europe	
3509	52.3871	13.1165	Europe	
3556	52.3871	13.1165	Europe	
3567	51.5207	-0.142822	Europe	
3629	52.3834	13.1196	Europe	
3639	52.3871	13.1165	Europe	
3706	52.3871	13.1165	Europe	
3729	52.3871	13.1165	Europe	
3747	52.3871	13.1165	Europe	
3759	52.3871	13.1165	Europe	
3825	52.3871	13.1165	Europe	
3848	52.3871	13.1165	Europe	
3890	52.3871	13.1165	Europe	
3917	52.3834	13.1196	Europe	
3932	41.9041	-8.86167	Europe	
4060	52.3871	13.1165	Europe	
4091	52.3871	13.1165	Europe	
4139	52.3834	13.1196	Europe	
4157	52.3871	13.1165	Europe	
4186	52.3871	13.1165	Europe	
4210	52.3871	13.1165	Europe	
4271	52.3871	13.1165	Europe	
4273	52.3834	13.1196	Europe	
4286	52.3871	13.1165	Europe	
4290	52.3834	13.1196	Europe	
4297	52.3871	13.1165	Europe	
4339	52.3871	13.1165	Europe	
4350	52.3871	13.1165	Europe	
4384	52.3834	13.1196	Europe	
4416	52.3871	13.1165	Europe	
4456	52.3871	13.1165	Europe	
4489	52.3871	13.1165	Europe	
4630	52.3834	13.1196	Europe	
4635	52.3834	13.1196	Europe	
4646	52.3871	13.1165	Europe	
4665	52.3871	13.1165	Europe	
4689	52.3871	13.1165	Europe	
4795	52.3871	13.1165	Europe	
4822	52.3871	13.1165	Europe	
4848	52.3871	13.1165	Europe	
4874	52.3871	13.1165	Europe	
4880	52.3871	13.1165	Europe	
5031	52.3871	13.1165	Europe	
5045	52.3834	13.1196	Europe	
5047	52.3871	13.1165	Europe	
5083	51.5207	-0.142822	Europe	
5092	52.3834	13.1196	Europe	
5093	52.3834	13.1196	Europe	
5112	52.3834	13.1196	Europe	
5193	52.3834	13.1196	Europe	
5194	52.3871	13.1165	Europe	
5209	52.3871	13.1165	Europe	
5232	51.5207	-0.142822	Europe	
5273	52.3871	13.1165	Europe	
5295	0.631816	101.416	Asia	
5300	52.3871	13.1165	Europe	
5312	52.3871	13.1165	Europe	
5321	52.3871	13.1165	Europe	
5323	52.3834	13.1196	Europe	
5375	52.3871	13.1165	Europe	
5472	52.3871	13.1165	Europe	
5475	52.3871	13.1165	Europe	
5483	52.3834	13.1196	Europe	
5499	52.3871	13.1165	Europe	
5503	52.3871	13.1165	Europe	
5523	52.3871	13.1165	Europe	
5545	52.3871	13.1165	Europe	
5607	52.3834	13.1196	Europe	
5626	52.3871	13.1165	Europe	
5670	52.3871	13.1165	Europe	
5685	52.3871	13.1165	Europe	
5704	52.3871	13.1165	Europe	
5721	52.3871	13.1165	Europe	
5733	52.3871	13.1165	Europe	
5781	52.3834	13.1196	Europe	
5806	52.3834	13.1196	Europe	
5819	52.3834	13.1196	Europe	
5855	52.3871	13.1165	Europe	
5900	52.3871	13.1165	Europe	
5929	52.3871	13.1165	Europe	
5933	52.3834	13.1196	Europe	
6061	52.3871	13.1165	Europe	
6090	52.3871	13.1165	Europe	
6121	52.3871	13.1165	Europe	
6153	52.3871	13.1165	Europe	
6194	52.3834	13.1196	Europe	
6203	52.3871	13.1165	Europe	
6221	52.3871	13.1165	Europe	
6229	52.3834	13.1196	Europe	
6245	52.3871	13.1165	Europe	
6279	52.3834	13.1196	Europe	
6293	52.3871	13.1165	Europe	
6311	52.3871	13.1165	Europe	
6312	52.3871	13.1165	Europe	
6313	52.3834	13.1196	Europe	
6332	52.3871	13.1165	Europe	
6348	52.3871	13.1165	Europe	
6370	52.3871	13.1165	Europe	
6389	52.3871	13.1165	Europe	
6392	52.3871	13.1165	Europe	
6427	52.3871	13.1165	Europe	
6463	52.3871	13.1165	Europe	
6466	52.3871	13.1165	Europe	
6488	52.3834	13.1196	Europe	
6492	52.3871	13.1165	Europe	
6530	52.3871	13.1165	Europe	
6572	52.3834	13.1196	Europe	
6599	52.3871	13.1165	Europe	
6616	52.3871	13.1165	Europe	
6701	52.3871	13.1165	Europe	
6721	52.3871	13.1165	Europe	
6747	52.3871	13.1165	Europe	
6761	52.3834	13.1196	Europe	
6770	52.3871	13.1165	Europe	
6798	52.3871	13.1165	Europe	
6841	52.3871	13.1165	Europe	
6844	52.3871	13.1165	Europe	
6853	52.3871	13.1165	Europe	
6884	52.3834	13.1196	Europe	
6893	52.3834	13.1196	Europe	
6901	52.3871	13.1165	Europe	
6921	52.3871	13.1165	Europe	
6928	52.3871	13.1165	Europe	
6943	52.3871	13.1165	Europe	
6946	52.3871	13.1165	Europe	
6960	52.3871	13.1165	Europe	
6989	52.3871	13.1165	Europe	
7004	52.3871	13.1165	Europe	
7029	52.3834	13.1196	Europe	
7069	52.3871	13.1165	Europe	
7093	52.3871	13.1165	Europe	
7118	52.3871	13.1165	Europe	
7190	52.3871	13.1165	Europe	
7200	52.3871	13.1165	Europe	
7207	52.3871	13.1165	Europe	
7241	52.3871	13.1165	Europe	
7247	52.3871	13.1165	Europe	
7302	52.3834	13.1196	Europe	
7325	52.3834	13.1196	Europe	
7386	52.3871	13.1165	Europe	
7404	52.3834	13.1196	Europe	
7407	52.3871	13.1165	Europe	
7451	52.3871	13.1165	Europe	
7471	52.3834	13.1196	Europe	
7484	52.3871	13.1165	Europe	
7491	19.2433	-103.725	North America	
7571	52.3834	13.1196	Europe	
7574	52.3834	13.1196	Europe	
7644	52.3871	13.1165	Europe	
7657	52.3871	13.1165	Europe	
7694	52.3834	13.1196	Europe	
7737	45.7578	4.8351	Europe	
7740	52.3871	13.1165	Europe	
7757	52.3871	13.1165	Europe	
7774	52.3871	13.1165	Europe	
7781	52.3871	13.1165	Europe	
7802	52.3834	13.1196	Europe	
7853	52.3834	13.1196	Europe	
7869	52.3871	13.1165	Europe	
7896	52.3834	13.1196	Europe	
7902	52.3834	13.1196	Europe	
8000	52.3834	13.1196	Europe	
8030	52.3871	13.1165	Europe	
8045	52.3871	13.1165	Europe	
8075	52.3871	13.1165	Europe	
8078	52.3871	13.1165	Europe	
8129	52.3871	13.1165	Europe	
8141	52.3871	13.1165	Europe	
8143	52.3871	13.1165	Europe	
8185	51.5207	-0.142822	Europe	
8186	2.20133	102.248	Asia	
8194	52.3834	13.1196	Europe	
8284	54.741	55.966	Europe	
8286	54.741	55.966	Europe	
8290	52.3834	13.1196	Europe	
8306	52.3871	13.1165	Europe	
8309	52.3871	13.1165	Europe	
8321	52.3834	13.1196	Europe	
8375	52.3834	13.1196	Europe	
8460	52.3834	13.1196	Europe	
8488	52.3871	13.1165	Europe	
8551	52.3871	13.1165	Europe	
8584	52.3871	13.1165	Europe	
8591	52.3871	13.1165	Europe	
8620	52.3871	13.1165	Europe	
8639	51.5207	-0.142822	Europe	
8648	52.3834	13.1196	Europe	
8660	52.3871	13.1165	Europe	
8765	52.3871	13.1165	Europe	
8772	52.3871	13.1165	Europe	
8799	52.3834	13.1196	Europe	
8810	52.3871	13.1165	Europe	
8844	52.3871	13.1165	Europe	
8850	52.9704	36.0825	Europe	
8856	52.3871	13.1165	Europe	
8917	52.3871	13.1165	Europe	
8934	52.3871	13.1165	Europe	
8965	52.3871	13.1165	Europe	
8972	52.3834	13.1196	Europe	
8982	52.3871	13.1165	Europe	
8988	52.3834	13.1196	Europe	
8990	52.3871	13.1165	Europe	
9000	39.4207	26.8072	Asia	
9002	52.3871	13.1165	Europe	
9008	52.3871	13.1165	Europe	
9009	52.3871	13.1165	Europe	
9038	52.3871	13.1165	Europe	
9041	52.3834	13.1196	Europe	
9113	52.3834	13.1196	Europe	
9125	52.3871	13.1165	Europe	
9178	-6.21603	106.964	Asia	
9199	52.3834	13.1196	Europe	
9205	52.3871	13.1165	Europe	
9208	54.6851	-1.79769	Europe	
9213	52.3834	13.1196	Europe	
9215	52.3871	13.1165	Europe	
9225	52.3834	13.1196	Europe	
9280	0.247298	-51.0638	South America	
9321	52.3834	13.1196	Europe	
9332	37.1803	-3.59799	Europe	
9334	52.3871	13.1165	Europe	
9359	52.3834	13.1196	Europe	
9420	52.3834	13.1196	Europe	
9523	52.3834	13.1196	Europe	
9535	51.5207	-0.142822	Europe	
9536	52.3834	13.1196	Europe	
9571	52.3834	13.1196	Europe	
9624	52.3871	13.1165	Europe	
9699	52.3871	13.1165	Europe	
9717	52.3834	13.1196	Europe	
9718	-5.13856	119.483	Asia	
9789	52.3871	13.1165	Europe	
9796	52.3871	13.1165	Europe	
9860	52.3871	13.1165	Europe	
9861	52.3834	13.1196	Europe	
9868	52.3871	13.1165	Europe	
9878	52.3834	13.1196	Europe	
9886	52.3871	13.1165	Europe	
9887	52.3871	13.1165	Europe	
9903	52.3871	13.1165	Europe	
9908	52.3871	13.1165	Europe	
9950	-30.0997	-51.1593	South America	
9959	52.3871	13.1165	Europe	
10003	52.3834	13.1196	Europe	
10004	52.3834	13.1196	Europe	
10011	52.3871	13.1165	Europe	
10027	35.6242	139.695	Asia	
10054	52.3834	13.1196	Europe	
10067	-23.6828	-46.5955	South America	
10069	52.3871	13.1165	Europe	
10112	52.3871	13.1165	Europe	
10116	52.3871	13.1165	Europe	
10139	52.3871	13.1165	Europe	
10146	52.3834	13.1196	Europe	
10209	52.3871	13.1165	Europe	
10262	52.3871	13.1165	Europe	
10293	52.3871	13.1165	Europe	
10318	52.3834	13.1196	Europe	
10394	52.3834	13.1196	Europe	
10407	51.6793	39.236	Europe	
10468	52.3834	13.1196	Europe	
10548	52.3871	13.1165	Europe	
10583	52.3834	13.1196	Europe	
10601	52.3871	13.1165	Europe	
10670	52.3871	13.1165	Europe	
10689	52.3871	13.1165	Europe	
10692	52.3871	13.1165	Europe	
10720	52.3834	13.1196	Europe	
10769	52.3834	13.1196	Europe	
10842	52.3834	13.1196	Europe	
10861	52.3871	13.1165	Europe	
10913	52.3871	13.1165	Europe	
10945	52.3834	13.1196	Europe	
10977	52.3871	13.1165	Europe	
10997	52.3834	13.1196	Europe	
11090	44.2151	20.9238	Europe	
11144	52.3871	13.1165	Europe	
11149	52.3834	13.1196	Europe	
11239	-22.8952	-47.0303	South America	
11253	51.5207	-0.142822	Europe	
11255	52.3871	13.1165	Europe	
11261	52.3871	13.1165	Europe	
11290	52.3871	13.1165	Europe	
11301	52.3834	13.1196	Europe	
11306	52.3871	13.1165	Europe	
