Tweet Id 	 Latitude 	 Longitude 	 Continent
53	1.34741	103.719	Asia	
55	1.42734	103.765	Asia	
73	51.5207	-0.142822	Europe	
127	-23.6828	-46.5955	South America	
145	13.6883	-89.1493	North America	
153	39.9773	-75.2366	North America	
173	-12.8753	-38.5026	South America	
192	-23.6828	-46.5955	South America	
193	36.7967	-4.68937	Europe	
243	-23.4765	-46.649	South America	
272	-28.71	-55.8067	South America	
333	-23.6828	-46.5955	South America	
376	18.5538	-70.0551	North America	
390	-33.4087	-70.7358	South America	
399	39.4207	26.8072	Asia	
402	49.1994	-122.913	North America	
408	49.1994	-122.913	North America	
421	-24.4945	-53.3	South America	
446	-33.4087	-70.7358	South America	
457	-23.6211	-46.7853	South America	
462	49.1994	-122.913	North America	
483	-30.0997	-51.1593	South America	
510	34.1201	-117.509	North America	
550	47.6728	-117.412	North America	
567	-22.1609	-54.8613	South America	
590	52.3834	13.1196	Europe	
598	19.3147	-99.0914	North America	
602	19.3184	-98.2454	North America	
614	-19.8274	-43.0981	South America	
637	-37.4735	-72.3708	South America	
660	40.289	-3.79186	Europe	
679	38.9637	35.2433	Asia	
731	-23.6828	-46.5955	South America	
748	19.3184	-98.2454	North America	
751	52.9933	-1.16315	Europe	
775	13.7048	-89.2449	North America	
781	3.13396	101.686	Asia	
785	53.5272	-2.57256	Europe	
787	-22.916	-43.4473	South America	
805	-23.6828	-46.5955	South America	
842	-23.0614	-45.9175	South America	
857	-7.44387	109.709	Asia	
910	41.3941	2.1393	Europe	
953	44.9008	-89.5695	North America	
962	51.5207	-0.142822	Europe	
963	37.7632	-81.8256	North America	
975	3.03296	101.654	Asia	
1009	-22.916	-43.4474	South America	
1087	51.2736	0.517968	Europe	
1108	51.5207	-0.142822	Europe	
1113	-22.8952	-47.0303	South America	
1124	-29.5925	-50.8105	South America	
1141	-6.16896	106.827	Asia	
1163	34.0922	-118.308	North America	
1179	34.245	-77.9397	North America	
1188	-23.5479	-46.8454	South America	
1191	-25.4953	-49.2884	South America	
1213	-36.0658	146.946	Oceania	
1230	36.7977	-98.6671	North America	
1240	52.3834	13.1196	Europe	
1280	1.50099	103.739	Asia	
1287	-6.38048	106.832	Asia	
1292	1.43785	103.791	Asia	
1293	1.50756	103.776	Asia	
1329	-22.8952	-47.0303	South America	
1342	-22.916	-43.4473	South America	
1350	-22.8952	-47.0303	South America	
1355	1.43785	103.791	Asia	
1364	40.4778	-3.70352	Europe	
1378	34.1006	-118.305	North America	
1393	49.1994	-122.913	North America	
1407	40.4778	-3.70352	Europe	
1451	51.5207	-0.142822	Europe	
1454	51.5207	-0.142822	Europe	
1465	49.1994	-122.913	North America	
1486	-23.6828	-46.5955	South America	
1499	39.57	-76.9877	North America	
1538	20.4932	-89.7131	North America	
1551	49.1994	-122.913	North America	
1600	29.481	-98.4934	North America	
1608	43.7269	7.23118	Europe	
1639	-22.916	-43.4474	South America	
1672	-21.8793	-47.9053	South America	
1674	-7.25322	112.766	Asia	
1708	29.476	-95.0998	North America	
1782	-23.621	-45.4901	South America	
1814	51.5207	-0.142822	Europe	
1855	-23.621	-45.4901	South America	
1875	59.4743	32.0514	Europe	
1892	41.8984	12.5451	Europe	
1902	49.1994	-122.913	North America	
1969	49.1994	-122.913	North America	
2010	39.4207	26.8072	Asia	
2039	55.7559	37.5483	Europe	
2052	-22.6804	-47.0163	South America	
2055	-19.4455	-42.6011	South America	
2079	-23.0614	-45.9175	South America	
2083	-16.6428	-49.2612	South America	
2126	-15.7763	-47.7966	South America	
2136	51.5207	-0.142822	Europe	
2158	52.0271	4.28801	Europe	
2160	-3.00599	120.199	Asia	
2167	38.1944	-84.8552	North America	
2173	49.1994	-122.913	North America	
2234	-23.7108	-46.4227	South America	
2265	-8.0436	-34.9394	South America	
2297	-21.677	-47.5085	South America	
2302	51.5207	-0.142822	Europe	
2323	3.03296	101.654	Asia	
2352	55.7559	37.5483	Europe	
2361	51.5207	-0.142822	Europe	
2367	55.7559	37.5483	Europe	
2397	3.14845	101.705	Asia	
2416	48.9204	2.31398	Europe	
2441	51.5207	-0.142822	Europe	
2443	51.5207	-0.142822	Europe	
2478	41.023	-76.3092	North America	
2515	49.1994	-122.913	North America	
2540	49.1994	-122.913	North America	
2572	3.03297	101.654	Asia	
2630	-19.4455	-42.6011	South America	
2664	-23.3921	-46.4538	South America	
2680	-23.6828	-46.5955	South America	
2703	-22.8952	-47.0303	South America	
2728	-7.13134	111.79	Asia	
2850	-23.54	-46.3466	South America	
2877	25.7824	-80.2295	North America	
2879	23.5319	89.1722	Asia	
2883	39.5387	-104.976	North America	
2889	-19.9187	-43.9598	South America	
2892	-6.16896	106.827	Asia	
2897	-23.8041	-46.5307	South America	
2902	39.9773	-75.2368	North America	
2908	51.5207	-0.142822	Europe	
2909	49.1994	-122.913	North America	
3039	52.3834	13.1196	Europe	
3049	51.5207	-0.142822	Europe	
3068	-33.8642	151.207	Oceania	
3080	49.1994	-122.913	North America	
3100	-26.8143	-49.2703	South America	
3103	-26.8143	-49.2703	South America	
3109	-19.0045	-48.3585	South America	
3125	-7.78094	110.363	Asia	
3141	-7.78094	110.363	Asia	
3151	56.995	40.9841	Europe	
3169	38.3575	-0.473441	Europe	
3174	-7.78094	110.363	Asia	
3193	-15.7763	-47.7966	South America	
3209	49.1994	-122.913	North America	
3213	49.1994	-122.913	North America	
3254	38.2753	24.508	Europe	
3262	20.941	-89.6236	North America	
3336	35.7012	139.709	Asia	
3346	49.1994	-122.913	North America	
3382	46.5369	6.61947	Europe	
3406	-2.57242	-59.9803	South America	
3429	38.9001	-76.9261	North America	
3451	39.9558	-75.2414	North America	
3480	-30.0997	-51.1593	South America	
3488	42.642	-95.2096	North America	
3503	51.5207	-0.142822	Europe	
3529	-23.6828	-46.5955	South America	
3562	40.7695	-73.9676	North America	
3591	53.0336	-7.31383	Europe	
3605	34.1001	-118.31	North America	
3612	38.2753	24.508	Europe	
3621	-21.9224	-50.7226	South America	
3628	-20.0349	-43.9794	South America	
3635	34.1001	-118.31	North America	
3662	38.2753	24.508	Europe	
3674	-30.0997	-51.1593	South America	
3685	41.7581	2.06928	Europe	
3734	-20.7065	-48.958	South America	
3751	55.5713	37.5722	Europe	
3755	40.7695	-73.9676	North America	
3758	33.5812	-112.129	North America	
3842	39.4207	26.8072	Asia	
3955	43.0877	-87.8899	North America	
3979	20.941	-89.6236	North America	
3998	59.9341	30.3287	Europe	
4047	48.2572	16.4099	Europe	
4084	49.1994	-122.913	North America	
4096	48.383	31.1814	Europe	
4104	53.4424	-2.23348	Europe	
4113	-8.0436	-34.9394	South America	
4147	-8.0436	-34.9394	South America	
4178	-20.5187	-48.6196	South America	
4218	47.7936	3.58776	Europe	
4294	-6.26697	107.009	Asia	
4309	55.7238	37.5692	Europe	
4340	51.5207	-0.142822	Europe	
4383	-23.6578	-46.5704	South America	
4421	-8.0436	-34.9394	South America	
4423	-23.6828	-46.5955	South America	
4448	35.7012	139.709	Asia	
4454	-5.79931	-35.2215	South America	
4461	29.7227	-95.3863	North America	
4514	21.5395	39.2329	Asia	
4542	35.7012	139.709	Asia	
4562	19.4325	-99.1534	North America	
4568	-24.018	-46.5015	South America	
4670	-22.7106	-47.7943	South America	
4723	43.4587	-84.0088	North America	
4833	-23.6317	-46.7078	South America	
4856	52.3834	13.1196	Europe	
4857	29.2039	-96.2761	North America	
4867	40.0691	45.0382	Asia	
4879	31.0682	-97.4697	North America	
4889	35.6303	-88.8045	North America	
4938	19.3428	-99.0504	North America	
4964	-23.086	-45.5067	South America	
4984	32.4519	-85.7151	North America	
5040	-7.9725	112.629	Asia	
5075	51.5207	-0.142822	Europe	
5099	-30.0997	-51.1593	South America	
5134	51.5207	-0.142822	Europe	
5142	51.5207	-0.142822	Europe	
5169	-23.6828	-46.5955	South America	
5213	-31.5614	-52.3342	South America	
5216	-15.799	-47.9166	South America	
5342	-23.4254	-46.0575	South America	
5350	41.0078	29.1263	Asia	
5431	52.0354	4.31864	Europe	
5461	-36.7374	-71.0353	South America	
5477	-5.79931	-35.2216	South America	
5551	51.5207	-0.142822	Europe	
5585	3.11486	101.471	Asia	
5658	-26.2918	-48.6681	South America	
5690	51.5207	-0.142822	Europe	
5739	38.2753	24.508	Europe	
5745	50.6981	-1.29448	Europe	
5762	-23.6828	-46.5955	South America	
5794	-25.4951	-49.2884	South America	
5795	35.0715	-78.9175	North America	
5849	0.0188652	-51.0825	South America	
5859	51.5207	-0.142822	Europe	
5861	34.1239	-118.268	North America	
5866	59.9341	30.3287	Europe	
5874	51.5207	-0.142822	Europe	
5878	-8.0436	-34.9394	South America	
5923	-15.7763	-47.7966	South America	
5928	-23.6828	-46.5955	South America	
5949	-0.0463422	-51.1169	South America	
6003	-15.7763	-47.7966	South America	
6034	-31.5614	-52.3342	South America	
6065	37.2968	-121.817	North America	
6122	38.6531	-90.2435	North America	
6185	1.3404	103.958	Asia	
6251	-6.9958	110.428	Asia	
6254	51.5207	-0.142822	Europe	
6259	35.5889	139.728	Asia	
6292	-22.9365	-46.5619	South America	
6298	-8.0436	-34.9394	South America	
6379	41.8938	-87.843	North America	
6444	51.5207	-0.142822	Europe	
6474	1.43496	103.787	Asia	
6477	6.89258	79.9812	Asia	
6490	-22.8952	-47.0303	South America	
6540	53.8438	-1.85079	Europe	
6555	6.89258	79.9812	Asia	
6558	6.89258	79.9812	Asia	
6561	6.89258	79.9812	Asia	
6563	6.89258	79.9812	Asia	
6565	6.89258	79.9812	Asia	
6567	6.89258	79.9812	Asia	
6592	41.471	-72.8346	North America	
6596	-6.16896	106.827	Asia	
6610	-6.16896	106.827	Asia	
6618	-8.0436	-34.9394	South America	
6626	6.89258	79.9812	Asia	
6644	41.471	-72.8344	North America	
6655	51.5207	-0.142822	Europe	
6664	52.5055	4.86152	Europe	
6669	-23.6828	-46.5955	South America	
6671	34.0209	-118.211	North America	
6711	-30.0997	-51.1593	South America	
6737	40.7695	-73.9676	North America	
6752	6.89258	79.9812	Asia	
6753	6.89258	79.9812	Asia	
6754	6.89258	79.9812	Asia	
6760	51.5207	-0.142822	Europe	
6829	-6.96817	110.433	Asia	
6890	-29.2094	-49.9965	South America	
6894	49.1994	-122.913	North America	
6915	-6.16896	106.827	Asia	
6919	-6.16333	106.908	Asia	
6948	52.3834	13.1196	Europe	
6950	19.4325	-99.1534	North America	
6967	41.0784	-8.56101	Europe	
6975	-6.16133	106.909	Asia	
7001	-21.953	-44.6479	South America	
7021	39.2288	-76.8096	North America	
7033	-6.16132	106.909	Asia	
7211	-24.4399	-50.7457	South America	
7229	19.3979	-99.1879	North America	
7243	41.3941	2.1393	Europe	
7280	-23.1177	-46.8642	South America	
7348	-6.16896	106.827	Asia	
7373	51.5207	-0.142822	Europe	
7544	49.1994	-122.913	North America	
7546	49.1994	-122.913	North America	
7566	39.4207	26.8072	Asia	
7580	39.0984	-77.2311	North America	
7604	-7.95669	112.618	Asia	
7612	-12.8753	-38.5026	South America	
7617	52.3834	13.1196	Europe	
7680	-22.5778	-50.4376	South America	
7750	40.6513	-4.70121	Europe	
7765	37.2777	-77.4665	North America	
7834	-24.4399	-50.7457	South America	
7873	3.03297	101.654	Asia	
7900	3.17723	101.743	Asia	
7905	-2.15725	-79.9203	South America	
7941	-6.18628	106.875	Asia	
