Tweet Id 	 Latitude 	 Longitude 	 Continent
19	41.0484	28.9867	Asia	
45	8.99491	-79.5337	North America	
57	41.0484	28.9867	Asia	
325	-6.88309	107.56	Asia	
333	-23.6828	-46.5955	South America	
376	18.5538	-70.0551	North America	
455	36.1302	-89.0197	North America	
477	42.2547	-83.2637	North America	
496	29.2333	-94.8733	North America	
524	44.3683	9.31229	Europe	
532	-2.57242	-59.9803	South America	
614	-19.8274	-43.0981	South America	
634	-23.511	-46.8823	South America	
671	38.2753	24.508	Europe	
779	39.584	-85.8513	North America	
781	3.13396	101.686	Asia	
787	-22.916	-43.4473	South America	
813	40.7571	-73.9686	North America	
823	19.3284	-99.1525	North America	
957	39.0087	-77.0178	North America	
1085	41.3941	2.1393	Europe	
1113	-22.8952	-47.0303	South America	
1220	9.91361	-84.0389	North America	
1226	-14.2393	-53.1848	South America	
1262	-21.2905	-50.361	South America	
1276	34.9091	-82.2144	North America	
1293	1.50756	103.776	Asia	
1342	-22.916	-43.4473	South America	
1391	48.5693	7.76221	Europe	
1515	-8.88152	-36.3842	South America	
1640	59.3336	17.98	Europe	
1644	59.3336	17.98	Europe	
1667	2.93129	101.696	Asia	
1678	48.383	31.1814	Europe	
1684	51.7131	5.31818	Europe	
1696	-5.18848	119.441	Asia	
1782	-23.621	-45.4901	South America	
1874	52.3834	13.1196	Europe	
1931	41.3941	2.1393	Europe	
1944	-23.0614	-45.9175	South America	
1977	34.0209	-118.211	North America	
2000	-11.0019	-37.1007	South America	
2018	34.057	-117.319	North America	
2042	39.0984	-77.1368	North America	
2112	-22.442	-44.5232	South America	
2168	-7.29324	112.681	Asia	
2216	-11.0019	-37.1007	South America	
2224	-22.8952	-47.0303	South America	
2274	51.2606	4.35816	Europe	
2305	3.14845	101.705	Asia	
2337	52.2232	5.98136	Europe	
2467	-26.8728	-49.1096	South America	
2470	38.9453	-76.9553	North America	
2480	-22.916	-43.4473	South America	
2489	-6.16896	106.827	Asia	
2507	-23.239	-47.5175	South America	
2514	-23.4454	-46.6124	South America	
2518	-23.6828	-46.5955	South America	
2588	-22.916	-43.4473	South America	
2594	-23.4478	-46.6121	South America	
2628	-23.6828	-46.5955	South America	
2630	-19.4455	-42.6011	South America	
2636	59.0838	17.5272	Europe	
2679	51.7237	19.5438	Europe	
2714	59.0838	17.5272	Europe	
2731	-2.57242	-59.9803	South America	
2845	-23.4454	-46.6125	South America	
2868	-25.4951	-49.2884	South America	
