Tweet Id 	 Latitude 	 Longitude 	 Continent
24	-23.6828	-46.5955	South America	
55	1.42734	103.765	Asia	
192	-23.6828	-46.5955	South America	
193	36.7967	-4.68937	Europe	
390	-33.4087	-70.7358	South America	
399	39.4207	26.8072	Asia	
446	-33.4087	-70.7358	South America	
455	36.1302	-89.0197	North America	
462	49.1994	-122.913	North America	
602	19.3184	-98.2454	North America	
622	39.8495	-74.8563	North America	
687	19.1644	-98.4097	North America	
745	-23.4842	-46.5864	South America	
748	19.3184	-98.2454	North America	
766	33.7418	-84.1543	North America	
822	-19.9187	-43.9598	South America	
1020	-22.5778	-50.4376	South America	
1021	-5.15527	-44.1652	South America	
1115	-7.54533	110.747	Asia	
1124	-29.5925	-50.8105	South America	
1163	34.0922	-118.308	North America	
1292	1.43785	103.791	Asia	
1300	-7.54533	110.747	Asia	
1329	-22.8952	-47.0303	South America	
1355	1.43785	103.791	Asia	
1378	34.1006	-118.305	North America	
1451	51.5207	-0.142822	Europe	
1454	51.5207	-0.142822	Europe	
1465	49.1994	-122.913	North America	
1551	49.1994	-122.913	North America	
1600	29.481	-98.4934	North America	
1639	-22.916	-43.4474	South America	
1687	40.3716	-79.9271	North America	
1923	-22.5245	-44.0809	South America	
2010	39.4207	26.8072	Asia	
2160	-3.00599	120.199	Asia	
2224	-22.8952	-47.0303	South America	
2239	-23.6496	-46.8549	South America	
2297	-21.677	-47.5085	South America	
2323	3.03296	101.654	Asia	
2388	-19.9187	-43.9598	South America	
2416	48.9204	2.31398	Europe	
2648	-23.6496	-46.8549	South America	
2678	-25.4951	-49.2884	South America	
2703	-22.8952	-47.0303	South America	
2750	49.1994	-122.913	North America	
2789	-23.6496	-46.8549	South America	
2889	-19.9187	-43.9598	South America	
2939	-19.9187	-43.9598	South America	
2961	-23.6828	-46.5955	South America	
2987	-23.6828	-46.5955	South America	
3008	-19.9187	-43.9598	South America	
3055	-23.6828	-46.5955	South America	
3110	-23.6828	-46.5955	South America	
3213	49.1994	-122.913	North America	
3298	55.7002	37.5611	Europe	
3382	46.5369	6.61947	Europe	
3465	-23.6828	-46.5955	South America	
3480	-30.0997	-51.1593	South America	
3541	-23.6828	-46.5955	South America	
3570	-23.6989	-46.6151	South America	
3582	-23.6828	-46.5955	South America	
3622	-23.6828	-46.5955	South America	
3755	40.7695	-73.9676	North America	
3771	-19.9187	-43.9598	South America	
3780	58.5534	31.2773	Europe	
3834	-19.9187	-43.9598	South America	
3988	-29.9153	-51.1773	South America	
4084	49.1994	-122.913	North America	
4096	48.383	31.1814	Europe	
4113	-8.0436	-34.9394	South America	
4132	-12.8753	-38.5026	South America	
4147	-8.0436	-34.9394	South America	
4165	48.9174	11.408	Europe	
4175	-30.3331	-54.374	South America	
4178	-20.5187	-48.6196	South America	
4194	-8.0436	-34.9394	South America	
4195	19.2708	-99.6499	North America	
4216	41.0533	-73.5327	North America	
4253	-22.5918	-47.3616	South America	
4281	-10.1156	-48.1132	South America	
4340	51.5207	-0.142822	Europe	
4372	-23.6828	-46.5955	South America	
4662	40.6996	-74.0867	North America	
4698	38.0651	-75.5556	North America	
4714	0.0188841	-51.0824	South America	
4747	0.0188794	-51.0824	South America	
4827	-22.916	-43.4474	South America	
4833	-23.6317	-46.7078	South America	
4965	0.0188654	-51.0825	South America	
4971	0.0188672	-51.0824	South America	
4984	32.4519	-85.7151	North America	
4999	-22.916	-43.4474	South America	
5207	50.5168	30.4991	Europe	
5213	-31.5614	-52.3342	South America	
5277	-23.6828	-46.5955	South America	
5317	-12.8753	-38.5026	South America	
5350	41.0078	29.1263	Asia	
5477	-5.79931	-35.2216	South America	
5582	-22.5778	-50.4376	South America	
5634	-22.5778	-50.4376	South America	
5795	35.0715	-78.9175	North America	
5813	-22.5778	-50.4376	South America	
5826	-21.8786	-42.6876	South America	
5864	-23.6828	-46.5955	South America	
5878	-8.0436	-34.9394	South America	
5882	-0.0463499	-51.1169	South America	
5992	-22.5778	-50.4376	South America	
6025	-23.6828	-46.5955	South America	
6114	32.5286	-92.6343	North America	
6185	1.3404	103.958	Asia	
6298	-8.0436	-34.9394	South America	
6493	32.4835	-93.7859	North America	
6517	40.0025	-75.118	North America	
6520	40.0025	-75.118	North America	
6596	-6.16896	106.827	Asia	
6610	-6.16896	106.827	Asia	
6631	52.5231	6.13323	Europe	
6950	19.4325	-99.1534	North America	
7021	39.2288	-76.8096	North America	
7108	0.0188763	-51.0825	South America	
7217	59.0838	17.5272	Europe	
7229	19.3979	-99.1879	North America	
7280	-23.1177	-46.8642	South America	
7356	-23.1177	-46.8642	South America	
7402	38.6271	-121.517	North America	
7408	19.4325	-99.1534	North America	
7432	19.4325	-99.1534	North America	
7566	39.4207	26.8072	Asia	
7795	-22.8952	-47.0303	South America	
7950	34.6838	-82.8164	North America	
8036	42.6768	-83.2158	North America	
8050	-23.6989	-46.6151	South America	
8051	51.2667	22.8865	Europe	
8668	-6.20763	106.844	Asia	
8676	-23.7108	-46.4227	South America	
8699	-27.6099	-48.4789	South America	
8724	-7.54717	110.816	Asia	
8798	-6.16896	106.827	Asia	
8865	51.703	5.32491	Europe	
8940	48.2491	7.52806	Europe	
8966	3.04231	101.447	Asia	
9123	6.36543	2.46682	Africa	
9226	-23.7108	-46.4227	South America	
9479	34.9491	135.701	Asia	
9602	-19.9187	-43.9598	South America	
9689	39.4207	26.8072	Asia	
9721	0.0188551	-51.0825	South America	
9735	-19.9187	-43.9598	South America	
9809	-6.21154	106.845	Asia	
9814	39.2782	-84.9637	North America	
9845	-6.21154	106.845	Asia	
9890	-19.9187	-43.9598	South America	
9904	38.8634	-76.8666	North America	
9921	-8.0436	-34.9394	South America	
9938	39.4207	26.8072	Asia	
10039	-23.9555	-46.5075	South America	
10095	-12.8753	-38.5026	South America	
10113	52.8294	1.39705	Europe	
10118	-30.0997	-51.1593	South America	
10164	-27.6534	-51.0923	South America	
10270	51.5118	-0.162971	Europe	
10321	-6.21154	106.845	Asia	
10371	-23.6828	-46.5955	South America	
10380	52.8294	1.39709	Europe	
10435	-23.1177	-46.8642	South America	
10523	41.0431	28.9671	Asia	
10575	-23.6828	-46.5955	South America	
10611	-23.1177	-46.8642	South America	
10625	42.6743	-83.2168	North America	
10676	33.7914	-118.156	North America	
10712	51.5207	-0.142822	Europe	
10728	-22.8215	-43.0007	South America	
10803	-21.7554	-48.172	South America	
10817	-23.1177	-46.8642	South America	
10840	-23.1177	-46.8642	South America	
10930	-22.916	-43.4474	South America	
10971	-20.785	-49.3592	South America	
10975	-20.785	-49.3592	South America	
11003	-6.59819	-36.8105	South America	
11011	-25.4124	-49.2899	South America	
11038	28.036	-80.6483	North America	
11113	-29.8768	-71.2471	South America	
11116	3.14845	101.705	Asia	
11170	3.14845	101.705	Asia	
11234	-23.2969	-45.9737	South America	
11346	-36.7374	-71.0353	South America	
11410	-23.5356	-47.654	South America	
11421	-19.9187	-43.9598	South America	
11481	-6.59819	-36.8105	South America	
11494	-23.5356	-47.654	South America	
11518	18.1163	-66.1405	North America	
11549	-6.59819	-36.8105	South America	
11600	-22.8952	-47.0303	South America	
11706	44.7663	11.817	Europe	
11737	44.7663	11.817	Europe	
11833	48.8588	2.34701	Europe	
11858	39.2846	-76.6205	North America	
11894	-8.0436	-34.9394	South America	
11916	-29.8768	-71.2471	South America	
11925	-8.0436	-34.9394	South America	
11955	-29.8703	-71.2488	South America	
12034	-22.803	-47.4357	South America	
12106	-20.2804	-40.2928	South America	
12251	-20.6515	-40.4855	South America	
12256	34.1	-118.311	North America	
12295	34.1001	-118.31	North America	
12338	-3.11963	-59.9854	South America	
12363	-22.5778	-50.4376	South America	
12416	53.459	6.62288	Europe	
12536	-6.59819	-36.8105	South America	
12564	-6.59819	-36.8105	South America	
12762	50.3881	-4.11457	Europe	
12879	-30.0997	-51.1593	South America	
12924	59.9342	30.3287	Europe	
12941	-31.9036	-71.4953	South America	
12945	52.4949	-1.88125	Europe	
13043	39.0947	-9.04127	Europe	
13209	-23.6828	-46.5955	South America	
13211	-6.59819	-36.8105	South America	
13245	-6.59819	-36.8105	South America	
13325	-19.9187	-43.9598	South America	
13374	-6.59819	-36.8105	South America	
13486	-20.785	-49.3592	South America	
13510	-6.59819	-36.8105	South America	
13556	-22.0668	-42.9237	South America	
13589	-6.59819	-36.8105	South America	
13615	51.7341	5.28548	Europe	
13702	38.0386	23.6837	Europe	
13875	-36.7374	-71.0353	South America	
13917	-19.9187	-43.9598	South America	
13976	59.9358	30.3252	Europe	
14021	-6.59819	-36.8105	South America	
14055	-15.7763	-47.7966	South America	
14133	-36.7374	-71.0353	South America	
14256	-23.513	-51.0998	South America	
14353	28.4581	-81.463	North America	
14368	28.4484	-81.4683	North America	
14496	-25.4951	-49.2884	South America	
14615	-5.21541	-42.8028	South America	
14732	-36.7374	-71.0353	South America	
14753	-36.7374	-71.0353	South America	
14881	32.5311	-94.3431	North America	
14933	-25.4951	-49.2884	South America	
14954	-36.7374	-71.0353	South America	
14980	-23.6828	-46.5955	South America	
14982	-23.6828	-46.5955	South America	
15024	43.3531	-5.88123	Europe	
15079	-6.90286	107.654	Asia	
15280	38.0651	-75.5556	North America	
15421	35.8133	-78.0971	North America	
15469	-36.7374	-71.0353	South America	
15511	-26.2918	-48.6681	South America	
15551	61.7464	50.8191	Europe	
15584	-23.6828	-46.5955	South America	
15835	39.4207	26.8072	Asia	
15847	-23.6828	-46.5955	South America	
15857	-23.8633	-46.2901	South America	
15966	1.35133	103.944	Asia	
15979	40.9589	-78.1239	North America	
15980	52.3871	13.1165	Europe	
16013	-23.5936	-46.5315	South America	
16059	-1.04675	-80.4674	South America	
16170	22.3111	-100.956	North America	
16172	22.3111	-100.956	North America	
16231	-22.916	-43.4473	South America	
16390	-28.4795	24.6701	Africa	
16458	-6.39687	106.883	Asia	
16538	32.5286	-92.6343	North America	
16627	-6.89035	107.593	Asia	
16678	-23.8633	-46.2901	South America	
16767	-6.89049	107.593	Asia	
16860	-23.6828	-46.5955	South America	
16871	-29.9153	-51.1773	South America	
16875	1.33235	103.848	Asia	
17036	39.8742	32.8255	Asia	
17077	-27.6534	-51.0923	South America	
17212	50.8875	-1.35486	Europe	
17260	36.6704	-121.629	North America	
17374	51.4891	-0.0874363	Europe	
17437	-36.7374	-71.0353	South America	
17453	-15.4552	-55.8425	South America	
17461	51.5207	-0.142822	Europe	
17478	52.4949	-1.88125	Europe	
17504	-36.7374	-71.0353	South America	
17608	3.0896	101.548	Asia	
17621	51.4891	-0.0874363	Europe	
17795	-23.195	-50.639	South America	
17812	-23.6496	-46.8549	South America	
17841	-23.4057	-51.9683	South America	
18000	-2.57242	-59.9803	South America	
18006	-23.6496	-46.8549	South America	
18067	19.6596	-99.116	North America	
18075	43.6073	4.86874	Europe	
18083	-7.2771	112.717	Asia	
18102	19.1943	72.8163	Asia	
18145	19.1959	72.8178	Asia	
18264	-22.9365	-46.5619	South America	
18361	52.9964	6.98064	Europe	
18365	34.0203	-6.83744	Africa	
18390	-19.9187	-43.9598	South America	
18411	-23.8041	-46.5307	South America	
18426	-30.0997	-51.1593	South America	
18439	-6.59819	-36.8105	South America	
18463	-19.9187	-43.9598	South America	
18506	53.1958	45.0387	Europe	
18546	52.8289	1.39781	Europe	
18612	-20.8756	-54.2616	South America	
18654	-23.6496	-46.8549	South America	
18684	-22.7449	-42.2907	South America	
18759	47.031	8.1752	Europe	
18859	-12.8753	-38.5026	South America	
18968	34.1581	-118.24	North America	
18996	34.1658	-118.229	North America	
19056	-19.9187	-43.9598	South America	
19080	41.3941	2.1393	Europe	
19086	-19.9187	-43.9598	South America	
19134	52.5244	6.04819	Europe	
19179	30.4	-89.1021	North America	
19214	-8.0436	-34.9394	South America	
19217	-22.696	-47.6586	South America	
19319	-30.2906	-51.9006	South America	
19335	-23.6828	-46.5955	South America	
19371	-23.6828	-46.5955	South America	
19408	38.9637	35.2433	Asia	
19418	57.6811	11.734	Europe	
19419	-19.9187	-43.9598	South America	
19421	-19.9187	-43.9598	South America	
19434	48.6839	6.11844	Europe	
19450	-19.9187	-43.9598	South America	
19456	-19.0044	-48.3585	South America	
19475	-22.8952	-47.0303	South America	
19488	-20.7352	-48.5892	South America	
19490	-20.7352	-48.5892	South America	
19501	-22.8952	-47.0303	South America	
19513	-19.9187	-43.9598	South America	
19526	-19.9187	-43.9598	South America	
19561	-19.9187	-43.9598	South America	
19596	-19.9187	-43.9598	South America	
19625	-19.9187	-43.9598	South America	
19648	-23.1117	-47.1947	South America	
19667	-19.9187	-43.9598	South America	
19680	-22.5778	-50.4376	South America	
19726	-30.0997	-51.1593	South America	
19728	48.8566	2.35434	Europe	
19746	-19.9187	-43.9598	South America	
19785	-26.2721	27.8657	Africa	
