Tweet Id 	 Latitude 	 Longitude
2	36.0349	-80.1999	
7	6.57453	3.35029	
8	33.5156	-112.18	
36	40.8747	-80.2825	
41	42.4702	14.205	
42	8.43277	-82.4186	
51	32.6782	-83.1783	
74	29.4365	-81.5187	
94	2.71563	101.953	
111	40.3107	-86.1278	
123	48.6772	2.50266	
124	37.2692	-119.307	
125	-22.916	-43.4473	
126	-7.27568	-35.9777	
133	38.9262	-76.8878	
140	48.0663	-2.96974	
141	-2.57242	-59.9803	
142	36.591	-4.53068	
158	33.9592	-84.1427	
161	38.3341	-85.7402	
170	-13.997	-42.4764	
182	-23.6828	-46.5955	
208	38.9637	35.2433	
210	48.7537	2.37253	
225	37.2692	-119.307	
233	-27.6534	-51.0923	
238	0.46142	9.41693	
252	52.3834	13.1196	
256	40.6974	-73.9797	
261	-23.6828	-46.5955	
273	36.1226	-89.2616	
286	-6.90558	107.626	
290	-36.7374	-71.0353	
302	-30.377	-55.1591	
309	39.969	-75.3541	
310	31.5142	-87.8943	
320	34.0209	-118.211	
322	-14.2393	-53.1848	
330	39.7393	-89.2665	
341	52.3871	13.1165	
345	39.169	-77.1888	
347	30.5251	-86.4738	
349	36.1139	-115.197	
350	44.9008	-89.5695	
366	36.9795	-86.4589	
367	48.804	2.4666	
371	33.728	-82.7647	
383	52.3834	13.1196	
398	31.9125	-106.425	
400	33.4626	-86.9013	
406	45.4739	-122.888	
424	37.6846	-122.467	
431	31.9125	-106.425	
439	50.7479	4.30623	
448	40.788	-77.8526	
456	33.7677	-84.4181	
465	42.4753	-70.9565	
466	52.3871	13.1165	
470	42.9427	-74.1917	
472	28.5763	-81.4766	
481	52.3834	13.1196	
487	30.484	-90.5185	
489	41.7656	-72.6803	
499	36.3208	-87.7671	
504	40.7259	-73.8701	
520	48.9722	2.3778	
522	35.1553	-90.173	
537	41.7208	-87.7018	
540	33.5379	-84.4921	
544	34.0209	-118.211	
553	42.7087	-84.5209	
558	52.3834	13.1196	
563	51.0797	5.91619	
564	34.0511	-117.879	
572	42.461	-83.0328	
573	34.9256	-90.0158	
583	25.7553	-80.2131	
584	37.6529	-120.991	
588	34.7974	-87.6933	
589	-7.2771	112.717	
611	52.3871	13.1165	
624	41.7208	-87.7018	
632	43.6293	-79.2725	
633	48.8588	2.34701	
636	41.7208	-87.7018	
647	-7.2771	112.717	
649	47.5115	-122.179	
650	42.4183	-83.2952	
654	40.0312	-82.961	
656	33.6167	-112.341	
661	40.7809	-73.9772	
669	32.5762	-86.6807	
672	38.967	-76.8477	
677	13.7049	-89.2448	
680	33.6597	-117.982	
693	40.0309	-74.8612	
699	40.7197	-74.2127	
700	34.1306	-78.0933	
706	35.1705	-79.861	
715	40.2234	-75.1684	
717	33.6785	-91.8534	
725	52.3445	6.65941	
726	40.7903	-74.0209	
727	35.0715	-78.9175	
728	42.3847	-83.2183	
730	34.0396	-118.313	
742	41.7581	2.06928	
743	52.3834	13.1196	
747	30.0095	-90.2508	
750	33.5312	-86.8501	
756	38.7569	-77.5954	
773	55.7559	37.5483	
776	19.8044	-96.1443	
777	-20.8756	-54.2616	
778	53.0324	5.68487	
786	0.39313	9.44583	
797	52.3871	13.1165	
802	33.5325	-112.097	
808	32.8207	-96.7315	
816	41.2919	-96.0407	
827	37.2692	-119.307	
834	34.6838	-82.8164	
835	40.7809	-73.9772	
836	33.5707	-84.2926	
859	41.2919	-96.0407	
873	42.1465	-71.0084	
875	42.1465	-71.0084	
878	41.2919	-96.0407	
880	39.2846	-76.6205	
882	-27.3604	153.061	
886	48.8588	2.34701	
896	33.7839	-84.8061	
914	37.7703	-122.436	
950	41.8338	-87.7319	
966	35.2035	-80.836	
967	-6.16896	106.827	
969	42.6991	-71.1589	
973	40.4778	-3.70352	
984	34.9643	-81.9662	
992	40.6974	-73.9797	
1002	-25.426	-49.2864	
1007	38.2479	-121.296	
1024	34.1662	-106.026	
1026	36.7184	-76.559	
1042	49.322	6.10181	
1053	34.1662	-106.026	
1058	35.1466	-90.2063	
1064	34.1662	-106.026	
1068	51.5207	-0.142822	
1069	38.7514	-104.793	
1083	38.9637	35.2433	
1096	25.7824	-80.2295	
1099	37.929	-121.74	
1102	32.9345	-80.0798	
1118	34.1662	-106.026	
1119	33.0318	-80.0639	
1125	30.033	-89.8826	
1129	33.6881	-84.7597	
1131	32.9271	-80.0994	
1137	30.033	-89.8826	
1142	35.846	-78.6572	
1145	35.846	-78.6572	
1152	48.925	2.44451	
1173	39.1567	-76.733	
1184	42.9324	-85.6473	
1185	26.1284	-80.1847	
1195	34.1662	-106.026	
1200	34.9091	-82.2144	
1203	3.14845	101.705	
1223	24.7097	46.6776	
1236	-5.14383	119.426	
1243	36.7542	34.5464	
1253	33.1258	-91.9615	
1255	30.4049	-88.7907	
1264	35.8476	-90.6742	
1273	48.6202	2.44306	
1281	31.8513	-81.6025	
1288	35.588	-106.464	
1317	51.3253	3.53527	
1319	38.6192	-77.3334	
1324	-8.26754	113.682	
1331	39.8003	-86.1865	
1333	37.981	-121.797	
1337	-33.4451	-70.5256	
1353	52.3871	13.1165	
1354	48.8588	2.34693	
1357	41.7656	-72.6803	
1358	34.0922	-118.308	
1368	52.3834	13.1196	
1371	33.5165	-80.8446	
1376	-33.4451	-70.5256	
1383	35.1815	-85.2026	
1384	38.6046	-95.2787	
1388	52.3834	13.1196	
1394	48.9374	2.17437	
1397	34.0875	-80.8649	
1399	39.8005	-86.1865	
1403	51.1516	15.0178	
1417	36.1819	-115.069	
1419	32.481	-91.7638	
1426	53.3821	-1.47965	
1434	41.2373	-80.8014	
1438	43.049	-89.401	
1445	51.5207	-0.142822	
1456	45.7578	4.8351	
1459	52.3834	13.1196	
1461	45.7578	4.8351	
1463	26.747	-80.3115	
1466	34.528	-82.7132	
1469	40.0025	-75.118	
1473	52.3871	13.1165	
1483	41.4132	-81.6029	
1490	26.1327	-80.1924	
1492	34.1744	-79.7849	
1493	47.2493	-122.457	
1502	40.1383	-75.5153	
1504	33.3956	-111.853	
1506	35.0648	-106.729	
1507	33.5913	-101.888	
1513	48.918	2.29348	
1524	39.1971	-77.27	
