Tweet Id 	 Latitude 	 Longitude 	 Continent
149	52.3834	13.1196	Europe	
180	49.2696	-122.756	North America	
198	9.38547	76.5752	Asia	
216	49.2704	-122.754	North America	
249	49.2705	-122.753	North America	
262	26.1404	-80.1456	North America	
311	18.467	-66.0907	North America	
317	38.9637	35.2433	Asia	
319	49.2707	-122.754	North America	
358	-23.6828	-46.5955	South America	
743	52.3834	13.1196	Europe	
794	52.3834	13.1196	Europe	
816	41.2919	-96.0407	North America	
821	51.5207	-0.142822	Europe	
859	41.2919	-96.0407	North America	
878	41.2919	-96.0407	North America	
892	55.1559	61.3679	Europe	
954	30.9373	-91.4009	North America	
956	52.3834	13.1196	Europe	
987	42.9907	-85.9508	North America	
1034	52.3834	13.1196	Europe	
1126	43.6293	-79.2725	North America	
1180	51.5207	-0.142822	Europe	
1185	26.1284	-80.1847	North America	
1206	32.5886	-82.3389	North America	
1294	30.3449	-81.6831	North America	
1341	52.0046	4.21273	Europe	
1476	36.3998	-78.1593	North America	
1505	52.3834	13.1196	Europe	
1585	-26.0842	27.8772	Africa	
1842	39.4207	26.8072	Asia	
1895	52.3834	13.1196	Europe	
1963	52.3834	13.1196	Europe	
1967	51.9995	4.36409	Europe	
2038	51.5207	-0.142822	Europe	
2045	-23.6828	-46.5955	South America	
2175	52.3834	13.1196	Europe	
2179	51.5207	-0.142822	Europe	
2274	51.2606	4.35816	Europe	
2310	4.94955	114.842	Asia	
2338	-3.74656	-38.59	South America	
2387	34.0209	-118.211	North America	
2416	48.9204	2.31398	Europe	
2433	52.0054	5.89657	Europe	
2451	37.6868	-122.472	North America	
2508	51.5207	-0.142822	Europe	
2542	49.1994	-122.913	North America	
2574	51.5207	-0.142822	Europe	
2613	-22.7241	-47.2901	South America	
2625	-23.47	-47.4366	South America	
2672	-23.3921	-46.4539	South America	
2853	52.4875	4.66202	Europe	
2860	51.6893	5.12375	Europe	
2867	51.5207	-0.142822	Europe	
2871	-6.19018	106.847	Asia	
2935	41.3941	2.1393	Europe	
2971	51.7519	4.06934	Europe	
2993	3.07154	101.74	Asia	
3064	-26.2617	-48.9665	South America	
3067	51.5207	-0.142822	Europe	
3081	-7.76838	110.389	Asia	
3156	51.5207	-0.142822	Europe	
3162	-29.9006	30.9726	Africa	
3167	39.4207	26.8072	Asia	
3179	-6.69493	-35.5978	South America	
3235	-6.69493	-35.5978	South America	
3242	52.3834	13.1196	Europe	
3399	56.5904	59.9662	Europe	
3499	-29.9006	30.9726	Africa	
3534	52.3834	13.1196	Europe	
3555	-22.916	-43.4473	South America	
3557	52.3834	13.1196	Europe	
3565	39.9709	-75.2438	North America	
3627	39.9709	-75.2438	North America	
3698	51.5207	-0.142822	Europe	
3713	-22.8952	-47.0303	South America	
3824	43.1153	131.89	Europe	
3911	-29.9153	-51.1771	South America	
3923	51.5207	-0.142822	Europe	
3939	38.9637	35.2433	Asia	
4010	52.3834	13.1196	Europe	
4024	51.5207	-0.142822	Europe	
4036	51.5207	-0.142822	Europe	
4058	52.3052	4.70921	Europe	
4094	51.5207	-0.142822	Europe	
4103	38.9637	35.2433	Asia	
4142	51.5207	-0.142822	Europe	
4317	-29.553	-52.2026	South America	
4379	51.5207	-0.142822	Europe	
4408	42.8962	-78.876	North America	
4412	51.5207	-0.142822	Europe	
4518	-22.8952	-47.0303	South America	
4541	51.5207	-0.142822	Europe	
4554	39.4207	26.8072	Asia	
4632	51.5207	-0.142822	Europe	
4656	60.9716	25.689	Europe	
4659	51.5207	-0.142822	Europe	
4727	35.2035	-80.836	North America	
4852	51.5207	-0.142822	Europe	
4911	40.752	-74.1899	North America	
4912	3.14853	101.705	Asia	
4950	-23.6828	-46.5955	South America	
4984	32.4519	-85.7151	North America	
4987	52.3834	13.1196	Europe	
4990	52.3871	13.1165	Europe	
5077	41.9278	-87.6555	North America	
5090	39.4207	26.8072	Asia	
5094	-23.6828	-46.5955	South America	
5195	39.4672	-0.389292	Europe	
5346	51.5207	-0.142822	Europe	
5388	32.5707	-96.865	North America	
5487	-23.6828	-46.5955	South America	
5511	52.0526	4.30879	Europe	
5583	51.3972	0.400914	Europe	
5681	34.1583	-119.151	North America	
5759	34.0203	-6.83744	Africa	
5763	55.774	37.5329	Europe	
5795	35.0715	-78.9175	North America	
5803	39.4207	26.8072	Asia	
5837	-23.2969	-45.9737	South America	
5870	-23.2969	-45.9737	South America	
5889	51.5207	-0.142822	Europe	
5911	52.3834	13.1196	Europe	
5912	52.3834	13.1196	Europe	
5956	33.8101	-117.824	North America	
5997	42.4995	-92.3804	North America	
6014	52.3834	13.1196	Europe	
6047	-33.4336	-70.6556	South America	
6078	51.3819	-0.282529	Europe	
6219	3.14845	101.705	Asia	
6224	51.5207	-0.142822	Europe	
6226	48.383	31.1814	Europe	
6253	-22.916	-43.4474	South America	
6295	51.5207	-0.142822	Europe	
6317	-22.8041	-43.2957	South America	
6372	52.3834	13.1196	Europe	
6429	19.4325	-99.1534	North America	
6437	39.4207	26.8072	Asia	
6439	51.5207	-0.142822	Europe	
6471	51.5207	-0.142822	Europe	
6507	52.3834	13.1196	Europe	
6621	51.5207	-0.142822	Europe	
6663	51.5207	-0.142822	Europe	
6763	51.5207	-0.142822	Europe	
6772	35.3666	-78.7047	North America	
6814	40.7695	-73.9676	North America	
6828	52.3834	13.1196	Europe	
6861	52.3834	13.1196	Europe	
6908	51.5207	-0.142822	Europe	
6940	51.5207	-0.142822	Europe	
7021	39.2288	-76.8096	North America	
7135	51.5207	-0.142822	Europe	
7162	40.0331	-75.085	North America	
7182	-22.916	-43.4474	South America	
7199	52.3834	13.1196	Europe	
7203	19.1003	-103.657	North America	
7306	51.5207	-0.142822	Europe	
7323	52.3871	13.1165	Europe	
7336	51.5207	-0.142822	Europe	
7360	-33.4357	-70.6516	South America	
7429	52.3834	13.1196	Europe	
7437	51.5207	-0.142822	Europe	
7478	-23.6828	-46.5955	South America	
7497	30.2242	-97.695	North America	
7512	51.5117	-0.162971	Europe	
7534	50.784	0.29937	Europe	
7643	52.3871	13.1165	Europe	
7720	1.5254	103.838	Asia	
7886	51.5207	-0.142822	Europe	
7897	51.5207	-0.142822	Europe	
7950	34.6838	-82.8164	North America	
7989	52.3834	13.1196	Europe	
8040	52.3834	13.1196	Europe	
8099	41.6843	-87.6613	North America	
8182	-16.6428	-49.2612	South America	
8240	51.5207	-0.142822	Europe	
8319	51.5207	-0.142822	Europe	
8339	0.247298	-51.0638	South America	
8389	52.3871	13.1165	Europe	
8422	52.3834	13.1196	Europe	
8458	51.5207	-0.142822	Europe	
8532	51.5207	-0.142822	Europe	
8569	51.5207	-0.142822	Europe	
8668	-6.20763	106.844	Asia	
8670	51.5207	-0.142822	Europe	
8704	51.5207	-0.142822	Europe	
8710	-7.14941	-34.882	South America	
8723	3.14845	101.705	Asia	
8749	-8.05587	111.737	Asia	
8793	51.5207	-0.142822	Europe	
8861	39.4207	26.8072	Asia	
8878	47.2611	39.628	Europe	
8883	-6.14684	106.695	Asia	
8989	51.5207	-0.142822	Europe	
9021	51.5207	-0.142822	Europe	
9108	-22.916	-43.4474	South America	
9123	6.36543	2.46682	Africa	
9130	52.3834	13.1196	Europe	
9169	51.5207	-0.142822	Europe	
9176	38.9023	-77.0129	North America	
9189	51.5207	-0.142822	Europe	
9260	56.2847	43.851	Europe	
9310	-6.16896	106.827	Asia	
9361	39.8113	-84.2022	North America	
9370	39.8113	-84.2022	North America	
9379	52.0468	5.17961	Europe	
9583	52.7529	6.95947	Europe	
9597	0	0	NULL	
9607	42.9272	-72.2808	North America	
9615	52.3834	13.1196	Europe	
9682	51.5207	-0.142822	Europe	
9841	55.7559	37.5483	Europe	
9904	38.8634	-76.8666	North America	
9936	40.9147	29.186	Asia	
9960	33.3067	-111.743	North America	
9962	52.3834	13.1196	Europe	
10147	37.2336	-80.4338	North America	
10193	52.3802	6.13264	Europe	
10218	48.8719	2.3006	Europe	
10249	51.5207	-0.142822	Europe	
