Tweet Id 	 Latitude 	 Longitude 	 Continent
27	51.5207	-0.142822	Europe	
31	51.4891	-0.0874363	Europe	
47	51.5207	-0.142822	Europe	
75	3.41639	-76.5456	South America	
92	1.4094	103.753	Asia	
110	51.5207	-0.142822	Europe	
138	52.3871	13.1165	Europe	
240	51.5207	-0.142822	Europe	
242	51.5207	-0.142822	Europe	
247	39.4207	26.8072	Asia	
331	18.4671	-66.0906	North America	
338	51.5207	-0.142822	Europe	
340	51.5207	-0.142822	Europe	
426	42.9741	10.2938	Europe	
526	52.3871	13.1165	Europe	
579	51.5207	-0.142822	Europe	
595	33.6046	-117.697	North America	
600	51.5207	-0.142822	Europe	
609	32.6782	-83.1783	North America	
623	51.5207	-0.142822	Europe	
629	51.5207	-0.142822	Europe	
652	51.5207	-0.142822	Europe	
676	39.4207	26.8072	Asia	
702	41.1458	-81.5107	North America	
735	-36.7374	-71.0353	South America	
737	3.06375	101.453	Asia	
760	36.8079	-76.1073	North America	
771	52.3834	13.1196	Europe	
791	51.5207	-0.142822	Europe	
876	6.11277	100.374	Asia	
899	51.5207	-0.142822	Europe	
912	3.03296	101.654	Asia	
945	51.5207	-0.142822	Europe	
999	-12.8753	-38.5026	South America	
1001	37.5013	-77.39	North America	
1078	-17.7477	-48.6322	South America	
1079	41.1921	1.5983	Europe	
1080	51.5207	-0.142822	Europe	
1093	39.4207	26.8072	Asia	
1148	51.5207	-0.142822	Europe	
1202	9.37391	-83.7087	North America	
1217	38.9637	35.2433	Asia	
1248	0	0	NULL	
1251	51.5207	-0.142822	Europe	
1295	3.58111	98.6676	Asia	
1307	38.9637	35.2433	Asia	
1314	3.14845	101.705	Asia	
1344	59.5881	16.4846	Europe	
1411	52.3834	13.1196	Europe	
1416	51.5207	-0.142822	Europe	
1449	45.5432	-122.655	North America	
1453	25.5943	-80.4841	North America	
1520	51.5207	-0.142822	Europe	
1562	-23.621	-46.7853	South America	
1577	55.8554	-4.23242	Europe	
1588	-22.803	-47.4357	South America	
1603	-6.49175	106.788	Asia	
1653	51.5207	-0.142822	Europe	
1690	-23.621	-46.7853	South America	
1719	51.5207	-0.142822	Europe	
1731	-6.16896	106.827	Asia	
1744	53.7172	27.9867	Europe	
1751	52.3871	13.1165	Europe	
1773	51.5207	-0.142822	Europe	
1783	51.5207	-0.142822	Europe	
1796	52.3834	13.1196	Europe	
1848	-23.621	-46.7853	South America	
1849	-23.621	-46.7853	South America	
1856	48.8962	1.86994	Europe	
1858	-22.916	-43.4474	South America	
1862	51.5207	-0.142822	Europe	
1873	-23.621	-46.7853	South America	
1886	-23.621	-46.7853	South America	
1910	-23.621	-46.7853	South America	
1986	-6.90558	107.626	Asia	
2029	51.5207	-0.142822	Europe	
2034	52.3834	13.1196	Europe	
2092	-22.5918	-47.3616	South America	
2123	-23.6828	-46.5955	South America	
2125	51.5207	-0.142822	Europe	
2137	51.5207	-0.142822	Europe	
2171	-19.9726	-43.9665	South America	
2213	-5.79931	-35.2216	South America	
2215	35.0125	134.996	Asia	
2290	51.5207	-0.142822	Europe	
2384	34.072	-117.933	North America	
2438	19.131	72.8363	Asia	
2496	51.5207	-0.142822	Europe	
2557	51.5207	-0.142822	Europe	
2619	51.5207	-0.142822	Europe	
2693	51.5207	-0.142822	Europe	
2716	53.1133	48.4677	Europe	
2729	51.5207	-0.142822	Europe	
2734	-5.57916	-39.4606	South America	
2765	-6.90558	107.626	Asia	
2790	52.3834	13.1196	Europe	
2849	52.3834	13.1196	Europe	
2864	-23.3921	-46.4539	South America	
2891	51.1516	15.0178	Europe	
2914	39.4207	26.8072	Asia	
2924	34.3007	-118.477	North America	
2949	-25.4951	-49.2884	South America	
2981	14.5432	121.06	Asia	
2985	-23.513	-51.0998	South America	
2988	-23.6828	-46.5955	South America	
3044	51.5207	-0.142822	Europe	
3045	52.3834	13.1196	Europe	
3052	51.5207	-0.142822	Europe	
3058	-23.513	-51.0998	South America	
3059	52.4389	6.58283	Europe	
3065	51.5207	-0.142822	Europe	
3093	51.5207	-0.142822	Europe	
3130	43.6707	7.15032	Europe	
3137	51.5207	-0.142822	Europe	
3150	52.3871	13.1165	Europe	
3185	51.5207	-0.142822	Europe	
3199	51.5921	-0.102047	Europe	
3207	51.5207	-0.142822	Europe	
3231	51.5207	-0.142822	Europe	
3297	-30.0997	-51.1593	South America	
3309	51.5207	-0.142822	Europe	
3323	51.5207	-0.142822	Europe	
3367	52.3834	13.1196	Europe	
3407	-23.6438	-46.564	South America	
3434	35.0125	134.996	Asia	
3436	35.0125	134.996	Asia	
3467	51.5207	-0.142822	Europe	
3492	3.05122	101.559	Asia	
3497	33.4578	-88.7875	North America	
3505	-23.5632	-46.6601	South America	
3515	39.4207	26.8072	Asia	
3521	51.5207	-0.142822	Europe	
3634	51.5207	-0.142822	Europe	
3637	55.9454	-3.12866	Europe	
3641	40.7651	-73.2966	North America	
3652	51.5207	-0.142822	Europe	
3668	-30.0997	-51.1593	South America	
3672	55.8554	-4.23242	Europe	
3693	51.5207	-0.142822	Europe	
3707	48.5694	7.76173	Europe	
3709	-6.16896	106.827	Asia	
3766	3.10373	101.535	Asia	
3777	59.9394	30.0922	Europe	
3778	-23.0614	-45.9175	South America	
3800	51.5207	-0.142822	Europe	
3811	-23.5613	-46.6601	South America	
3830	51.5207	-0.142822	Europe	
3843	-29.656	-50.8626	South America	
3854	-33.8413	151.207	Oceania	
3858	-1.27293	-48.4598	South America	
3869	-23.6828	-46.5955	South America	
3896	51.5207	-0.142822	Europe	
3976	51.5207	-0.142822	Europe	
3986	51.5207	-0.142822	Europe	
4016	-20.942	-45.2514	South America	
4026	51.5207	-0.142822	Europe	
4095	-23.61	-46.6968	South America	
4133	51.5207	-0.142822	Europe	
4212	-2.57242	-59.9803	South America	
4219	54.1937	37.6289	Europe	
4229	51.5207	-0.142822	Europe	
4258	51.5207	-0.142822	Europe	
4341	-3.1107	-41.4845	South America	
4361	-20.744	-45.924	South America	
4368	39.4207	26.8072	Asia	
4371	-36.7374	-71.0353	South America	
4430	52.4039	-1.97703	Europe	
4441	51.5207	-0.142822	Europe	
4475	36.3698	138.197	Asia	
4487	51.5207	-0.142822	Europe	
4498	17.6237	-94.3846	North America	
4515	52.3834	13.1196	Europe	
4516	17.6237	-94.3846	North America	
4550	1.4409	103.792	Asia	
4551	1.4409	103.792	Asia	
4573	19.4325	-99.1534	North America	
4598	51.5207	-0.142822	Europe	
4622	4.71377	103.407	Asia	
4628	43.054	-87.9779	North America	
4638	-30.0997	-51.1593	South America	
4651	4.71471	103.405	Asia	
4654	-25.4951	-49.2884	South America	
4658	51.5207	-0.142822	Europe	
4680	52.3834	13.1196	Europe	
4722	52.3682	5.19166	Europe	
4752	51.204	16.1524	Europe	
4780	55.6081	-4.68082	Europe	
4796	40.0242	-75.078	North America	
4819	41.7656	-72.6803	North America	
4839	-22.8353	-47.2751	South America	
4845	-25.4951	-49.2884	South America	
4849	-7.14948	-34.8822	South America	
4871	57.0085	40.9942	Europe	
4875	41.8984	12.5451	Europe	
4895	51.5207	-0.142822	Europe	
4942	51.5207	-0.142822	Europe	
4972	-23.513	-51.0998	South America	
4974	53.4039	-1.5631	Europe	
5005	52.3834	13.1196	Europe	
5030	39.4207	26.8072	Asia	
5056	29.4787	-98.6278	North America	
5069	42.732	-84.4705	North America	
5080	51.5207	-0.142822	Europe	
5085	51.5207	-0.142822	Europe	
5131	19.4317	-99.0989	North America	
5144	39.4207	26.8072	Asia	
5206	-6.90558	107.626	Asia	
5265	51.5207	-0.142822	Europe	
5271	37.3831	-5.92355	Europe	
5280	17.6237	-94.3846	North America	
5283	-23.513	-51.0998	South America	
5285	41.8984	12.5451	Europe	
5288	40.0496	-75.0147	North America	
5303	51.5207	-0.142822	Europe	
5370	-6.16896	106.827	Asia	
5381	51.5207	-0.142822	Europe	
5382	41.8984	12.5451	Europe	
5424	47.613	-122.342	North America	
5454	39.4207	26.8072	Asia	
5474	44.4809	-81.1498	North America	
5523	52.3871	13.1165	Europe	
5565	-22.916	-43.4474	South America	
5600	33.9373	-118.341	North America	
5619	-23.513	-51.0998	South America	
5628	51.5207	-0.142822	Europe	
5635	-15.7763	-47.7966	South America	
5647	-23.513	-51.0998	South America	
5660	52.3871	13.1165	Europe	
