Tweet Id 	 Latitude 	 Longitude 	 Continent
96	-23.6004	-46.5445	South America	
203	52.3871	13.1165	Europe	
227	-25.4951	-49.2884	South America	
318	48.7336	2.45753	Europe	
430	52.3834	13.1196	Europe	
900	-7.54153	110.763	Asia	
929	52.3871	13.1165	Europe	
1192	56.8155	60.6136	Europe	
1228	-34.0739	150.797	Oceania	
1340	40.0305	-75.1179	North America	
1635	50.652	-4.03372	Europe	
1638	-23.3921	-46.4538	South America	
2096	51.5207	-0.142822	Europe	
2180	33.9616	-116.545	North America	
2773	51.5207	-0.142822	Europe	
2802	52.3834	13.1196	Europe	
3133	39.622	-105.019	North America	
3401	59.0838	17.5272	Europe	
4384	52.3834	13.1196	Europe	
5327	37.2692	-119.307	North America	
5721	52.3871	13.1165	Europe	
6389	52.3871	13.1165	Europe	
6504	-2.17496	-79.9123	South America	
6705	41.0033	28.626	Asia	
7107	42.4843	-83.2615	North America	
7134	-23.4664	-46.5534	South America	
7491	19.2433	-103.725	North America	
8290	52.3834	13.1196	Europe	
8333	45.5241	9.33338	Europe	
8356	51.5207	-0.142822	Europe	
8850	52.9704	36.0825	Europe	
9000	39.4207	26.8072	Asia	
9208	54.6851	-1.79769	Europe	
9887	52.3871	13.1165	Europe	
9939	51.5207	-0.142822	Europe	
10405	-23.6828	-46.5955	South America	
10414	-23.6828	-46.5955	South America	
10955	36.2022	-95.7664	North America	
11344	-23.3921	-46.4539	South America	
11410	-23.5356	-47.654	South America	
11564	51.5207	-0.142822	Europe	
11652	-6.90558	107.626	Asia	
12173	-19.9187	-43.9598	South America	
12252	51.5207	-0.142822	Europe	
12283	51.0963	4.22837	Europe	
12444	52.3871	13.1165	Europe	
12592	51.5207	-0.142822	Europe	
12746	54.6851	-1.79769	Europe	
12973	52.3871	13.1165	Europe	
13161	49.1994	-122.913	North America	
13519	43.0579	-87.9671	North America	
13844	52.3871	13.1165	Europe	
13979	33.9616	-116.545	North America	
14376	52.1677	4.51046	Europe	
14459	34.0793	-118.29	North America	
14586	52.3871	13.1165	Europe	
14721	52.3871	13.1165	Europe	
15802	19.2708	-99.6499	North America	
16052	38.9255	-94.3883	North America	
16088	1.42922	110.333	Asia	
16123	52.3871	13.1165	Europe	
16210	61.2734	73.4332	Europe	
16392	39.1207	-121.05	North America	
16409	-23.6828	-46.5955	South America	
17204	-20.2124	-40.205	South America	
17236	52.3871	13.1165	Europe	
18103	52.3834	13.1196	Europe	
18125	56.8631	53.2013	Europe	
18607	52.3871	13.1165	Europe	
18964	51.5207	-0.142822	Europe	
18975	52.3871	13.1165	Europe	
19043	-19.9187	-43.9598	South America	
19393	49.1994	-122.913	North America	
19508	49.1994	-122.913	North America	
19937	51.5207	-0.142822	Europe	
20076	-36.7374	-71.0353	South America	
20321	52.3871	13.1165	Europe	
20373	52.3871	13.1165	Europe	
20507	52.3871	13.1165	Europe	
20813	52.3871	13.1165	Europe	
21031	52.3871	13.1165	Europe	
21492	-23.6828	-46.5955	South America	
21653	52.3871	13.1165	Europe	
21815	54.8902	23.9267	Europe	
21840	54.8902	23.9267	Europe	
21946	54.8902	23.9267	Europe	
22323	-3.78965	-38.5199	South America	
22332	-26.1568	-52.6728	South America	
22344	56.9715	24.1287	Europe	
22396	42.5042	-83.4315	North America	
22428	52.3871	13.1165	Europe	
22452	-26.1568	-52.6728	South America	
22876	51.7215	36.1846	Europe	
23350	52.3871	13.1165	Europe	
23666	52.3871	13.1165	Europe	
23668	52.3871	13.1165	Europe	
23879	30.9373	-91.4009	North America	
24087	52.3871	13.1165	Europe	
24096	-30.0997	-51.1593	South America	
24241	52.3871	13.1165	Europe	
24471	-3.44352	114.852	Asia	
24474	52.3871	13.1165	Europe	
25623	52.3871	13.1165	Europe	
25649	50.7331	7.0929	Europe	
26015	55.7559	37.5483	Europe	
26027	19.3284	-99.1525	North America	
26065	52.3871	13.1165	Europe	
26183	54.6287	-1.65155	Europe	
26238	53.4039	-1.5631	Europe	
26405	38.7435	-9.15999	Europe	
26508	52.3871	13.1165	Europe	
26710	53.7205	-1.95008	Europe	
26966	52.3871	13.1165	Europe	
27009	52.3834	13.1196	Europe	
27088	52.6361	-1.13111	Europe	
27211	-6.26238	106.914	Asia	
27330	52.3871	13.1165	Europe	
27611	52.3871	13.1165	Europe	
27757	41.0518	-80.5876	North America	
28046	52.3871	13.1165	Europe	
28306	47.5308	21.6603	Europe	
29063	42.003	-79.8075	North America	
29182	52.3871	13.1165	Europe	
29356	52.3871	13.1165	Europe	
29671	51.7368	5.52379	Europe	
29774	-23.6828	-46.5955	South America	
29787	52.0508	113.401	Europe	
29812	-23.6828	-46.5955	South America	
30372	55.8554	-4.23242	Europe	
30378	55.8554	-4.23242	Europe	
30447	55.8554	-4.23242	Europe	
30814	52.9789	36.1087	Europe	
30845	-22.8952	-47.0303	South America	
31118	28.4909	-81.4648	North America	
31343	51.5207	-0.142822	Europe	
31516	52.3871	13.1165	Europe	
32465	52.3834	13.1196	Europe	
32599	52.3871	13.1165	Europe	
33256	37.9272	-122.345	North America	
33376	52.3871	13.1165	Europe	
33587	30.0608	140.596	Asia	
33737	52.3834	13.1196	Europe	
33800	52.3871	13.1165	Europe	
34071	52.3871	13.1165	Europe	
34241	52.3834	13.1196	Europe	
34304	52.3871	13.1165	Europe	
34586	52.3871	13.1165	Europe	
35440	52.3834	13.1196	Europe	
35490	53.3694	8.10075	Europe	
35574	52.3834	13.1196	Europe	
35581	52.3871	13.1165	Europe	
35770	19.4325	-99.1534	North America	
35864	52.3871	13.1165	Europe	
35925	52.9496	36.0578	Europe	
36067	-28.7189	-53.5192	South America	
36746	52.3871	13.1165	Europe	
37025	52.9505	36.0638	Europe	
37132	52.3871	13.1165	Europe	
37451	49.3606	9.10284	Europe	
37576	52.3871	13.1165	Europe	
37630	53.3549	-6.2476	Europe	
38428	54.8902	23.9267	Europe	
38463	52.3834	13.1196	Europe	
38587	29.468	-98.6865	North America	
