Tweet Id 	 Latitude 	 Longitude 	 Continent
40	51.5207	-0.142822	Europe	
120	52.2143	6.974	Europe	
405	49.1994	-122.913	North America	
850	-6.37468	106.768	Asia	
1423	3.14845	101.705	Asia	
1579	48.383	31.1814	Europe	
1864	42.0573	-87.8341	North America	
2299	55.7559	37.5483	Europe	
2359	-6.23597	106.988	Asia	
2538	3.14845	101.705	Asia	
2567	41.4348	-88.2292	North America	
2818	-6.993	107.559	Asia	
2821	39.4207	26.8072	Asia	
2972	-23.6828	-46.5955	South America	
3004	-26.3075	27.9439	Africa	
3079	49.1994	-122.913	North America	
3264	51.5207	-0.142822	Europe	
3613	51.5207	-0.142822	Europe	
3658	51.5207	-0.142822	Europe	
3737	-6.96387	107.631	Asia	
3827	41.8005	-88.1675	North America	
4295	39.4207	26.8072	Asia	
5043	51.5207	-0.142822	Europe	
5816	-6.16896	106.827	Asia	
6148	51.5207	-0.142822	Europe	
6381	59.9341	30.3287	Europe	
6383	59.9341	30.3287	Europe	
7017	41.8984	12.5451	Europe	
7031	51.6664	-0.0844418	Europe	
7655	39.6162	-75.8006	North America	
7709	35.0125	134.996	Asia	
8015	35.0125	134.996	Asia	
8095	51.4546	46.1045	Europe	
8843	48.383	31.1814	Europe	
8864	51.5207	-0.142822	Europe	
9449	1.39741	103.829	Asia	
9743	-20.4639	-45.4391	South America	
9818	51.5207	-0.142822	Europe	
10206	0	0	NULL	
10461	49.1994	-122.913	North America	
10868	-6.38626	106.828	Asia	
11395	40.7572	-73.9825	North America	
11438	51.5207	-0.142822	Europe	
11967	-7.26046	112.764	Asia	
12175	-36.7374	-71.0353	South America	
12234	39.4207	26.8072	Asia	
12792	56.0085	92.8723	Europe	
13243	51.5207	-0.142822	Europe	
13290	51.5207	-0.142822	Europe	
13439	35.0125	134.996	Asia	
13465	52.2701	-0.747651	Europe	
13477	-23.6828	-46.5955	South America	
13770	19.4325	-99.1534	North America	
14867	39.4207	26.8072	Asia	
14951	34.0209	-118.211	North America	
15005	-36.7456	-72.4432	South America	
15366	51.5207	-0.142822	Europe	
15456	37.0273	-76.3833	North America	
15467	61.7464	50.8191	Europe	
16042	57.7686	40.942	Europe	
16306	49.1048	6.19605	Europe	
16518	51.8039	55.1908	Europe	
16531	-6.90558	107.626	Asia	
17017	3.14845	101.705	Asia	
17034	51.5207	-0.142822	Europe	
17066	43.6535	-79.3839	North America	
17306	42.6242	-83.2897	North America	
17430	36.0195	-86.7992	North America	
17655	53.2204	-0.558267	Europe	
17707	53.3933	-2.91859	Europe	
18158	51.5207	-0.142822	Europe	
18171	54.9715	73.3869	Europe	
18321	-6.89447	107.62	Asia	
18407	56.8371	60.5928	Europe	
18506	53.1958	45.0387	Europe	
18796	51.5207	-0.142822	Europe	
19166	51.5207	-0.142822	Europe	
19479	51.5207	-0.142822	Europe	
19517	51.5207	-0.142822	Europe	
19695	51.5207	-0.142822	Europe	
19948	-6.74538	-38.2186	South America	
20031	-6.74538	-38.2186	South America	
20093	39.4207	26.8072	Asia	
20128	-6.74538	-38.2186	South America	
20147	-1.74911	102.839	Asia	
20282	51.5207	-0.142822	Europe	
20869	55.7559	37.5483	Europe	
21417	33.5914	-112.125	North America	
21474	51.5207	-0.142822	Europe	
21494	39.5782	-79.8737	North America	
21599	51.5207	-0.142822	Europe	
22026	39.6567	-74.7675	North America	
22138	51.5207	-0.142822	Europe	
22443	52.7897	6.14644	Europe	
22558	2.20133	102.248	Asia	
22907	51.5207	-0.142822	Europe	
24188	37.6736	-122.135	North America	
24639	49.1994	-122.913	North America	
24945	1.50756	103.776	Asia	
25208	39.7407	-75.5458	North America	
25608	3.14845	101.705	Asia	
25980	29.6455	-95.1605	North America	
26139	28.6645	-81.3956	North America	
26186	3.03296	101.654	Asia	
26206	-7.2771	112.717	Asia	
26233	53.7172	27.9867	Europe	
26752	59.9341	30.3287	Europe	
27098	51.5207	-0.142822	Europe	
27300	-6.16876	106.846	Asia	
27340	-7.2771	112.717	Asia	
27354	51.5207	-0.142822	Europe	
27891	-6.71672	107.026	Asia	
28329	62.8239	27.772	Europe	
29713	1.42919	110.333	Asia	
29890	56.2847	43.851	Europe	
29938	56.8449	60.6343	Europe	
30070	5.8108	100.383	Asia	
30222	3.05122	101.559	Asia	
30231	19.4325	-99.1534	North America	
30657	51.5207	-0.142822	Europe	
30989	51.5207	-0.142822	Europe	
31168	51.5207	-0.142822	Europe	
31365	-24.018	-46.5015	South America	
31413	59.9341	30.3287	Europe	
31621	51.5207	-0.142822	Europe	
31792	-6.23597	106.988	Asia	
31920	48.8588	2.347	Europe	
32209	43.3244	-0.379705	Europe	
32419	55.7559	37.5483	Europe	
33059	51.5265	45.9785	Europe	
33311	19.0322	-98.1543	North America	
33381	29.9839	30.9983	Africa	
33386	38.1167	-122.277	North America	
33537	32.491	-84.8741	North America	
33855	39.4207	26.8072	Asia	
34180	49.1994	-122.913	North America	
34246	49.1994	-122.913	North America	
34562	3.03296	101.654	Asia	
34983	-7.2771	112.717	Asia	
35115	8.12923	-63.5409	South America	
35166	8.12923	-63.5409	South America	
35331	51.5207	-0.142822	Europe	
35359	36.6888	-79.6123	North America	
36564	47.2382	-1.56074	Europe	
36792	-23.6828	-46.5955	South America	
36808	51.5207	-0.142822	Europe	
36857	49.1994	-122.913	North America	
36971	39.6844	-75.7419	North America	
37008	52.2699	-0.891825	Europe	
37608	1.42922	110.333	Asia	
37644	3.02802	101.573	Asia	
37730	56.1385	40.4177	Europe	
37875	54.661	39.7144	Europe	
37942	49.1994	-122.913	North America	
38000	43.6535	-79.3839	North America	
38117	42.547	2.91701	Europe	
38123	42.547	2.91701	Europe	
38628	-0.173024	-78.4816	South America	
38698	-6.77694	110.988	Asia	
38777	51.5207	-0.142822	Europe	
38881	1.64526	103.594	Asia	
38895	41.8005	-88.1674	North America	
38902	1.50756	103.776	Asia	
38965	3.14845	101.705	Asia	
39055	41.8005	-88.1674	North America	
39083	41.8005	-88.1674	North America	
39148	-7.27111	112.755	Asia	
39155	51.5207	-0.142822	Europe	
39210	48.9371	2.45718	Europe	
39249	-7.27111	112.755	Asia	
39570	50.8774	5.96095	Europe	
39866	41.8005	-88.1674	North America	
39887	41.8005	-88.1674	North America	
40097	51.5207	-0.142822	Europe	
40103	41.8005	-88.1674	North America	
40105	41.801	-88.1678	North America	
40228	53.5577	-2.04767	Europe	
40267	34.0209	-118.211	North America	
40394	51.5207	-0.142822	Europe	
40894	34.6293	135.054	Asia	
40914	29.7779	-95.1749	North America	
40948	51.5207	-0.142822	Europe	
41227	51.5207	-0.142822	Europe	
42324	51.5207	-0.142822	Europe	
43068	-0.488278	117.161	Asia	
43218	55.7559	37.5483	Europe	
43434	42.0094	-4.52741	Europe	
43898	38.9802	-77.1005	North America	
43901	38.9802	-77.1005	North America	
43999	-7.78094	110.364	Asia	
44207	-7.01057	110.404	Asia	
44681	41.8005	-88.1674	North America	
44904	41.8005	-88.1674	North America	
45008	41.8016	-88.1676	North America	
45034	41.8719	-72.6566	North America	
45044	41.8021	-88.1658	North America	
46303	37.726	-81.2402	North America	
46683	1.86117	104.63	Asia	
46748	-1.64974	103.621	Asia	
47143	-6.16896	106.827	Asia	
47267	51.5207	-0.142822	Europe	
47273	-6.90558	107.626	Asia	
47374	-6.16896	106.827	Asia	
48301	-6.16896	106.827	Asia	
48539	52.5067	13.4246	Europe	
48583	3.14845	101.705	Asia	
48584	-5.14383	119.426	Asia	
49667	41.8005	-88.1674	North America	
49784	-6.3428	106.731	Asia	
49828	34.1406	-117.284	North America	
49840	59.9341	30.3287	Europe	
49884	-6.3428	106.731	Asia	
49949	-6.3428	106.731	Asia	
50021	55.1254	73.3788	Europe	
50025	-6.3428	106.731	Asia	
50065	55.1254	73.3788	Europe	
50075	-6.3428	106.731	Asia	
50092	-6.3428	106.731	Asia	
50140	-6.3428	106.731	Asia	
50342	-6.34273	106.731	Asia	
50363	51.5207	-0.142822	Europe	
50376	51.5207	-0.142822	Europe	
50377	-6.34273	106.731	Asia	
50381	50.795	-2.61142	Europe	
50392	46.2465	6.13303	Europe	
50448	61.5218	0.00022	Europe	
50780	-6.34273	106.731	Asia	
50841	-6.34273	106.731	Asia	
50871	-6.34273	106.731	Asia	
50882	-6.34273	106.731	Asia	
51012	39.4207	26.8072	Asia	
51019	33.8623	-118.243	North America	
51094	50.795	-2.61142	Europe	
51217	-6.34273	106.731	Asia	
51302	38.9637	35.2433	Asia	
51357	50.795	-2.61142	Europe	
51434	49.1994	-122.913	North America	
51526	-6.23019	106.76	Asia	
51528	-6.23019	106.76	Asia	
51731	-23.0614	-45.9175	South America	
51842	49.1994	-122.913	North America	
51976	29.7775	-95.4162	North America	
52331	-6.19922	107.108	Asia	
52510	48.1114	7.39228	Europe	
53161	3.31135	101.4	Asia	
53760	51.5488	-0.131636	Europe	
53939	1.38382	103.763	Asia	
54152	-6.34273	106.731	Asia	
54208	5.33275	100.303	Asia	
54442	-7.83398	112.02	Asia	
54528	-22.916	-43.4473	South America	
54912	51.4546	46.1045	Europe	
54964	36.3758	-95.8978	North America	
55272	-7.30713	110.124	Asia	
55357	-6.90558	107.626	Asia	
55418	51.4775	-0.887627	Europe	
55583	3.05491	101.787	Asia	
55877	51.5207	-0.142822	Europe	
55883	3.82881	103.217	Asia	
55929	49.1994	-122.913	North America	
55966	3.82881	103.217	Asia	
56309	3.23557	101.667	Asia	
56403	46.5337	-0.7526	Europe	
56686	51.5207	-0.142822	Europe	
56838	35.5883	139.728	Asia	
57526	35.0125	134.996	Asia	
58164	49.1994	-122.913	North America	
58709	-6.9958	110.428	Asia	
59088	-6.90401	107.65	Asia	
59169	2.83962	101.748	Asia	
59174	0	0	NULL	
59191	41.8005	-88.1674	North America	
59268	54.1937	37.6289	Europe	
59269	41.8008	-88.1673	North America	
59544	55.5715	38.2275	Europe	
59548	41.8005	-88.1674	North America	
59587	49.1994	-122.913	North America	
59591	41.8005	-88.1674	North America	
59593	41.8012	-88.1671	North America	
59689	38.8808	-77.1022	North America	
60012	3.14845	101.705	Asia	
60144	51.576	4.97728	Europe	
60512	49.1994	-122.913	North America	
61332	19.333	-99.1533	North America	
61421	49.1994	-122.913	North America	
61538	3.5538	103.431	Asia	
61974	19.3284	-99.1525	North America	
62336	34.1103	-117.366	North America	
62758	1.42861	103.836	Asia	
63230	-6.90558	107.626	Asia	
63469	-22.4873	-44.1755	South America	
63625	-7.78094	110.363	Asia	
63900	51.1272	16.9913	Europe	
64083	-6.56218	106.771	Asia	
64336	39.7391	-75.5489	North America	
64463	40.5596	-105.068	North America	
64516	-1.74911	102.839	Asia	
64519	-6.58341	106.794	Asia	
64564	-1.74911	102.839	Asia	
64971	-2.97932	104.738	Asia	
65315	-6.2243	106.865	Asia	
65559	43.101	131.926	Europe	
65640	43.6535	-79.3839	North America	
65853	19.4447	-99.2084	North America	
65882	41.8005	-88.1674	North America	
65954	-7.78094	110.364	Asia	
65995	-6.16896	106.827	Asia	
66162	45.1396	-0.0829742	Europe	
66576	40.7308	-73.3252	North America	
67375	-25.4951	-49.2884	South America	
67377	-25.4951	-49.2884	South America	
67902	49.1994	-122.913	North America	
68661	55.1254	73.3788	Europe	
68771	2.04811	103.382	Asia	
69831	19.0322	-98.1543	North America	
69851	38.9637	35.2433	Asia	
69904	2.06667	45.3667	Africa	
69942	-25.4951	-49.2884	South America	
70119	38.4291	-81.7929	North America	
71363	39.4732	-74.9919	North America	
71846	49.1994	-122.913	North America	
71885	51.5207	-0.142822	Europe	
71979	0	0	NULL	
72330	51.5207	-0.142822	Europe	
72433	-6.39189	107.299	Asia	
73154	26.0208	-80.3348	North America	
74000	51.5207	-0.142822	Europe	
74467	53.5192	-2.04632	Europe	
74898	39.4207	26.8072	Asia	
75350	51.6057	-0.691979	Europe	
75857	40.073	-74.7243	North America	
76660	-6.95251	107.592	Asia	
76899	43.0667	-77.4594	North America	
76932	55.7559	37.5483	Europe	
77223	29.9522	-90.0703	North America	
77344	51.5207	-0.142822	Europe	
77597	51.5207	-0.142822	Europe	
78149	-6.23597	106.988	Asia	
78938	64.0638	24.6625	Europe	
79366	-23.6828	-46.5955	South America	
80204	36.0388	-115.135	North America	
80339	39.7393	-89.2665	North America	
80341	39.7393	-89.2665	North America	
80568	-20.2804	-40.2928	South America	
80753	-6.34273	106.731	Asia	
80848	4.58419	101.134	Asia	
81124	41.8005	-88.1674	North America	
81183	49.1994	-122.913	North America	
81309	49.1994	-122.913	North America	
81445	41.8007	-88.1675	North America	
81557	49.1994	-122.913	North America	
81591	41.8014	-88.1681	North America	
81680	55.7559	37.5483	Europe	
82030	44.8301	-93.0559	North America	
82430	55.8421	37.5697	Europe	
82604	51.5207	-0.142822	Europe	
83305	2.71563	101.953	Asia	
83380	52.1517	4.48183	Europe	
83494	52.1517	4.48183	Europe	
83550	51.5207	-0.142822	Europe	
84269	51.5207	-0.142822	Europe	
84700	0.830694	104.072	Asia	
85225	-36.7374	-71.0353	South America	
85303	21.2986	-157.821	North America	
85353	55.7559	37.5483	Europe	
85717	-6.15608	106.78	Asia	
85787	51.4151	-0.679645	Europe	
86460	34.1335	-117.909	North America	
86860	6.09651	100.359	Asia	
87171	-23.6828	-46.5955	South America	
87298	60.9716	25.689	Europe	
87333	37.792	-122.396	North America	
87350	51.5207	-0.142822	Europe	
87356	-21.6987	-45.2245	South America	
87809	55.7559	37.5483	Europe	
87810	3.03296	101.654	Asia	
87974	-7.2771	112.717	Asia	
88070	-6.24699	107.078	Asia	
88476	2.04811	103.382	Asia	
88557	9.187	12.5004	Africa	
88806	-8.66924	115.224	Asia	
88815	49.1994	-122.913	North America	
88905	-8.66924	115.224	Asia	
88985	33.5096	-7.58561	Africa	
89079	51.5207	-0.142822	Europe	
90762	51.5207	-0.142822	Europe	
90983	-23.6268	-46.5974	South America	
91157	51.5207	-0.142822	Europe	
91579	-5.17909	119.42	Asia	
92185	-23.6828	-46.5955	South America	
92190	41.8338	-87.7319	North America	
92729	48.2242	20.2946	Europe	
92815	51.5207	-0.142822	Europe	
92871	51.5207	-0.142822	Europe	
93176	37.3796	-81.0443	North America	
93435	51.5207	-0.142822	Europe	
93845	49.1994	-122.913	North America	
94021	49.1994	-122.913	North America	
94232	21.3258	-157.801	North America	
94371	4.88533	114.897	Asia	
94681	27.9944	-82.4681	North America	
95147	-6.16896	106.827	Asia	
95462	5.95373	116.078	Asia	
95534	51.5207	-0.142822	Europe	
95718	-7.9072	110.265	Asia	
95747	41.8005	-88.1675	North America	
95793	49.1994	-122.913	North America	
96292	-6.86289	107.569	Asia	
96381	34.1241	-118.026	North America	
97045	51.5207	-0.142822	Europe	
97311	51.5207	-0.142822	Europe	
97388	1.30098	103.848	Asia	
97417	-22.916	-43.4473	South America	
97456	34.0209	-118.211	North America	
98440	41.8984	12.5452	Europe	
98595	55.8699	-4.30625	Europe	
98691	-6.35789	106.495	Asia	
98998	-6.38566	106.827	Asia	
99009	41.8007	-88.1675	North America	
99096	38.9697	-95.2307	North America	
99322	31.4617	-97.2029	North America	
99323	41.8005	-88.1674	North America	
99832	40.887	-73.892	North America	
100078	-25.6574	28.0814	Africa	
100221	49.1994	-122.913	North America	
100286	39.9488	-75.1931	North America	
100353	36.6031	137.852	Asia	
100499	51.5207	-0.142822	Europe	
101482	38.825	-77.1982	North America	
101674	37.107	-93.3467	North America	
102057	42.637	-71.3269	North America	
102102	25.0171	121.446	Asia	
102155	51.5207	-0.142822	Europe	
102370	-21.65	-41.4319	South America	
102400	4.8852	114.897	Asia	
102428	33.6039	-117.658	North America	
102925	-8.70597	115.226	Asia	
103329	19.1312	72.8354	Asia	
103642	51.5207	-0.142822	Europe	
103779	51.5207	-0.142822	Europe	
103790	-3.44333	114.869	Asia	
104097	58.8909	55.6322	Europe	
104242	37.3831	-5.92359	Europe	
104595	-25.6576	28.0885	Africa	
104814	3.05122	101.559	Asia	
104871	51.5207	-0.142822	Europe	
104980	51.5207	-0.142822	Europe	
105037	3.14845	101.705	Asia	
105199	13.8018	100.158	Asia	
105352	40.8391	-74.1639	North America	
105629	5.40243	100.695	Asia	
105684	35.3048	-80.7402	North America	
105840	-1.27293	-48.4598	South America	
106236	29.9879	-95.3466	North America	
106779	56.8155	60.6136	Europe	
106814	61.5218	0.00022	Europe	
107055	-36.7374	-71.0353	South America	
107120	-23.6828	-46.5955	South America	
107305	-6.2175	106.832	Asia	
107323	37.7916	-122.409	North America	
108002	41.8339	-87.7319	North America	
108178	-6.59917	106.768	Asia	
108220	61.5218	0.00022	Europe	
108262	51.4647	-0.0705832	Europe	
108614	-5.08536	119.525	Asia	
108949	-5.08658	119.526	Asia	
109005	-6.19484	106.858	Asia	
109208	39.2846	-76.6205	North America	
109215	39.4207	26.8072	Asia	
109320	35.0321	-89.8085	North America	
109505	-3.08703	-60.0494	South America	
109674	21.139	-86.8463	North America	
109693	51.5207	-0.142822	Europe	
109740	51.5207	-0.142822	Europe	
110206	37.2692	-119.307	North America	
110339	51.5207	-0.142822	Europe	
110401	53.5197	-2.04633	Europe	
110404	-6.18622	106.637	Asia	
110545	1.32451	103.845	Asia	
110922	51.5207	-0.142822	Europe	
110932	51.5207	-0.142822	Europe	
111145	41.8005	-88.1673	North America	
111296	29.8239	-95.4621	North America	
111409	38.8936	-77.0146	North America	
111614	41.8005	-88.1674	North America	
111824	-6.18622	106.637	Asia	
111830	-6.18622	106.637	Asia	
112095	-15.7763	-47.7966	South America	
112204	61.5218	0.00022	Europe	
113098	37.3495	-121.802	North America	
113099	41.8005	-88.1675	North America	
113346	61.5218	0.00022	Europe	
113348	41.8005	-88.1675	North America	
113422	41.8006	-88.1674	North America	
113429	51.5207	-0.142822	Europe	
113483	47.9073	1.87354	Europe	
113542	41.8005	-88.1675	North America	
113672	-6.82164	107.145	Asia	
114252	-6.16896	106.827	Asia	
114653	-2.62921	-44.3026	South America	
114686	55.8634	-4.25309	Europe	
114749	49.1994	-122.913	North America	
115207	42.2074	-91.1901	North America	
116299	61.5218	0.00022	Europe	
116359	59.9341	30.3287	Europe	
116720	3.03296	101.654	Asia	
117047	39.4207	26.8072	Asia	
117050	55.7559	37.5483	Europe	
117542	-6.90558	107.626	Asia	
117797	51.5207	-0.142822	Europe	
118088	41.8005	-88.1674	North America	
118105	58.0225	56.1443	Europe	
118248	41.8005	-88.1674	North America	
118278	51.5207	-0.142822	Europe	
118562	37.7119	-81.2642	North America	
118658	49.1994	-122.913	North America	
118728	49.1994	-122.913	North America	
118763	-23.6246	-46.5649	South America	
118797	49.1994	-122.913	North America	
119052	51.5207	-0.142822	Europe	
119128	19.1346	73.0027	Asia	
119384	-6.35789	106.495	Asia	
119440	-6.35789	106.495	Asia	
119491	-6.35789	106.495	Asia	
119527	53.8228	-1.42539	Europe	
119568	52.4056	6.04099	Europe	
119843	51.5207	-0.142822	Europe	
120452	35.3409	-80.7611	North America	
120477	-6.2947	106.704	Asia	
120755	45.0177	39.0434	Europe	
120955	-36.7374	-71.0353	South America	
121186	-7.62971	111.514	Asia	
121197	3.03296	101.654	Asia	
121409	3.23187	101.386	Asia	
121456	21.3258	-157.801	North America	
121597	51.5207	-0.142822	Europe	
121832	48.918	2.29348	Europe	
122737	51.5207	-0.142822	Europe	
122795	51.5207	-0.142822	Europe	
122925	43.6535	-79.3839	North America	
123001	-36.7374	-71.0353	South America	
123166	-7.78094	110.364	Asia	
123185	52.1631	5.26264	Europe	
123233	52.1631	5.26264	Europe	
123259	61.5218	0.00022	Europe	
123660	-7.87435	110.423	Asia	
123721	51.5207	-0.142822	Europe	
123936	51.5207	-0.142822	Europe	
124019	49.1994	-122.913	North America	
124175	51.5207	-0.142822	Europe	
124356	51.5207	-0.142822	Europe	
124526	38.2753	24.508	Europe	
124609	51.5207	-0.142822	Europe	
124979	3.03296	101.654	Asia	
125060	33.5731	-7.57941	Africa	
125090	51.5207	-0.142822	Europe	
125282	54.704	20.5056	Europe	
125417	51.5207	-0.142822	Europe	
125631	35.5883	139.729	Asia	
