Tweet Id 	 Latitude 	 Longitude 	 Continent
48	48.904	2.30416	Europe	
63	-7.20416	107.591	Asia	
70	0.361936	108.96	Asia	
250	33.8549	-118.377	North America	
1192	56.8155	60.6136	Europe	
1225	35.7157	139.931	Asia	
2053	42.6843	-84.6273	North America	
2237	42.3527	-83.0992	North America	
2325	34.8101	-78.9649	North America	
2552	36.3118	138.626	Asia	
2663	53.156	6.37757	Europe	
2700	38.8951	-76.9001	North America	
2818	-6.993	107.559	Asia	
3138	39.0087	-77.0178	North America	
3430	49.1846	-0.372109	Europe	
3859	35.9429	-78.9123	North America	
3983	43.6707	7.15032	Europe	
4045	41.389	-81.5298	North America	
4068	49.1846	-0.372109	Europe	
4141	37.5074	126.751	Asia	
4180	32.6477	-96.9129	North America	
4631	42.4547	-83.0285	North America	
4712	51.5207	-0.142822	Europe	
4776	50.7782	5.97428	Europe	
4959	33.5708	-84.5298	North America	
5198	51.5207	-0.142822	Europe	
5449	2.94886	101.77	Asia	
5568	38.8936	-77.0146	North America	
5772	-23.6828	-46.5955	South America	
5831	36.4205	-121.315	North America	
5931	-23.6828	-46.5955	South America	
5968	-2.42837	106.432	Asia	
6040	-23.6828	-46.5955	South America	
6115	-2.42837	106.432	Asia	
6158	-2.42837	106.432	Asia	
6177	-2.42837	106.432	Asia	
6365	52.3651	4.87769	Europe	
6453	-21.9266	-50.5204	South America	
6459	35.6869	139.756	Asia	
6588	-6.16896	106.827	Asia	
6595	-6.16896	106.827	Asia	
6727	32.3246	-86.1845	North America	
6748	49.1846	-0.372109	Europe	
6898	49.1846	-0.372109	Europe	
7327	38.8224	-77.0069	North America	
7343	36.0449	-80.2839	North America	
7380	40.6581	-73.8796	North America	
7716	-0.774199	100.592	Asia	
7976	35.0774	135.93	Asia	
8032	-0.774199	100.592	Asia	
8146	45.4224	12.3307	Europe	
8154	-0.774199	100.592	Asia	
8174	-0.774199	100.592	Asia	
8412	53.8438	-1.85079	Europe	
8452	-6.21412	106.985	Asia	
8595	51.5207	-0.142822	Europe	
9026	37.9159	139.05	Asia	
9042	1.29344	103.843	Asia	
9046	1.29344	103.843	Asia	
9560	-7.2771	112.717	Asia	
9854	36.9748	-86.4302	North America	
9872	49.1846	-0.372109	Europe	
10206	0	0	NULL	
10352	49.1994	-122.913	North America	
10433	38.9262	-76.8878	North America	
10500	42.3377	-83.142	North America	
10520	52.3871	13.1165	Europe	
10663	-6.15911	106.911	Asia	
10958	41.8338	-87.7319	North America	
11010	42.7087	-84.5209	North America	
11158	-8.70597	115.226	Asia	
11182	-8.70597	115.226	Asia	
11607	-36.7374	-71.0353	South America	
11676	52.3871	13.1165	Europe	
12335	41.0843	-81.513	North America	
12873	-23.6828	-46.5955	South America	
12950	-23.6828	-46.5955	South America	
13670	-7.18055	107.566	Asia	
13761	53.3933	-2.91859	Europe	
14268	35.1634	-115.9	North America	
14301	35.1634	-115.9	North America	
14336	34.6613	135.419	Asia	
14722	41.4988	-81.7059	North America	
14757	33.0621	-16.344	Europe	
15194	49.1846	-0.372109	Europe	
15304	35.4644	139.404	Asia	
15564	-7.2771	112.717	Asia	
15670	34.1853	-118.922	North America	
15814	-7.83844	110.444	Asia	
16152	49.1846	-0.372109	Europe	
16270	32.3824	-86.1722	North America	
16304	52.3871	13.1165	Europe	
16634	-6.40156	106.793	Asia	
16918	-6.18622	106.637	Asia	
17017	3.14845	101.705	Asia	
17022	32.3703	-86.1736	North America	
17033	3.03297	101.654	Asia	
17058	52.3871	13.1165	Europe	
17134	36.9647	-120.109	North America	
17302	41.7004	12.5799	Europe	
17392	50.8406	16.4923	Europe	
18105	-7.78094	110.363	Asia	
18478	48.8588	2.34701	Europe	
18572	31.5774	-84.1901	North America	
18678	39.0087	-77.0178	North America	
18934	38.9524	-76.9564	North America	
19058	43.2965	5.36978	Europe	
19070	43.2965	5.36978	Europe	
19109	39.0795	-76.8577	North America	
19140	-19.9187	-43.9598	South America	
19232	48.8588	2.34693	Europe	
19510	36.2329	-115.238	North America	
19842	35.7341	139.717	Asia	
19987	38.8085	-90.3785	North America	
20150	38.8936	-77.0146	North America	
20530	-7.53652	110.805	Asia	
20560	39.1564	-75.5135	North America	
20882	-6.16896	106.827	Asia	
20887	35.5016	140.31	Asia	
20920	-6.16896	106.827	Asia	
21078	-6.16896	106.827	Asia	
21272	1.32773	103.946	Asia	
21609	37.7703	-122.436	North America	
21623	60.2064	25.0741	Europe	
21674	33.6245	-80.9266	North America	
21677	31.7897	-115.229	North America	
21943	42.5056	-83.1864	North America	
21979	53.4793	-2.24793	Europe	
21989	30.2978	-97.7533	North America	
22019	30.2978	-97.7533	North America	
22082	35.4464	-77.6725	North America	
22343	50.7782	5.97428	Europe	
22712	53.4424	-2.23348	Europe	
23237	35.3482	139.486	Asia	
23283	43.2734	5.40156	Europe	
23366	-25.1476	-50.071	South America	
23726	51.0579	0.999159	Europe	
23951	48.898	-122.607	North America	
24223	49.455	1.1377	Europe	
24355	35.6825	139.587	Asia	
24402	34.8467	135.668	Asia	
24489	-7.26133	112.745	Asia	
24770	-6.18622	106.637	Asia	
25046	54.7042	20.472	Europe	
25383	41.4174	-81.5599	North America	
25455	52.3766	9.74059	Europe	
25576	56.7426	37.166	Europe	
25619	52.0081	5.19539	Europe	
25805	-7.65353	112.687	Asia	
25833	52.0081	5.19539	Europe	
25834	-7.65958	111.534	Asia	
25866	35.675	139.763	Asia	
25880	33.4214	-111.939	North America	
25899	3.14845	101.705	Asia	
26206	-7.2771	112.717	Asia	
27211	-6.26238	106.914	Asia	
27232	-30.0997	-51.1593	South America	
27262	-8.67579	115.187	Asia	
27388	-6.26238	106.914	Asia	
27434	-6.26238	106.914	Asia	
27482	-6.26238	106.914	Asia	
27528	-6.26238	106.914	Asia	
