Tweet Id 	 Latitude 	 Longitude 	 Continent
144	45.2482	-75.8001	North America	
191	49.1994	-122.913	North America	
253	51.5207	-0.142822	Europe	
260	52.3871	13.1165	Europe	
262	26.1404	-80.1456	North America	
300	51.5207	-0.142822	Europe	
515	51.5207	-0.142822	Europe	
574	-20.8756	-54.2616	South America	
592	51.5207	-0.142822	Europe	
668	51.5207	-0.142822	Europe	
861	-7.79149	110.37	Asia	
863	33.4312	-82.0648	North America	
885	35.2035	-80.836	North America	
951	52.3834	13.1196	Europe	
996	-6.11663	106.866	Asia	
1132	19.2708	-99.6499	North America	
1338	39.4207	26.8072	Asia	
1479	38.3381	-79.1577	North America	
1497	37.5295	-122.009	North America	
1500	51.5207	-0.142822	Europe	
1522	-6.90621	107.621	Asia	
1533	35.7666	139.354	Asia	
1539	51.5207	-0.142822	Europe	
1549	-0.363503	103.102	Asia	
1561	3.07292	101.519	Asia	
1586	51.5207	-0.142822	Europe	
1604	39.4207	26.8072	Asia	
1655	3.58111	98.6676	Asia	
1663	3.58111	98.6676	Asia	
1692	52.3834	13.1196	Europe	
1743	47.1066	-122.551	North America	
1753	-7.97656	112.628	Asia	
1777	40.7402	-73.9911	North America	
1956	-7.30453	112.789	Asia	
2157	52.3871	13.1165	Europe	
2210	52.3834	13.1196	Europe	
2231	-6.20341	106.82	Asia	
2238	-6.23399	107.361	Asia	
2285	-6.23399	107.361	Asia	
2296	51.5207	-0.142822	Europe	
2327	-6.23399	107.361	Asia	
2356	38.9637	35.2433	Asia	
2359	-6.23597	106.988	Asia	
2362	38.8048	-77.237	North America	
2407	-1.26513	36.8185	Africa	
2424	30.4454	-84.2453	North America	
2482	37.5295	-122.009	North America	
2513	49.1994	-122.913	North America	
2538	3.14845	101.705	Asia	
2715	51.5207	-0.142822	Europe	
2811	-0.891027	119.879	Asia	
2844	50.4666	4.8585	Europe	
2858	34.0209	-118.211	North America	
2972	-23.6828	-46.5955	South America	
3004	-26.3075	27.9439	Africa	
3054	39.4207	26.8072	Asia	
3189	-3.73708	-38.4907	South America	
3264	51.5207	-0.142822	Europe	
3338	-7.97656	112.628	Asia	
3343	51.5207	-0.142822	Europe	
