Tweet Id 	 Latitude 	 Longitude 	 Continent
24	-23.6828	-46.5955	South America	
43	-26.4233	-49.1569	South America	
56	-23.7108	-46.4227	South America	
96	-23.6004	-46.5445	South America	
127	-23.6828	-46.5955	South America	
145	13.6883	-89.1493	North America	
187	-2.57242	-59.9803	South America	
192	-23.6828	-46.5955	South America	
227	-25.4951	-49.2884	South America	
236	52.3834	13.1196	Europe	
251	-20.1671	-43.9507	South America	
318	48.7336	2.45753	Europe	
333	-23.6828	-46.5955	South America	
376	18.5538	-70.0551	North America	
390	-33.4087	-70.7358	South America	
437	19.6563	-99.2336	North America	
446	-33.4087	-70.7358	South America	
455	36.1302	-89.0197	North America	
488	-26.2617	-48.9665	South America	
510	34.1201	-117.509	North America	
518	19.6563	-99.2336	North America	
541	19.6563	-99.2336	North America	
556	39.5878	-104.898	North America	
557	52.3834	13.1196	Europe	
602	19.3184	-98.2454	North America	
614	-19.8274	-43.0981	South America	
622	39.8495	-74.8563	North America	
687	19.1644	-98.4097	North America	
703	38.0829	-0.951599	Europe	
745	-23.4842	-46.5864	South America	
751	52.9933	-1.16315	Europe	
766	33.7418	-84.1543	North America	
781	3.13396	101.686	Asia	
787	-22.916	-43.4473	South America	
810	16.7255	-92.638	North America	
822	-19.9187	-43.9598	South America	
833	-36.7374	-71.0353	South America	
842	-23.0614	-45.9175	South America	
852	34.0934	-118.286	North America	
860	-7.27439	112.58	Asia	
900	-7.54153	110.763	Asia	
910	41.3941	2.1393	Europe	
932	-5.14383	119.426	Asia	
944	-27.6534	-51.0923	South America	
990	-20.1716	-45.7148	South America	
1018	-7.31545	112.747	Asia	
1020	-22.5778	-50.4376	South America	
1021	-5.15527	-44.1652	South America	
1113	-22.8952	-47.0303	South America	
1115	-7.54533	110.747	Asia	
1128	53.4424	-2.23348	Europe	
1162	3.11023	101.723	Asia	
1179	34.245	-77.9397	North America	
1222	35.0826	-106.678	North America	
1230	36.7977	-98.6671	North America	
1280	1.50099	103.739	Asia	
1293	1.50756	103.776	Asia	
1300	-7.54533	110.747	Asia	
1322	-22.5778	-50.4376	South America	
1342	-22.916	-43.4473	South America	
1391	48.5693	7.76221	Europe	
1455	41.8984	12.5451	Europe	
1467	-12.8753	-38.5026	South America	
1600	29.481	-98.4934	North America	
1614	41.9888	-70.9708	North America	
1625	19.4325	-99.1534	North America	
1635	50.652	-4.03372	Europe	
1638	-23.3921	-46.4538	South America	
1640	59.3336	17.98	Europe	
1642	59.9358	30.3252	Europe	
1644	59.3336	17.98	Europe	
1670	53.7172	27.9867	Europe	
1675	-33.4782	-70.7266	South America	
1687	40.3716	-79.9271	North America	
1696	-5.18848	119.441	Asia	
1730	37.2692	-119.307	North America	
1735	50.5839	17.8031	Europe	
1772	29.4821	-95.0978	North America	
1782	-23.621	-45.4901	South America	
1850	19.4325	-99.1534	North America	
1853	34.0914	-118.29	North America	
1875	59.4743	32.0514	Europe	
1896	-6.28368	106.705	Asia	
1917	-23.6269	-51.6998	South America	
1920	-22.7106	-47.7943	South America	
1923	-22.5245	-44.0809	South America	
1926	-23.8633	-46.2901	South America	
1931	41.3941	2.1393	Europe	
2000	-11.0019	-37.1007	South America	
2012	-22.5778	-50.4376	South America	
2030	-24.1265	-52.366	South America	
2079	-23.0614	-45.9175	South America	
2166	-7.30453	112.789	Asia	
2180	33.9616	-116.545	North America	
2212	41.8833	-87.6282	North America	
2216	-11.0019	-37.1007	South America	
