Tweet Id 	 Latitude 	 Longitude 	 Continent
736	-3.79525	102.256	Asia	
1150	-6.90558	107.626	Asia	
1630	-7.78094	110.364	Asia	
1810	-7.97656	112.628	Asia	
2551	37.5295	-122.009	North America	
3415	51.5207	-0.142822	Europe	
3581	32.6613	-117.091	North America	
4152	-6.56218	106.771	Asia	
4895	51.5207	-0.142822	Europe	
4993	51.9522	5.90207	Europe	
5785	40.8314	-73.8681	North America	
6288	51.5207	-0.142822	Europe	
6593	-6.16896	106.827	Asia	
7011	-6.16896	106.827	Asia	
7251	51.5207	-0.142822	Europe	
8796	48.7734	2.07451	Europe	
8984	51.5207	-0.142822	Europe	
9670	45.5432	-122.655	North America	
13553	50.8182	-1.09673	Europe	
14799	-6.16896	106.827	Asia	
16287	-7.97656	112.628	Asia	
16564	-6.25853	106.767	Asia	
18911	45.184	5.71568	Europe	
19937	51.5207	-0.142822	Europe	
20112	51.5207	-0.142822	Europe	
21479	-6.16896	106.827	Asia	
21650	51.5207	-0.142822	Europe	
22233	51.5207	-0.142822	Europe	
22928	51.5207	-0.142822	Europe	
23979	-6.16896	106.827	Asia	
23989	32.3037	-90.2241	North America	
25840	53.4309	-2.96087	Europe	
26707	51.5207	-0.142822	Europe	
27055	35.2035	-80.836	North America	
28136	35.4383	137.362	Asia	
28911	-6.16896	106.827	Asia	
28990	29.5042	-95.5239	North America	
29146	51.5207	-0.142822	Europe	
29217	-0.306017	100.369	Asia	
29444	51.5207	-0.142822	Europe	
30326	-7.19253	112.957	Asia	
30372	55.8554	-4.23242	Europe	
30447	55.8554	-4.23242	Europe	
31243	61.2734	73.4332	Europe	
33645	1.45643	124.816	Asia	
33668	45.4183	-122.682	North America	
33937	-6.16896	106.827	Asia	
33962	51.5207	-0.142822	Europe	
34192	-1.71186	113.698	Asia	
35806	-7.2771	112.717	Asia	
35832	2.9313	101.697	Asia	
36768	51.5207	-0.142822	Europe	
36890	33.3168	-117.483	North America	
37259	40.3537	-94.8858	North America	
37335	-15.7763	-47.7966	South America	
37587	1.35608	102.152	Asia	
38359	51.5207	-0.142822	Europe	
38760	59.724	30.4085	Europe	
39358	-23.8633	-46.2901	South America	
39827	51.5207	-0.142822	Europe	
40617	51.5207	-0.142822	Europe	
40862	0	0	NULL	
41605	51.5207	-0.142822	Europe	
42601	51.5207	-0.142822	Europe	
46743	51.5207	-0.142822	Europe	
47098	-7.9725	112.629	Asia	
48893	4.23955	103.192	Asia	
48994	42.2733	-83.7377	North America	
50440	-6.9958	110.428	Asia	
