Tweet Id 	 Latitude 	 Longitude 	 Continent
14	35.4825	-97.4792	North America	
20	19.0322	-98.1543	North America	
25	3.25802	101.738	Asia	
32	-23.0082	-43.4548	South America	
37	-18.7954	-41.9396	South America	
38	38.6484	-77.3203	North America	
44	-23.2011	-46.9084	South America	
102	48.627	2.45552	Europe	
105	40.4314	-79.9806	North America	
165	52.3834	13.1196	Europe	
195	-22.916	-43.4473	South America	
196	20.0607	-99.3363	North America	
327	44.9008	-89.5695	North America	
343	-6.36333	-38.8318	South America	
364	38.9637	35.2433	Asia	
411	-28.6768	-49.3509	South America	
506	41.7581	2.06928	Europe	
547	41.1901	-73.1785	North America	
577	34.5207	-87.7457	North America	
620	-22.8215	-43.0007	South America	
711	45.6703	-95.2894	North America	
768	48.8534	2.64746	Europe	
804	-22.916	-43.4473	South America	
870	3.16066	101.576	Asia	
938	39.4207	26.8072	Asia	
986	-26.3061	-50.5016	South America	
1033	53.4424	-2.23348	Europe	
1052	-5.79931	-35.2216	South America	
1060	30.0608	140.596	Asia	
1067	40.7809	-73.9771	North America	
1077	13.7295	100.587	Asia	
1139	-25.4951	-49.2884	South America	
1144	-6.20745	106.813	Asia	
1204	53.4424	-2.23348	Europe	
1237	32.8336	-96.8419	North America	
1395	-30.0997	-51.1593	South America	
1414	-23.8633	-46.2901	South America	
1433	52.3834	13.1196	Europe	
1552	-23.552	-46.6474	South America	
1582	-27.1211	-48.9046	South America	
1610	-25.4951	-49.2884	South America	
1680	3.14845	101.705	Asia	
1689	47.2493	-122.457	North America	
1697	52.0819	15.6121	Europe	
1701	-23.6828	-46.5955	South America	
1720	52.0819	15.6121	Europe	
1768	52.0819	15.6121	Europe	
1799	31.9488	34.8932	Asia	
1824	3.14845	101.705	Asia	
1851	-32.2122	-52.378	South America	
1922	-6.90558	107.626	Asia	
1941	48.9128	2.38875	Europe	
1951	-36.7374	-71.0353	South America	
1965	51.5207	-0.142822	Europe	
1992	51.5207	-0.142822	Europe	
2068	51.5207	-0.142822	Europe	
2099	19.4417	-99.1942	North America	
2101	-23.6828	-46.5955	South America	
2110	51.0019	5.77006	Europe	
2115	33.9571	-118.326	North America	
2315	-23.7108	-46.4227	South America	
2363	52.3834	13.1196	Europe	
2381	51.5207	-0.142822	Europe	
2385	32.8629	-96.9614	North America	
2386	51.5207	-0.142822	Europe	
2406	51.5207	-0.142822	Europe	
2412	51.5207	-0.142822	Europe	
2439	51.5207	-0.142822	Europe	
2458	42.659	-73.779	North America	
2461	-21.8705	-43.3047	South America	
2473	-29.392	-50.9007	South America	
2560	40.9515	-75.9712	North America	
2563	-5.7915	-35.5497	South America	
2578	-6.35789	106.495	Asia	
2593	51.5207	-0.142822	Europe	
2622	37.728	-84.2905	North America	
2657	34.6613	135.419	Asia	
2709	41.4751	-81.5504	North America	
2726	52.3834	13.1196	Europe	
2784	39.4207	26.8072	Asia	
2793	34.6613	135.419	Asia	
2817	-23.4057	-51.9683	South America	
2824	51.5207	-0.142822	Europe	
2854	39.8792	-75.3154	North America	
2862	52.9704	36.0825	Europe	
2881	-6.16896	106.827	Asia	
2894	-22.916	-43.4473	South America	
2979	1.33406	103.847	Asia	
2999	53.7172	27.9867	Europe	
3001	13.7693	100.497	Asia	
3095	43.6814	-79.7831	North America	
3330	-6.29317	106.936	Asia	
3333	60.4797	25.1039	Europe	
3381	-23.6828	-46.5955	South America	
3409	39.4207	26.8072	Asia	
3433	52.3834	13.1196	Europe	
3446	-23.6828	-46.5955	South America	
3448	-20.2664	-50.9477	South America	
3453	52.3834	13.1196	Europe	
3468	37.728	-84.2905	North America	
3549	39.4396	-76.609	North America	
3589	39.4396	-76.609	North America	
3609	39.4396	-76.609	North America	
3616	-8.1851	-36.0151	South America	
3623	-23.6828	-46.5955	South America	
3675	39.4207	26.8072	Asia	
3697	52.3871	13.1165	Europe	
3783	51.5207	-0.142822	Europe	
3802	52.3871	13.1165	Europe	
3829	34.0865	-118.212	North America	
3871	39.4207	26.8072	Asia	
3875	51.5207	-0.142822	Europe	
3908	45.4927	10.8657	Europe	
3922	-8.0436	-34.9394	South America	
3954	-8.0436	-34.9394	South America	
3971	-8.0436	-34.9394	South America	
4148	38.6371	-121.434	North America	
4150	51.5207	-0.142822	Europe	
4176	-23.6828	-46.5955	South America	
4182	39.4207	26.8072	Asia	
4264	-22.916	-43.4473	South America	
4274	34.9797	-80.553	North America	
4315	51.5207	-0.142822	Europe	
4328	21.0487	-87.0318	North America	
4330	48.9875	1.91135	Europe	
4342	-22.916	-43.4473	South America	
4369	42.5654	20.9269	Europe	
4401	45.3914	11.7935	Europe	
4410	51.5207	-0.142822	Europe	
4415	-27.6534	-51.0923	South America	
4431	17.6237	-94.3846	North America	
4451	51.5207	-0.142822	Europe	
4496	34.0209	-118.211	North America	
4508	-1.27293	-48.4598	South America	
4661	25.7418	-80.4479	North America	
4696	42.4547	-83.0285	North America	
4736	-6.36333	-38.8318	South America	
4755	-22.8952	-47.0303	South America	
4821	37.6633	-97.1649	North America	
4877	-23.6828	-46.5955	South America	
4919	52.3834	13.1196	Europe	
5018	37.0114	-76.3436	North America	
5118	5.39716	100.315	Asia	
5156	-15.7763	-47.7966	South America	
5174	52.3834	13.1196	Europe	
5176	3.14845	101.705	Asia	
5200	52.0769	4.3064	Europe	
5261	37.7792	-122.29	North America	
5330	43.0408	-71.4514	North America	
5331	51.5207	-0.142822	Europe	
5340	31.0596	-97.4666	North America	
5384	-22.916	-43.4474	South America	
5389	-22.5461	-48.6355	South America	
5616	51.5207	-0.142822	Europe	
5676	39.4207	26.8072	Asia	
5777	-22.916	-43.4473	South America	
5791	-27.0077	-48.6232	South America	
5919	52.3871	13.1165	Europe	
5959	52.3834	13.1196	Europe	
6063	40.0653	-80.8114	North America	
6079	3.14845	101.705	Asia	
6168	52.3834	13.1196	Europe	
6218	51.5207	-0.142822	Europe	
6238	51.5207	-0.142822	Europe	
6263	51.5207	-0.142822	Europe	
6276	-23.3921	-46.4539	South America	
6374	38.9362	-77.0365	North America	
6405	-29.392	-50.9007	South America	
6483	52.9538	-1.1665	Europe	
6675	35.2752	-79.0693	North America	
6680	51.5207	-0.142822	Europe	
6709	51.5207	-0.142822	Europe	
6719	-1.27293	-48.4598	South America	
6769	51.5207	-0.142822	Europe	
6797	51.5207	-0.142822	Europe	
6812	40.9058	-73.8333	North America	
6824	-6.16896	106.827	Asia	
6835	51.5207	-0.142822	Europe	
6904	51.5207	-0.142822	Europe	
6955	-23.6828	-46.5955	South America	
6974	-6.16896	106.827	Asia	
7003	51.5207	-0.142822	Europe	
7018	49.1994	-122.913	North America	
7038	43.5785	-72.161	North America	
7051	38.82	-77.2225	North America	
7066	5.50936	95.3085	Asia	
7104	-27.6099	-48.4789	South America	
7115	18.6038	73.9335	Asia	
7120	39.4207	26.8072	Asia	
7132	-27.6099	-48.4789	South America	
7147	40.0346	-82.9327	North America	
7172	52.3834	13.1196	Europe	
7186	-23.6828	-46.5955	South America	
7188	-6.16896	106.827	Asia	
7260	49.1994	-122.913	North America	
7265	51.5207	-0.142822	Europe	
7269	51.5207	-0.142822	Europe	
7290	51.5207	-0.142822	Europe	
7349	-23.6828	-46.5955	South America	
7359	1.45567	110.487	Asia	
7381	50.9199	-2.26014	Europe	
7383	-23.6828	-46.5955	South America	
7475	52.3871	13.1165	Europe	
7545	37.1356	-76.5328	North America	
7549	54.7006	25.253	Europe	
7669	-22.5461	-48.6355	South America	
7670	3.71763	98.6583	Asia	
7678	52.3834	13.1196	Europe	
7789	36.3998	-78.1593	North America	
7801	-2.57242	-59.9803	South America	
7805	-36.7374	-71.0353	South America	
7809	35.0685	-78.9245	North America	
7815	52.3871	13.1165	Europe	
7877	-6.39367	106.851	Asia	
7880	-16.6428	-49.2612	South America	
7931	52.3871	13.1165	Europe	
7993	49.1501	-123.187	North America	
8151	1.15632	104.027	Asia	
8196	51.5207	-0.142822	Europe	
8218	51.5207	-0.142822	Europe	
8219	-23.6828	-46.5955	South America	
8265	-6.16896	106.827	Asia	
8364	51.5207	-0.142822	Europe	
8374	-6.28131	106.807	Asia	
8391	-23.5552	-46.972	South America	
8414	51.5207	-0.142822	Europe	
8512	48.8636	2.44899	Europe	
8517	52.3834	13.1196	Europe	
8563	51.5207	-0.142822	Europe	
8590	55.7559	37.5483	Europe	
8637	34.0209	-118.211	North America	
8750	51.5207	-0.142822	Europe	
8774	52.3834	13.1196	Europe	
8833	3.14845	101.705	Asia	
8842	-6.56218	106.771	Asia	
8880	-15.7763	-47.7966	South America	
9084	32.8629	-96.9614	North America	
9103	-6.20648	106.893	Asia	
9124	0.247298	-51.0637	South America	
9163	5.83263	-73.0378	South America	
9235	-6.20713	106.891	Asia	
9236	0.247298	-51.0637	South America	
