Tweet Id 	 Latitude 	 Longitude
10	49.1994	-122.913	
88	-6.93177	107.569	
193	36.7967	-4.68937	
263	49.1994	-122.913	
412	52.3871	13.1165	
437	19.6563	-99.2336	
518	19.6563	-99.2336	
541	19.6563	-99.2336	
550	47.6728	-117.412	
567	-22.1609	-54.8613	
692	53.3549	-6.2474	
698	51.5207	-0.142822	
703	38.0829	-0.951599	
764	2.04811	103.382	
805	-23.6828	-46.5955	
1018	-7.31545	112.747	
1193	19.4325	-99.1534	
1197	40.8456	17.2978	
1408	51.5207	-0.142822	
1413	51.5207	-0.142822	
1444	51.5207	-0.142822	
1477	51.5207	-0.142822	
1518	49.1994	-122.913	
1528	-7.27568	-35.9777	
1565	19.4325	-99.1534	
1658	49.1994	-122.913	
1772	29.4821	-95.0978	
1807	1.39106	103.859	
1842	39.4207	26.8072	
1893	50.652	-4.03372	
2052	-22.6804	-47.0163	
2076	51.5207	-0.142822	
2114	51.5207	-0.142822	
2197	53.5577	-2.04767	
2258	51.5207	-0.142822	
2283	49.1994	-122.913	
2319	40.4779	-3.58303	
2351	51.6214	5.84831	
2441	51.5207	-0.142822	
2515	49.1994	-122.913	
2540	49.1994	-122.913	
2553	42.6866	-8.98969	
2587	18.1357	-66.0446	
2642	49.1994	-122.913	
2645	39.4207	26.8072	
2895	51.4778	-0.865953	
2908	51.5207	-0.142822	
2926	49.1994	-122.913	
2976	51.5207	-0.142822	
3002	39.4207	26.8072	
3004	-26.3075	27.9439	
3076	49.1994	-122.913	
3167	39.4207	26.8072	
3169	38.3575	-0.473441	
3224	51.5207	-0.142822	
3236	51.5207	-0.142822	
3313	48.8515	2.76032	
3439	51.5207	-0.142822	
3489	51.5207	-0.142822	
3559	38.9637	35.2433	
3805	51.4774	-0.887681	
3878	-12.8753	-38.5026	
3944	-6.88923	106.942	
4005	-6.30368	106.665	
4096	48.383	31.1814	
4104	53.4424	-2.23348	
4427	34.3311	-118.504	
4506	47.0732	15.4419	
4526	47.0732	15.4419	
4528	-15.4552	-55.8425	
4540	47.0732	15.4419	
4614	51.9037	-9.03369	
4616	19.6563	-99.2336	
4620	39.4207	26.8072	
4784	-19.9187	-43.9598	
4855	28.9699	-111.498	
4866	43.2519	-2.93316	
5083	51.5207	-0.142822	
5145	49.1994	-122.913	
5169	-23.6828	-46.5955	
5213	-31.5614	-52.3342	
5267	3.14845	101.705	
5322	55.7559	37.5483	
5336	-22.916	-43.4474	
5342	-23.4254	-46.0575	
5362	51.5207	-0.142822	
5378	49.1994	-122.913	
5379	49.1994	-122.913	
5425	-22.916	-43.4474	
5469	49.1994	-122.913	
