Tweet Id 	 Latitude 	 Longitude 	 Continent
115	51.5207	-0.142822	Europe	
240	51.5207	-0.142822	Europe	
280	29.8185	-95.3701	North America	
906	1.52356	110.377	Asia	
997	20.7153	-100.441	North America	
1141	-6.16896	106.827	Asia	
1199	-34.9744	-71.2202	South America	
1247	55.7559	37.5483	Europe	
1436	51.5207	-0.142822	Europe	
1472	48.3367	10.9017	Europe	
1523	32.6905	-114.671	North America	
1739	51.5207	-0.142822	Europe	
1914	-23.621	-46.7853	South America	
1932	56.84	60.6096	Europe	
2383	-15.7763	-47.7966	South America	
2392	51.5207	-0.142822	Europe	
2619	51.5207	-0.142822	Europe	
2805	38.0378	-84.501	North America	
2888	38.9637	35.2433	Asia	
2984	51.5207	-0.142822	Europe	
3044	51.5207	-0.142822	Europe	
3065	51.5207	-0.142822	Europe	
3263	51.5207	-0.142822	Europe	
3518	-28.3733	-53.904	South America	
3561	51.5207	-0.142822	Europe	
3686	51.5207	-0.142822	Europe	
4385	51.5207	-0.142822	Europe	
4501	40.4631	-74.4217	North America	
4510	39.4207	26.8072	Asia	
4596	51.5207	-0.142822	Europe	
4653	51.5207	-0.142822	Europe	
4711	51.5207	-0.142822	Europe	
5008	51.5207	-0.142822	Europe	
5073	45.6933	9.6064	Europe	
5083	51.5207	-0.142822	Europe	
5175	-6.16896	106.827	Asia	
5303	51.5207	-0.142822	Europe	
5344	53.7172	27.9867	Europe	
5515	51.5207	-0.142822	Europe	
5552	51.5207	-0.142822	Europe	
5581	51.5207	-0.142822	Europe	
5755	35.3178	-80.727	North America	
5817	51.5207	-0.142822	Europe	
5834	51.5207	-0.142822	Europe	
5907	-23.2969	-45.9737	South America	
5948	51.5207	-0.142822	Europe	
6206	51.5207	-0.142822	Europe	
6262	51.5207	-0.142822	Europe	
6502	51.5207	-0.142822	Europe	
6521	6.16394	-75.6316	South America	
6673	52.5909	-2.12746	Europe	
6707	51.5207	-0.142822	Europe	
6741	43.6293	-79.2725	North America	
6976	40.7695	-73.9676	North America	
7166	51.5207	-0.142822	Europe	
7348	-6.16896	106.827	Asia	
7376	51.5207	-0.142822	Europe	
7441	51.5207	-0.142822	Europe	
7480	43.0579	-87.9671	North America	
7561	51.5207	-0.142822	Europe	
7562	-2.57242	-59.9803	South America	
7588	51.5207	-0.142822	Europe	
7711	51.5207	-0.142822	Europe	
7743	53.792	-6.24684	Europe	
7804	51.5207	-0.142822	Europe	
7810	51.5207	-0.142822	Europe	
8193	51.5207	-0.142822	Europe	
8455	51.5207	-0.142822	Europe	
8504	51.5207	-0.142822	Europe	
8570	51.5207	-0.142822	Europe	
8641	-6.16896	106.827	Asia	
8692	51.5207	-0.142822	Europe	
8846	51.5207	-0.142822	Europe	
8888	51.5207	-0.142822	Europe	
8945	51.5207	-0.142822	Europe	
9081	59.9341	30.3287	Europe	
9112	35.0125	134.996	Asia	
9144	-6.16896	106.827	Asia	
9158	51.5207	-0.142822	Europe	
9413	51.5207	-0.142822	Europe	
9671	-36.7374	-71.0353	South America	
9725	51.5207	-0.142822	Europe	
9754	38.9536	-94.7013	North America	
9884	40.4631	-74.4217	North America	
9912	48.6772	2.50266	Europe	
9929	49.1994	-122.913	North America	
10619	38.8343	-77.2362	North America	
10642	51.5207	-0.142822	Europe	
10654	50.8716	-1.57635	Europe	
10672	59.3942	18.6174	Europe	
10725	52.4332	-1.05322	Europe	
10785	51.5207	-0.142822	Europe	
10799	51.5207	-0.142822	Europe	
10870	-29.9153	-51.1771	South America	
11165	51.5207	-0.142822	Europe	
11366	45.4613	9.15934	Europe	
11385	51.5207	-0.142822	Europe	
11459	51.5207	-0.142822	Europe	
11673	51.5207	-0.142822	Europe	
11795	39.9559	-75.2414	North America	
12497	33.9641	-118.214	North America	
12618	51.5207	-0.142822	Europe	
12679	51.5207	-0.142822	Europe	
13553	50.8182	-1.09673	Europe	
13648	51.5207	-0.142822	Europe	
13671	51.5207	-0.142822	Europe	
13794	20.5227	-100.772	North America	
13871	51.5207	-0.142822	Europe	
13953	51.5207	-0.142822	Europe	
14159	51.5207	-0.142822	Europe	
14180	51.5207	-0.142822	Europe	
14218	51.5207	-0.142822	Europe	
14242	51.5207	-0.142822	Europe	
14404	51.5207	-0.142822	Europe	
14439	51.5207	-0.142822	Europe	
14499	43.6293	-79.2725	North America	
14875	51.5207	-0.142822	Europe	
14893	51.5207	-0.142822	Europe	
14929	39.6531	-104.81	North America	
15054	51.5207	-0.142822	Europe	
15121	51.5207	-0.142822	Europe	
15162	38.9637	35.2433	Asia	
15221	56.8415	60.6313	Europe	
15276	3.05122	101.559	Asia	
15361	51.5207	-0.142822	Europe	
15459	51.5207	-0.142822	Europe	
15551	61.7464	50.8191	Europe	
15831	51.5207	-0.142822	Europe	
15890	51.5207	-0.142822	Europe	
15924	51.5207	-0.142822	Europe	
15959	51.5207	-0.142822	Europe	
16109	51.5207	-0.142822	Europe	
16197	51.5207	-0.142822	Europe	
16217	51.5207	-0.142822	Europe	
16360	51.5207	-0.142822	Europe	
16407	51.5207	-0.142822	Europe	
16533	-1.27293	-48.4598	South America	
16795	51.5207	-0.142822	Europe	
16824	-23.6828	-46.5955	South America	
16859	51.5207	-0.142822	Europe	
16934	51.5207	-0.142822	Europe	
16941	51.5207	-0.142822	Europe	
17085	51.5207	-0.142822	Europe	
17098	51.5207	-0.142822	Europe	
17114	54.9389	-7.20699	Europe	
17176	3.14845	101.705	Asia	
17354	51.5207	-0.142822	Europe	
17400	-2.88766	-78.989	South America	
17547	51.4789	-0.865943	Europe	
17579	51.6661	-0.0841877	Europe	
17700	51.5207	-0.142822	Europe	
17851	50.4268	9.20796	Europe	
18007	51.5207	-0.142822	Europe	
18164	25.7558	-80.2957	North America	
18336	51.5207	-0.142822	Europe	
18541	-19.9187	-43.9598	South America	
18595	18.4985	73.8187	Asia	
18614	51.5207	-0.142822	Europe	
18701	49.1994	-122.913	North America	
18736	51.5207	-0.142822	Europe	
18740	51.5207	-0.142822	Europe	
18944	-23.5334	-46.7845	South America	
18970	51.5207	-0.142822	Europe	
19009	16.1794	75.6645	Asia	
19234	51.5207	-0.142822	Europe	
19348	51.5207	-0.142822	Europe	
19629	51.5207	-0.142822	Europe	
19709	51.5207	-0.142822	Europe	
19847	19.3357	-99.1243	North America	
19952	54.6303	-5.94383	Europe	
20025	51.5207	-0.142822	Europe	
20096	51.5207	-0.142822	Europe	
20130	51.5207	-0.142822	Europe	
20157	51.5207	-0.142822	Europe	
20174	51.5207	-0.142822	Europe	
20470	55.6713	37.5325	Europe	
20573	51.5207	-0.142822	Europe	
