Tweet Id 	 Latitude 	 Longitude 	 Continent
109	3.14845	101.705	Asia	
116	-8.42832	115.307	Asia	
221	3.03296	101.654	Asia	
275	34.7156	-82.2814	North America	
329	-30.0997	-51.1593	South America	
353	34.0409	-117.463	North America	
357	40.9543	-74.2188	North America	
359	41.7211	-81.2039	North America	
372	-30.0997	-51.1593	South America	
434	52.3871	13.1165	Europe	
478	41.7656	-72.6803	North America	
532	-2.57242	-59.9803	South America	
591	-2.57242	-59.9803	South America	
865	38.2753	24.508	Europe	
879	38.2753	24.508	Europe	
901	29.3294	47.9677	Asia	
923	38.2753	24.508	Europe	
995	-6.71589	108.549	Asia	
998	-6.71589	108.549	Asia	
1030	-6.71589	108.549	Asia	
1039	38.2753	24.508	Europe	
1051	38.2753	24.508	Europe	
1072	41.3941	2.1393	Europe	
1075	38.2753	24.508	Europe	
1080	51.5207	-0.142822	Europe	
1085	41.3941	2.1393	Europe	
1134	33.0426	-96.9552	North America	
1143	38.2753	24.508	Europe	
1146	38.2753	24.508	Europe	
1172	38.2753	24.508	Europe	
1224	-6.71589	108.549	Asia	
1226	-14.2393	-53.1848	South America	
1233	48.383	31.1814	Europe	
1251	51.5207	-0.142822	Europe	
1302	41.3941	2.1393	Europe	
1401	41.3941	2.1393	Europe	
1404	-2.57242	-59.9803	South America	
1422	34.9939	-81.2417	North America	
1544	41.3941	2.1393	Europe	
1636	41.3941	2.1393	Europe	
1702	38.9103	1.42366	Europe	
1707	3.15041	101.63	Asia	
1981	0.247298	-51.0637	South America	
2018	34.057	-117.319	North America	
2021	53.1826	5.81839	Europe	
2025	55.9183	-3.26502	Europe	
2186	5.54366	95.3432	Asia	
2194	51.5207	-0.142822	Europe	
2207	10.4923	-66.857	South America	
2266	47.4825	19.0715	Europe	
2267	55.7212	37.6037	Europe	
2366	3.14845	101.705	Asia	
2401	51.5207	-0.142822	Europe	
2421	-6.19885	106.846	Asia	
2481	-6.28314	106.841	Asia	
2498	-19.8995	-43.9024	South America	
2511	-23.6828	-46.5955	South America	
2594	-23.4478	-46.6121	South America	
2606	51.5207	-0.142822	Europe	
2611	-6.90558	107.626	Asia	
2673	51.5207	-0.142822	Europe	
2708	51.5207	-0.142822	Europe	
2738	-23.6828	-46.5955	South America	
2775	-6.90558	107.626	Asia	
2786	48.383	31.1814	Europe	
2823	51.5207	-0.142822	Europe	
2845	-23.4454	-46.6125	South America	
2872	52.6003	39.6002	Europe	
2919	-23.6828	-46.5955	South America	
2921	51.5207	-0.142822	Europe	
2975	52.5094	4.64422	Europe	
3031	51.5207	-0.142822	Europe	
3146	51.5207	-0.142822	Europe	
3266	-6.16896	106.827	Asia	
