Tweet Id 	 Latitude 	 Longitude
2	36.0349	-80.1999	
8	33.5156	-112.18	
16	34.012	-118.256	
18	51.5207	-0.142822	
23	42.3144	-70.9703	
36	40.8747	-80.2825	
41	42.4702	14.205	
42	8.43277	-82.4186	
49	43.1462	-77.5765	
74	29.4365	-81.5187	
94	2.71563	101.953	
111	40.3107	-86.1278	
123	48.6772	2.50266	
124	37.2692	-119.307	
125	-22.916	-43.4473	
126	-7.27568	-35.9777	
133	38.9262	-76.8878	
139	38.0034	-79.4209	
141	-2.57242	-59.9803	
142	36.591	-4.53068	
154	52.3871	13.1165	
156	32.6782	-83.1783	
158	33.9592	-84.1427	
170	-13.997	-42.4764	
171	-22.916	-43.4473	
178	37.1248	127.029	
182	-23.6828	-46.5955	
184	38.0034	-79.4209	
207	39.2223	-84.5237	
208	38.9637	35.2433	
210	48.7537	2.37253	
233	-27.6534	-51.0923	
237	-30.0997	-51.1593	
238	0.46142	9.41693	
245	38.1892	-85.8049	
252	52.3834	13.1196	
256	40.6974	-73.9797	
261	-23.6828	-46.5955	
262	26.1404	-80.1456	
273	36.1226	-89.2616	
286	-6.90558	107.626	
288	41.4675	-81.7015	
290	-36.7374	-71.0353	
302	-30.377	-55.1591	
303	39.1574	-84.5023	
306	41.3948	-73.4721	
309	39.969	-75.3541	
314	40.9105	-74.1744	
315	34.0209	-118.211	
320	34.0209	-118.211	
322	-14.2393	-53.1848	
324	51.5207	-0.142822	
328	39.969	-75.3541	
330	39.7393	-89.2665	
345	39.169	-77.1888	
347	30.5251	-86.4738	
349	36.1139	-115.197	
350	44.9008	-89.5695	
366	36.9795	-86.4589	
367	48.804	2.4666	
371	33.728	-82.7647	
383	52.3834	13.1196	
400	33.4626	-86.9013	
406	45.4739	-122.888	
414	30.0854	-94.7881	
419	48.7453	2.52516	
424	37.6846	-122.467	
427	48.7453	2.52516	
439	50.7479	4.30623	
448	40.788	-77.8526	
456	33.7677	-84.4181	
465	42.4753	-70.9565	
472	28.5763	-81.4766	
474	43.1862	-77.6164	
477	42.2547	-83.2637	
487	30.484	-90.5185	
489	41.7656	-72.6803	
492	39.1363	-84.5404	
499	36.3208	-87.7671	
504	40.7259	-73.8701	
519	-23.6828	-46.5955	
520	48.9722	2.3778	
522	35.1553	-90.173	
529	30.4223	-9.58203	
530	38.7817	-90.712	
544	34.0209	-118.211	
545	39.3853	-76.7042	
553	42.7087	-84.5209	
555	33.9212	-117.192	
560	39.7798	-86.1329	
563	51.0797	5.91619	
564	34.0511	-117.879	
572	42.461	-83.0328	
573	34.9256	-90.0158	
576	53.1425	6.27147	
583	25.7553	-80.2131	
584	37.6529	-120.991	
588	34.7974	-87.6933	
632	43.6293	-79.2725	
633	48.8588	2.34701	
646	19.4325	-99.1534	
649	47.5115	-122.179	
650	42.4183	-83.2952	
654	40.0312	-82.961	
656	33.6167	-112.341	
661	40.7809	-73.9772	
672	38.967	-76.8477	
677	13.7049	-89.2448	
680	33.6597	-117.982	
682	33.9079	-118.175	
693	40.0309	-74.8612	
699	40.7197	-74.2127	
700	34.1306	-78.0933	
706	35.1705	-79.861	
715	40.2234	-75.1684	
717	33.6785	-91.8534	
725	52.3445	6.65941	
726	40.7903	-74.0209	
727	35.0715	-78.9175	
728	42.3847	-83.2183	
730	34.0396	-118.313	
739	41.9254	-87.6529	
742	41.7581	2.06928	
743	52.3834	13.1196	
747	30.0095	-90.2508	
750	33.5312	-86.8501	
772	30.074	-90.5415	
773	55.7559	37.5483	
777	-20.8756	-54.2616	
778	53.0324	5.68487	
786	0.39313	9.44583	
802	33.5325	-112.097	
816	41.2919	-96.0407	
818	19.2857	-81.3611	
827	37.2692	-119.307	
834	34.6838	-82.8164	
835	40.7809	-73.9772	
836	33.5707	-84.2926	
859	41.2919	-96.0407	
873	42.1465	-71.0084	
875	42.1465	-71.0084	
878	41.2919	-96.0407	
880	39.2846	-76.6205	
