Tweet Id 	 Latitude 	 Longitude 	 Continent
23	42.3144	-70.9703	North America	
214	52.3871	13.1165	Europe	
324	51.5207	-0.142822	Europe	
475	52.3871	13.1165	Europe	
481	52.3834	13.1196	Europe	
559	51.5207	-0.142822	Europe	
616	51.5207	-0.142822	Europe	
689	40.5626	-112.296	North America	
765	0.247298	-51.0637	South America	
797	52.3871	13.1165	Europe	
918	-12.8753	-38.5026	South America	
922	51.5207	-0.142822	Europe	
1219	-23.6828	-46.5955	South America	
1235	48.7646	2.31052	Europe	
1244	56.1308	47.2532	Europe	
1353	52.3871	13.1165	Europe	
1360	51.5207	-0.142822	Europe	
1377	-22.4209	-43.917	South America	
1385	18.022	-92.9165	North America	
1421	56.8345	60.6169	Europe	
1468	-27.3037	-49.0462	South America	
1488	39.4207	26.8072	Asia	
1581	52.3834	13.1196	Europe	
1611	50.2133	19.007	Europe	
1661	52.3834	13.1196	Europe	
1749	3.03296	101.654	Asia	
1833	40.6962	-74.2672	North America	
1843	39.6226	-75.7677	North America	
1947	32.8246	-117.109	North America	
1948	52.3834	13.1196	Europe	
1957	52.3871	13.1165	Europe	
2061	51.5207	-0.142822	Europe	
2062	49.1994	-122.913	North America	
2086	52.3834	13.1196	Europe	
2155	51.5207	-0.142822	Europe	
2252	-14.2393	-53.1848	South America	
2263	-21.3328	-42.6531	South America	
2331	45.3333	-73.6186	North America	
2335	41.4935	-90.4398	North America	
2408	52.3871	13.1165	Europe	
2519	-5.7915	-35.5497	South America	
2524	-5.7915	-35.5497	South America	
2696	39.9979	-83.1499	North America	
2724	50.8774	5.96095	Europe	
2761	52.3834	13.1196	Europe	
2772	33.1135	-96.672	North America	
2828	52.3834	13.1196	Europe	
2885	51.5207	-0.142822	Europe	
2942	52.3834	13.1196	Europe	
2957	40.7809	-73.9772	North America	
2972	-23.6828	-46.5955	South America	
2996	52.3834	13.1196	Europe	
2998	52.3834	13.1196	Europe	
3087	52.3834	13.1196	Europe	
3154	48.8447	2.82593	Europe	
3196	-23.6828	-46.5955	South America	
3280	30.033	-89.8826	North America	
3416	19.6511	-155.861	North America	
3420	52.3871	13.1165	Europe	
3476	28.0057	-82.3014	North America	
3519	50.0489	14.3411	Europe	
3543	52.3834	13.1196	Europe	
3648	-7.46064	-35.1597	South America	
3657	-34.1218	18.4889	Africa	
3671	-23.9506	-46.2257	South America	
3744	51.5207	-0.142822	Europe	
3769	51.5207	-0.142822	Europe	
3828	-23.9506	-46.2257	South America	
3932	41.9041	-8.86167	Europe	
3965	37.2692	-119.307	North America	
4088	52.3834	13.1196	Europe	
4115	51.5207	-0.142822	Europe	
4121	-23.9555	-46.5075	South America	
4144	39.0149	-76.9853	North America	
4255	-6.70257	-35.1591	South America	
4322	16.2586	-92.301	North America	
4324	52.3834	13.1196	Europe	
4433	3.04726	101.578	Asia	
4513	56.537	21.0366	Europe	
4601	32.3329	-95.2843	North America	
4603	-23.3921	-46.4538	South America	
4667	52.3871	13.1165	Europe	
4689	52.3871	13.1165	Europe	
4695	-22.916	-43.4474	South America	
4795	52.3871	13.1165	Europe	
4834	52.3834	13.1196	Europe	
4843	-25.4951	-49.2884	South America	
4876	52.3834	13.1196	Europe	
4907	51.5207	-0.142822	Europe	
4940	52.3834	13.1196	Europe	
4943	52.3834	13.1196	Europe	
5126	51.5207	-0.142822	Europe	
5193	52.3834	13.1196	Europe	
5258	36.086	-79.8906	North America	
5290	-1.10323	36.6312	Africa	
5435	-23.6828	-46.5955	South America	
5542	-23.6828	-46.5955	South America	
