Tweet Id 	 Latitude 	 Longitude 	 Continent
2860	51.6893	5.12375	Europe	
4409	-34.648	-58.6194	South America	
4912	3.14853	101.705	Asia	
5586	52.3871	13.1165	Europe	
6095	52.3834	13.1196	Europe	
6977	52.3871	13.1165	Europe	
7552	32.8246	-117.109	North America	
8130	-7.2771	112.717	Asia	
9829	51.5207	-0.142822	Europe	
9867	3.14845	101.705	Asia	
11511	52.3834	13.1196	Europe	
11612	52.3871	13.1165	Europe	
12359	51.5163	3.83821	Europe	
13754	52.3834	13.1196	Europe	
14488	40.9358	29.1259	Asia	
16014	52.3834	13.1196	Europe	
18104	53.4424	-2.23348	Europe	
20600	52.0263	4.92474	Europe	
22954	52.3834	13.1196	Europe	
24526	40.6497	-73.9547	North America	
25421	52.3834	13.1196	Europe	
26372	51.585	5.06361	Europe	
26628	-23.6828	-46.5955	South America	
26977	50.6031	7.21263	Europe	
26997	52.3871	13.1165	Europe	
27125	55.795	49.0696	Europe	
27822	43.2699	-2.93232	Europe	
29609	51.5207	-0.142822	Europe	
29935	52.3871	13.1165	Europe	
30045	33.2357	126.306	Asia	
30944	-7.34404	112.722	Asia	
31305	-6.18622	106.637	Asia	
33259	52.3834	13.1196	Europe	
33452	40.6879	-73.8083	North America	
33576	52.3871	13.1165	Europe	
33728	39.4672	-0.38927	Europe	
34385	-9.71929	-35.9061	South America	
34758	-36.7374	-71.0353	South America	
38378	40.5987	-80.2533	North America	
39415	51.6035	4.31716	Europe	
40970	52.3834	13.1196	Europe	
42327	35.5771	-5.34233	Africa	
43270	52.3834	13.1196	Europe	
43441	-12.8753	-38.5026	South America	
45479	-23.6828	-46.5955	South America	
45728	51.5207	-0.142822	Europe	
45908	-7.2771	112.717	Asia	
48228	44.2151	20.9238	Europe	
48571	46.8091	7.17737	Europe	
49369	52.3871	13.1165	Europe	
50935	2.04811	103.382	Asia	
51445	52.3834	13.1196	Europe	
51680	52.3834	13.1196	Europe	
53289	55.7559	37.5483	Europe	
54546	19.3719	-99.1687	North America	
55049	52.3871	13.1165	Europe	
55194	39.7643	-104.855	North America	
56842	-6.16913	106.854	Asia	
59426	49.1994	-122.913	North America	
60416	51.5207	-0.142822	Europe	
60551	52.3834	13.1196	Europe	
60671	51.5207	-0.142822	Europe	
