Tweet Id 	 Latitude 	 Longitude 	 Continent
3	51.5207	-0.142822	Europe	
15	51.5207	-0.142822	Europe	
27	51.5207	-0.142822	Europe	
59	-23.6828	-46.5955	South America	
60	51.5207	-0.142822	Europe	
66	52.3871	13.1165	Europe	
84	-25.4951	-49.2884	South America	
93	51.5207	-0.142822	Europe	
98	52.3871	13.1165	Europe	
108	51.9748	-1.28499	Europe	
134	51.5207	-0.142822	Europe	
146	51.5207	-0.142822	Europe	
148	49.0714	2.10159	Europe	
151	39.4207	26.8072	Asia	
152	26.8418	-80.1632	North America	
157	52.3871	13.1165	Europe	
159	51.5207	-0.142822	Europe	
181	51.5207	-0.142822	Europe	
189	49.1994	-122.913	North America	
217	-6.9958	110.428	Asia	
218	52.3834	13.1196	Europe	
229	-23.9506	-46.2257	South America	
231	52.3871	13.1165	Europe	
234	-21.9643	-51.3537	South America	
246	51.5207	-0.142822	Europe	
248	-6.29939	106.722	Asia	
258	51.5207	-0.142822	Europe	
264	-28.946	-49.4603	South America	
300	51.5207	-0.142822	Europe	
301	51.5207	-0.142822	Europe	
312	18.1163	-66.1405	North America	
321	52.3834	13.1196	Europe	
335	-36.7374	-71.0353	South America	
341	52.3871	13.1165	Europe	
355	-15.7763	-47.7966	South America	
365	-14.5329	-49.1422	South America	
373	34.0209	-118.211	North America	
381	49.1994	-122.913	North America	
393	49.1994	-122.913	North America	
416	38.2753	24.508	Europe	
443	51.5207	-0.142822	Europe	
468	49.1994	-122.913	North America	
481	52.3834	13.1196	Europe	
491	52.3871	13.1165	Europe	
495	51.5207	-0.142822	Europe	
497	36.6448	-119.794	North America	
503	49.1994	-122.913	North America	
514	-22.7241	-47.2901	South America	
523	39.4207	26.8072	Asia	
534	51.5207	-0.142822	Europe	
539	42.1179	-72.5577	North America	
542	51.5207	-0.142822	Europe	
570	52.3834	13.1196	Europe	
574	-20.8756	-54.2616	South America	
582	25.7824	-80.2295	North America	
592	51.5207	-0.142822	Europe	
596	51.5207	-0.142822	Europe	
612	-6.30667	107.307	Asia	
625	37.4834	-122.229	North America	
626	37.4834	-122.229	North America	
