Tweet Id 	 Latitude 	 Longitude 	 Continent
6	41.4433	-81.4733	North America	
29	37.981	-121.797	North America	
33	48.9996	2.42174	Europe	
50	40.0025	-75.118	North America	
71	42.4512	-83.1706	North America	
84	-25.4951	-49.2884	South America	
112	35.0764	-92.4576	North America	
136	28.0411	-82.3782	North America	
143	30.4094	-97.7521	North America	
144	45.2482	-75.8001	North America	
156	32.6782	-83.1783	North America	
175	51.5207	-0.142822	Europe	
201	39.4207	26.8072	Asia	
202	52.3834	13.1196	Europe	
207	39.2223	-84.5237	North America	
211	52.3834	13.1196	Europe	
224	42.4964	-82.9105	North America	
226	39.1605	-75.5583	North America	
231	52.3871	13.1165	Europe	
234	-21.9643	-51.3537	South America	
264	-28.946	-49.4603	South America	
276	40.7809	-73.9772	North America	
288	41.4675	-81.7015	North America	
300	51.5207	-0.142822	Europe	
310	31.5142	-87.8943	North America	
312	18.1163	-66.1405	North America	
315	34.0209	-118.211	North America	
320	34.0209	-118.211	North America	
328	39.969	-75.3541	North America	
334	41.8257	-71.3937	North America	
335	-36.7374	-71.0353	South America	
363	39.969	-75.3541	North America	
365	-14.5329	-49.1422	South America	
368	14.5572	121.064	Asia	
395	52.3834	13.1196	Europe	
398	31.9125	-106.425	North America	
431	31.9125	-106.425	North America	
436	32.8942	-96.6548	North America	
444	52.3834	13.1196	Europe	
447	41.7208	-87.7018	North America	
454	39.1696	-76.604	North America	
460	30.9373	-91.4009	North America	
463	42.3527	-83.0992	North America	
464	49.1994	-122.913	North America	
474	43.1862	-77.6164	North America	
481	52.3834	13.1196	Europe	
485	51.5207	-0.142822	Europe	
494	0	0	NULL	
497	36.6448	-119.794	North America	
514	-22.7241	-47.2901	South America	
521	32.6782	-83.1783	North America	
527	52.3871	13.1165	Europe	
533	52.3871	13.1165	Europe	
537	41.7208	-87.7018	North America	
539	42.1179	-72.5577	North America	
558	52.3834	13.1196	Europe	
561	34.2174	-79.2582	North America	
562	30.8338	-83.3117	North America	
574	-20.8756	-54.2616	South America	
587	38.5615	-121.461	North America	
592	51.5207	-0.142822	Europe	
604	51.3985	-3.33865	Europe	
605	52.3871	13.1165	Europe	
612	-6.30667	107.307	Asia	
619	39.4207	26.8072	Asia	
628	27.9944	-82.4681	North America	
636	41.7208	-87.7018	North America	
638	41.6943	-87.7228	North America	
639	51.5207	-0.142822	Europe	
641	55.9626	37.659	Europe	
644	51.5207	-0.142822	Europe	
658	37.5393	-122.282	North America	
659	51.5207	-0.142822	Europe	
661	40.7809	-73.9772	North America	
662	51.5207	-0.142822	Europe	
666	32.6782	-83.1783	North America	
667	37.0606	-76.4426	North America	
668	51.5207	-0.142822	Europe	
669	32.5762	-86.6807	North America	
678	32.5762	-86.6807	North America	
684	48.6772	2.50266	Europe	
686	32.5762	-86.6807	North America	
691	34.1931	-117.424	North America	
693	40.0309	-74.8612	North America	
705	40.0315	-82.9612	North America	
710	33.4595	-88.831	North America	
712	52.3871	13.1165	Europe	
721	32.5762	-86.6807	North America	
723	38.6054	-76.926	North America	
738	51.5207	-0.142822	Europe	
741	31.1689	-100.077	North America	
746	40.1949	-85.3876	North America	
755	51.5207	-0.142822	Europe	
762	38.6054	-76.926	North America	
789	30.0836	-95.9871	North America	
795	32.5762	-86.6807	North America	
807	40.5999	-74.4293	North America	
808	32.8207	-96.7315	North America	
812	39.2846	-76.6205	North America	
820	-23.6828	-46.5955	South America	
825	52.3834	13.1196	Europe	
826	52.3834	13.1196	Europe	
839	40.073	-74.7243	North America	
847	48.6772	2.50266	Europe	
856	50.9138	-1.40057	Europe	
858	39.4207	26.8072	Asia	
863	33.4312	-82.0648	North America	
883	52.3871	13.1165	Europe	
884	-5.79931	-35.2216	South America	
885	35.2035	-80.836	North America	
890	33.4312	-82.0648	North America	
891	-14.5043	-56.8506	South America	
904	48.8588	2.34701	Europe	
905	51.5207	-0.142822	Europe	
911	42.3958	-71.1038	North America	
913	2.04811	103.382	Asia	
924	41.2177	-80.4971	North America	
930	40.7707	-73.1936	North America	
931	51.9219	5.77231	Europe	
941	39.6906	-86.1874	North America	
949	4.80132	101.057	Asia	
955	32.484	-93.6999	North America	
959	-7.76515	110.397	Asia	
961	-15.7763	-47.7966	South America	
974	42.6991	-71.1587	North America	
978	51.5207	-0.142822	Europe	
980	32.3085	-106.731	North America	
983	41.4429	-81.537	North America	
1004	-7.76338	110.374	Asia	
1006	34.1744	-79.7849	North America	
1010	34.1931	-117.424	North America	
1026	36.7184	-76.559	North America	
1031	38.8936	-77.0146	North America	
1035	-5.14383	119.426	Asia	
1037	42.6991	-71.1588	North America	
1038	3.14845	101.705	Asia	
1043	51.5207	-0.142822	Europe	
1044	41.4952	-81.5365	North America	
1053	34.1662	-106.026	North America	
1055	-6.97268	106.792	Asia	
1061	51.5207	-0.142822	Europe	
1073	49.1994	-122.913	North America	
1081	52.3834	13.1196	Europe	
1084	-5.12661	119.421	Asia	
1086	38.2573	-122.023	North America	
1088	40.6954	-73.4283	North America	
1089	33.855	-84.5158	North America	
1099	37.929	-121.74	North America	
1105	48.4561	135.099	Europe	
1110	34.9091	-82.2144	North America	
1117	51.2356	4.42397	Europe	
1118	34.1662	-106.026	North America	
1122	53.1958	45.0387	Europe	
1147	34.9091	-82.2144	North America	
1151	52.3834	13.1196	Europe	
1153	51.5207	-0.142822	Europe	
1155	33.6376	-84.0376	North America	
1156	35.1466	-90.2063	North America	
