Tweet Id 	 Latitude 	 Longitude 	 Continent
689	40.5626	-112.296	North America	
829	-6.98072	110.405	Asia	
1845	49.1994	-122.913	North America	
1900	49.1994	-122.913	North America	
2565	0	0	NULL	
2600	-23.8308	-46.8122	South America	
2938	51.5207	-0.142822	Europe	
2957	40.7809	-73.9772	North America	
3147	51.5207	-0.142822	Europe	
3970	51.5207	-0.142822	Europe	
4196	51.5207	-0.142822	Europe	
5511	52.0526	4.30879	Europe	
7090	51.5207	-0.142822	Europe	
9030	0.508334	101.419	Asia	
10384	52.0346	4.33145	Europe	
12138	53.3934	-2.91859	Europe	
12172	39.4207	26.8072	Asia	
13430	51.5207	-0.142822	Europe	
13741	1.00185	116.394	Asia	
13854	37.0271	-76.3834	North America	
13870	26.1801	-80.1565	North America	
14036	42.4651	-83.5272	North America	
14317	39.1843	-77.2337	North America	
15275	0	0	NULL	
15423	-6.28588	107.363	Asia	
15686	51.5207	-0.142822	Europe	
15826	-2.02356	105.24	Asia	
15843	-2.02356	105.24	Asia	
17034	51.5207	-0.142822	Europe	
17347	-7.54907	110.787	Asia	
17625	51.5207	-0.142822	Europe	
17979	-6.28588	107.363	Asia	
18192	-6.9958	110.428	Asia	
18276	-29.9006	30.9726	Africa	
21244	-5.14549	119.402	Asia	
21502	51.9624	6.25111	Europe	
21716	0	0	NULL	
21780	51.5207	-0.142822	Europe	
22643	56.6583	12.7628	Europe	
24176	-36.7374	-71.0353	South America	
26044	29.8907	-93.9284	North America	
27444	-6.29024	106.781	Asia	
27903	46.1956	6.13926	Europe	
28258	-7.9725	112.629	Asia	
29304	3.18752	101.533	Asia	
29350	45.0221	-93.2707	North America	
29743	51.5207	-0.142822	Europe	
29767	48.9458	2.49126	Europe	
30708	-6.21871	106.604	Asia	
31678	49.1994	-122.913	North America	
32111	41.3298	-72.9359	North America	
32343	52.5055	4.86152	Europe	
33451	51.5207	-0.142822	Europe	
33553	51.0535	3.73038	Europe	
33709	1.45643	124.816	Asia	
33852	-6.90558	107.626	Asia	
34083	51.5207	-0.142822	Europe	
34150	39.4207	26.8072	Asia	
34809	49.1994	-122.913	North America	
35034	-6.90558	107.626	Asia	
35126	-6.90558	107.626	Asia	
35418	-7.9725	112.629	Asia	
35468	51.5207	-0.142822	Europe	
35659	37.7587	-122.235	North America	
36024	5.32964	103.141	Asia	
36466	-6.16896	106.827	Asia	
36598	48.8121	2.50969	Europe	
37371	51.5207	-0.142822	Europe	
37599	-5.17482	119.46	Asia	
37868	-6.16896	106.827	Asia	
38187	-6.23597	106.988	Asia	
39409	38.2753	24.508	Europe	
39727	51.5207	-0.142822	Europe	
39922	44.4834	11.3747	Europe	
41182	-25.4951	-49.2884	South America	
42718	3.14845	101.705	Asia	
43625	39.4207	26.8072	Asia	
44073	19.5442	-99.1651	North America	
45261	49.1994	-122.913	North America	
46267	41.0428	28.8948	Asia	
46324	54.6851	-1.79769	Europe	
46380	54.6851	-1.79769	Europe	
47880	40.651	-73.8712	North America	
48214	-6.4191	106.829	Asia	
48651	-7.97656	112.628	Asia	
51405	-0.869174	100.434	Asia	
51435	-0.869174	100.434	Asia	
51820	38.8936	-77.0146	North America	
52014	51.5207	-0.142822	Europe	
53181	49.1994	-122.913	North America	
54682	41.3156	69.2831	Asia	
56868	-8.63314	115.245	Asia	
59526	49.3294	8.43412	Europe	
59756	52.2317	5.16053	Europe	
60340	51.5207	-0.142822	Europe	
60731	51.5207	-0.142822	Europe	
61633	-6.17812	106.608	Asia	
63311	48.9338	2.34599	Europe	
63390	39.4207	26.8072	Asia	
63401	51.5207	-0.142822	Europe	
64397	51.5207	-0.142822	Europe	
65368	48.6563	2.35137	Europe	
65661	41.3747	-72.1604	North America	
65943	48.383	31.1814	Europe	
66895	51.5207	-0.142822	Europe	
67233	55.7559	37.5483	Europe	
68404	35.4854	-82.4954	North America	
68761	36.1705	-115.064	North America	
