Tweet Id 	 Latitude 	 Longitude 	 Continent
46	36.8171	-76.1031	North America	
317	38.9637	35.2433	Asia	
467	25.8931	-80.1657	North America	
653	52.3871	13.1165	Europe	
783	-12.8753	-38.5026	South America	
811	-23.6828	-46.5955	South America	
1234	51.5207	-0.142822	Europe	
1583	51.4546	46.1045	Europe	
1821	52.3834	13.1196	Europe	
1899	18.467	-66.0905	North America	
2259	34.0209	-118.211	North America	
2312	52.3834	13.1196	Europe	
2447	42.6217	-87.8793	North America	
2849	52.3834	13.1196	Europe	
2884	51.5207	-0.142822	Europe	
3045	52.3834	13.1196	Europe	
3117	51.7495	-1.24103	Europe	
3145	51.5207	-0.142822	Europe	
3395	39.4207	26.8072	Asia	
3816	51.5207	-0.142822	Europe	
4171	19.2708	-99.6499	North America	
4174	32.7237	-97.5	North America	
4515	52.3834	13.1196	Europe	
4628	43.054	-87.9779	North America	
5052	0.0188369	-51.0824	South America	
5133	-21.2133	-47.818	South America	
5276	13.6917	100.754	Asia	
5286	51.5207	-0.142822	Europe	
5392	40.2583	-76.877	North America	
5454	39.4207	26.8072	Asia	
5810	51.5207	-0.142822	Europe	
6056	26.274	-80.1272	North America	
6152	48.383	31.1814	Europe	
6302	51.5207	-0.142822	Europe	
6728	52.3834	13.1196	Europe	
6755	39.4207	26.8072	Asia	
6858	-36.7374	-71.0353	South America	
6920	-36.7374	-71.0353	South America	
7202	-6.20211	106.837	Asia	
7227	42.7466	-75.77	North America	
7244	-6.20191	106.837	Asia	
7263	19.2708	-99.6499	North America	
7478	-23.6828	-46.5955	South America	
7681	52.3834	13.1196	Europe	
7685	32.7913	-117.158	North America	
7920	51.5207	-0.142822	Europe	
7959	59.016	16.194	Europe	
8097	51.5207	-0.142822	Europe	
8123	18.1163	-66.1405	North America	
8342	51.5207	-0.142822	Europe	
8378	52.3834	13.1196	Europe	
8645	52.3834	13.1196	Europe	
8708	30.4171	-84.2786	North America	
8943	-6.16896	106.827	Asia	
9035	18.1163	-66.1405	North America	
9066	56.9715	24.1287	Europe	
9106	52.3834	13.1196	Europe	
9250	39.4207	26.8072	Asia	
9552	-6.90558	107.626	Asia	
9916	0.0188567	-51.0825	South America	
10114	18.1163	-66.1405	North America	
10147	37.2336	-80.4338	North America	
10223	51.5207	-0.142822	Europe	
10377	39.4207	26.8072	Asia	
10511	51.5207	-0.142822	Europe	
10570	-6.20209	106.838	Asia	
10608	-6.20226	106.837	Asia	
10721	51.5207	-0.142822	Europe	
10826	51.5207	-0.142822	Europe	
10902	52.3834	13.1196	Europe	
11509	34.0209	-118.211	North America	
11785	48.383	31.1814	Europe	
11913	43.7159	-79.3283	North America	
11928	51.5207	-0.142822	Europe	
12177	59.0838	17.5272	Europe	
12198	59.0838	17.5272	Europe	
12376	59.0838	17.5272	Europe	
12843	54.6851	-1.79769	Europe	
12924	59.9342	30.3287	Europe	
13146	39.4207	26.8072	Asia	
13206	42.2198	-83.4838	North America	
13497	53.3933	-2.91859	Europe	
13505	51.5207	-0.142822	Europe	
13636	2.9838	101.77	Asia	
14054	47.7162	-1.98116	Europe	
14428	51.5207	-0.142822	Europe	
14445	34.0209	-118.211	North America	
14484	-33.8935	25.6215	Africa	
14550	59.3878	13.4901	Europe	
14565	50.8444	0.11724	Europe	
14665	51.5207	-0.142822	Europe	
14697	52.3834	13.1196	Europe	
14905	39.4207	26.8072	Asia	
15026	51.5207	-0.142822	Europe	
15114	52.3834	13.1196	Europe	
15274	-33.4464	-70.5553	South America	
15315	51.867	0.555831	Europe	
15326	51.5207	-0.142822	Europe	
15798	-21.2133	-47.818	South America	
16018	45.6185	9.21916	Europe	
16159	52.3871	13.1165	Europe	
16161	52.3871	13.1165	Europe	
16375	-7.25109	112.749	Asia	
17171	51.5207	-0.142822	Europe	
17276	52.3834	13.1196	Europe	
17420	48.383	31.1814	Europe	
17523	-23.6828	-46.5955	South America	
17589	60.1422	16.1667	Europe	
17725	52.3834	13.1196	Europe	
17782	53.7172	27.9867	Europe	
17804	3.2044	101.659	Asia	
17807	3.2044	101.659	Asia	
17967	33.3861	-82.0909	North America	
18228	39.4207	26.8072	Asia	
18288	51.5207	-0.142822	Europe	
18310	-8.0436	-34.9394	South America	
18631	53.6424	-1.7902	Europe	
19600	52.3834	13.1196	Europe	
19831	51.5207	-0.142822	Europe	
20121	-22.5806	-45.8213	South America	
20188	59.2841	18.4237	Europe	
20585	51.5207	-0.142822	Europe	
20867	-19.9187	-43.9598	South America	
20869	55.7559	37.5483	Europe	
20896	-19.9187	-43.9598	South America	
21028	38.724	-121.382	North America	
21668	3.14845	101.705	Asia	
21760	-23.513	-51.0998	South America	
22126	61.2104	-149.863	North America	
22250	52.3834	13.1196	Europe	
22519	52.3834	13.1196	Europe	
22588	52.3834	13.1196	Europe	
22708	-23.513	-51.0998	South America	
22768	-30.2911	-56.1623	South America	
22921	39.9112	-8.70048	Europe	
23027	52.3834	13.1196	Europe	
23031	-30.2911	-56.1623	South America	
23267	35.6869	139.756	Asia	
23359	52.3834	13.1196	Europe	
23644	57.7482	12.971	Europe	
23692	51.5207	-0.142822	Europe	
23731	52.3834	13.1196	Europe	
23814	48.8588	2.34701	Europe	
23877	48.5508	2.65604	Europe	
23889	52.3834	13.1196	Europe	
24259	52.3834	13.1196	Europe	
24401	38.8343	-77.0735	North America	
24642	3.14845	101.705	Asia	
24685	48.8588	2.34701	Europe	
24789	29.7468	-95.3901	North America	
24802	-6.22551	106.9	Asia	
24865	35.4377	139.43	Asia	
24876	52.3834	13.1196	Europe	
24901	-23.6828	-46.5955	South America	
24976	-4.1373	104.184	Asia	
25153	22.6263	88.4172	Asia	
25268	52.3834	13.1196	Europe	
25351	58.0811	7.76356	Europe	
25587	52.268	-0.341722	Europe	
25761	19.3284	-99.1525	North America	
25997	51.5207	-0.142822	Europe	
26075	51.5207	-0.142822	Europe	
26217	51.5207	-0.142822	Europe	
26257	57.72	11.9351	Europe	
26455	51.5034	-0.575023	Europe	
26629	48.383	31.1814	Europe	
26631	48.383	31.1814	Europe	
26645	52.3834	13.1196	Europe	
26753	35.664	139.768	Asia	
27036	52.3871	13.1165	Europe	
27334	39.7813	-86.0399	North America	
27473	51.5207	-0.142822	Europe	
27870	-33.4451	-70.6543	South America	
28140	-26.2617	-48.9665	South America	
28149	38.9637	35.2433	Asia	
28414	50.9404	0.366004	Europe	
29039	52.3834	13.1196	Europe	
29219	50.1108	18.55	Europe	
29286	50.1108	18.55	Europe	
29363	48.383	31.1814	Europe	
29547	52.3834	13.1196	Europe	
29835	53.4777	-1.60102	Europe	
29859	-24.7139	-53.7378	South America	
30061	-5.18745	-37.3473	South America	
30555	51.5207	-0.142822	Europe	
30653	-6.86641	107.62	Asia	
30835	19.4325	-99.1534	North America	
31037	41.6322	-87.4409	North America	
31068	41.6321	-87.4409	North America	
31410	51.5207	-0.142822	Europe	
31489	52.3834	13.1196	Europe	
32105	-6.32673	106.729	Asia	
32520	0.572891	101.415	Asia	
32551	18.4059	-66.0597	North America	
32603	55.7559	37.5483	Europe	
32679	-6.91683	106.965	Asia	
32921	51.5427	0.115805	Europe	
33274	48.9106	2.44582	Europe	
33276	52.3834	13.1196	Europe	
33419	1.32674	103.945	Asia	
34352	53.8438	-1.85079	Europe	
34371	-8.0436	-34.9394	South America	
34428	-8.0436	-34.9394	South America	
34535	-8.0436	-34.9394	South America	
34563	-23.6828	-46.5955	South America	
34796	52.3871	13.1165	Europe	
34939	52.3834	13.1196	Europe	
34944	52.3834	13.1196	Europe	
35024	-33.9241	151.228	Oceania	
35234	-5.18745	-37.3473	South America	
35559	51.5207	-0.142822	Europe	
35811	38.2382	-85.6821	North America	
35978	51.5943	-0.352264	Europe	
36128	32.6205	-96.9043	North America	
36152	59.3942	18.6174	Europe	
36302	51.5207	-0.142822	Europe	
36318	31.5729	-84.1658	North America	
36541	-1.74911	102.839	Asia	
36554	51.5436	-0.275154	Europe	
36782	51.5207	-0.142822	Europe	
36992	51.5207	-0.142822	Europe	
37099	-7.23531	-39.471	South America	
37131	52.3834	13.1196	Europe	
37170	52.3871	13.1165	Europe	
37309	51.5207	-0.142822	Europe	
37385	41.8576	-79.1363	North America	
37691	52.3834	13.1196	Europe	
37781	50.9138	-1.40057	Europe	
37841	51.6026	0.523033	Europe	
38015	52.3834	13.1196	Europe	
38151	-34.6132	-58.3772	South America	
38238	39.923	-86.1876	North America	
38409	51.5207	-0.142822	Europe	
38454	52.3834	13.1196	Europe	
38747	-8.0436	-34.9394	South America	
38974	19.4325	-99.1534	North America	
38975	50.5839	17.8031	Europe	
39611	52.3834	13.1196	Europe	
39947	52.3834	13.1196	Europe	
40071	51.9037	-9.03369	Europe	
40271	32.7661	-97.2994	North America	
40662	48.7763	3.71448	Europe	
40712	52.3834	13.1196	Europe	
41059	41.7581	2.06928	Europe	
41132	61.2734	73.4332	Europe	
41319	51.5286	-0.132909	Europe	
41340	52.3834	13.1196	Europe	
41699	38.9116	-77.2203	North America	
41770	52.3834	13.1196	Europe	
41829	51.5207	-0.142822	Europe	
41969	52.0582	4.3378	Europe	
42001	-22.5461	-48.6355	South America	
42057	52.3871	13.1165	Europe	
42186	52.3871	13.1165	Europe	
42499	52.3834	13.1196	Europe	
42583	-15.7763	-47.7966	South America	
42623	59.3446	18.0548	Europe	
42671	54.732	55.971	Europe	
42895	43.0419	-87.9012	North America	
42899	52.3834	13.1196	Europe	
43079	-6.16896	106.827	Asia	
43841	52.3834	13.1196	Europe	
43943	51.5207	-0.142822	Europe	
44242	52.3834	13.1196	Europe	
44281	58.9589	5.66414	Europe	
44540	50.631	3.0472	Europe	
44565	3.14845	101.705	Asia	
44779	52.3834	13.1196	Europe	
45133	-21.2134	-47.818	South America	
45533	52.3834	13.1196	Europe	
45690	59.9394	30.0922	Europe	
45794	51.5207	-0.142822	Europe	
45844	52.3871	13.1165	Europe	
46218	52.3834	13.1196	Europe	
46601	52.3834	13.1196	Europe	
46650	52.3834	13.1196	Europe	
47508	34.0203	-6.83744	Africa	
47546	52.3834	13.1196	Europe	
47798	52.3871	13.1165	Europe	
47875	0.631816	101.416	Asia	
47930	0.631816	101.416	Asia	
48280	37.6359	-1.00074	Europe	
48556	52.3834	13.1196	Europe	
48699	19.0322	-98.1543	North America	
48895	52.3834	13.1196	Europe	
49100	52.3834	13.1196	Europe	
49182	2.70426	101.986	Asia	
49284	-27.6534	-51.0923	South America	
49372	41.6445	2.73283	Europe	
49392	-0.140094	-78.4768	South America	
49511	52.3834	13.1196	Europe	
49606	52.3871	13.1165	Europe	
49631	51.5207	-0.142822	Europe	
49643	52.3834	13.1196	Europe	
49801	-16.6428	-49.2612	South America	
49878	52.3834	13.1196	Europe	
50174	52.3871	13.1165	Europe	
50254	-23.5368	-46.7805	South America	
50265	51.4708	-2.61703	Europe	
50298	41.8126	-87.6092	North America	
50436	-6.90558	107.626	Asia	
50812	51.5207	-0.142822	Europe	
50964	51.5207	-0.142822	Europe	
51049	58.0225	56.1443	Europe	
51091	53.7172	27.9867	Europe	
51199	42.2856	-83.745	North America	
51468	42.6827	-83.3101	North America	
51746	52.3834	13.1196	Europe	
51867	52.3834	13.1196	Europe	
52087	40.341	49.974	Asia	
52202	52.3834	13.1196	Europe	
52281	-22.7241	-47.2901	South America	
52401	41.7597	-88.3011	North America	
52501	39.4207	26.8072	Asia	
52506	-30.0997	-51.1593	South America	
52549	59.3591	17.9483	Europe	
52712	-21.2134	-47.818	South America	
52971	38.5617	-121.461	North America	
53364	48.8588	2.34693	Europe	
54246	52.3834	13.1196	Europe	
54328	43.6608	-79.3531	North America	
54336	52.3871	13.1165	Europe	
54589	52.3834	13.1196	Europe	
54639	-32.0493	-52.1142	South America	
54841	39.7643	-104.855	North America	
55000	49.9038	7.25027	Europe	
55640	40.8636	-79.8953	North America	
55891	-23.1117	-47.1947	South America	
55948	18.1141	-66.159	North America	
55963	51.5207	-0.142822	Europe	
56336	51.5207	-0.142822	Europe	
56907	41.585	9.26626	Europe	
57083	39.4207	26.8072	Asia	
57267	53.5203	49.4315	Europe	
57350	43.6963	7.28711	Europe	
57362	-27.4678	153.002	Oceania	
57460	52.3834	13.1196	Europe	
57637	31.9265	-106.417	North America	
57703	56.1308	12.9738	Europe	
58274	-6.23597	106.988	Asia	
58714	19.3315	-99.16	North America	
58790	50.3881	-4.11457	Europe	
58800	50.3881	-4.11457	Europe	
59107	-7.11837	-34.8246	South America	
59173	52.3834	13.1196	Europe	
59534	50.0163	36.2354	Europe	
59867	-22.0619	-42.3393	South America	
60002	-23.6828	-46.5955	South America	
60084	-23.6828	-46.5955	South America	
60293	37.4133	-122.081	North America	
60560	-2.57242	-59.9803	South America	
60869	55.7559	37.5483	Europe	
60975	40.6566	-4.63498	Europe	
61164	52.3834	13.1196	Europe	
61266	52.3834	13.1196	Europe	
61314	26.1841	-81.7031	North America	
61473	-7.14941	-34.882	South America	
61577	10.6762	122.941	Asia	
61585	19.4679	-70.6636	North America	
61866	39.4207	26.8072	Asia	
62221	45.2482	-75.8001	North America	
62498	41.3654	-88.8394	North America	
62915	59.3942	18.6174	Europe	
63030	-6.36616	106.821	Asia	
63214	52.3834	13.1196	Europe	
63326	18.1163	-66.1405	North America	
63559	51.5207	-0.142822	Europe	
63601	51.5207	-0.142822	Europe	
63779	52.3834	13.1196	Europe	
63860	48.383	31.1814	Europe	
64041	-1.74911	102.839	Asia	
64353	-7.2771	112.717	Asia	
64523	39.9316	-75.2541	North America	
64915	41.5254	-81.5855	North America	
65140	59.9341	30.3287	Europe	
65277	37.7242	-89.2121	North America	
65328	0	0	NULL	
65722	40.3922	-3.69237	Europe	
65943	48.383	31.1814	Europe	
66204	48.7839	2.47037	Europe	
66584	19.6796	-99.0116	North America	
66627	5.39716	100.315	Asia	
66631	56.3431	36.7211	Europe	
66766	52.3834	13.1196	Europe	
66810	-36.7374	-71.0353	South America	
66834	2.20133	102.248	Asia	
66948	48.5692	7.76221	Europe	
67490	52.3834	13.1196	Europe	
67578	-6.13024	106.885	Asia	
67589	41.7932	-72.6829	North America	
67796	52.3834	13.1196	Europe	
67944	55.5855	26.5068	Europe	
68345	52.3834	13.1196	Europe	
68481	10.5048	-66.9057	South America	
68591	52.3871	13.1165	Europe	
68666	30.3449	-81.6832	North America	
68932	-17.7354	-40.5056	South America	
68973	53.7172	27.9867	Europe	
69194	51.4736	5.6531	Europe	
69467	59.2981	17.9838	Europe	
69528	52.3834	13.1196	Europe	
69576	52.3871	13.1165	Europe	
69628	19.0322	-98.1543	North America	
69972	53.4424	-2.23348	Europe	
70061	-1.18851	-47.0957	South America	
70113	1.34695	103.956	Asia	
70280	39.4207	26.8072	Asia	
70329	47.373	1.73509	Europe	
70352	52.3834	13.1196	Europe	
70449	0	0	NULL	
70473	39.4207	26.8072	Asia	
70513	53.706	-1.69504	Europe	
70621	-21.2134	-47.818	South America	
71005	36.6031	-4.54917	Europe	
71162	32.8508	-96.9735	North America	
71704	-1.27293	-48.4598	South America	
71905	-22.5461	-48.6355	South America	
72037	40.0691	45.0382	Asia	
72100	40.7313	-74.1821	North America	
72439	51.5207	-0.142822	Europe	
72446	-36.7374	-71.0353	South America	
72455	-36.7374	-71.0353	South America	
72554	-25.3323	-49.2541	South America	
72619	45.5346	-59.3287	North America	
72630	52.3834	13.1196	Europe	
72855	56.3975	8.55838	Europe	
73102	40.7142	-73.9992	North America	
73279	55.7559	37.5483	Europe	
