Tweet Id 	 Latitude 	 Longitude 	 Continent
871	51.5207	-0.142822	Europe	
956	52.3834	13.1196	Europe	
1180	51.5207	-0.142822	Europe	
1205	-15.7763	-47.7966	South America	
1294	30.3449	-81.6831	North America	
1406	35.1688	136.898	Asia	
1476	36.3998	-78.1593	North America	
1980	19.4417	-99.1942	North America	
2282	51.5207	-0.142822	Europe	
2304	51.5207	-0.142822	Europe	
2310	4.94955	114.842	Asia	
2863	51.7131	5.31818	Europe	
2867	51.5207	-0.142822	Europe	
2871	-6.19018	106.847	Asia	
2911	49.1994	-122.913	North America	
2935	41.3941	2.1393	Europe	
2966	51.5207	-0.142822	Europe	
3081	-7.76838	110.389	Asia	
3136	52.3834	13.1196	Europe	
3311	-6.69493	-35.5978	South America	
3399	56.5904	59.9662	Europe	
3481	-12.0857	-76.9967	South America	
3555	-22.916	-43.4473	South America	
3611	51.5207	-0.142822	Europe	
3784	51.5207	-0.142822	Europe	
3911	-29.9153	-51.1771	South America	
3923	51.5207	-0.142822	Europe	
3996	39.4207	26.8072	Asia	
4009	2.98355	101.54	Asia	
4012	51.5207	-0.142822	Europe	
4174	32.7237	-97.5	North America	
4179	58.5534	31.2773	Europe	
4187	-15.7763	-47.7966	South America	
4317	-29.553	-52.2026	South America	
4541	51.5207	-0.142822	Europe	
4632	51.5207	-0.142822	Europe	
4656	60.9716	25.689	Europe	
4852	51.5207	-0.142822	Europe	
4950	-23.6828	-46.5955	South America	
4983	-23.6828	-46.5955	South America	
4990	52.3871	13.1165	Europe	
5094	-23.6828	-46.5955	South America	
5107	20.9146	-89.6025	North America	
5119	51.5207	-0.142822	Europe	
5140	51.5207	-0.142822	Europe	
5397	51.5207	-0.142822	Europe	
5427	40.0565	-83.0353	North America	
5456	10.6149	122.97	Asia	
5487	-23.6828	-46.5955	South America	
5558	52.3834	13.1196	Europe	
5714	41.6194	-93.547	North America	
5759	34.0203	-6.83744	Africa	
5768	52.0828	-0.739571	Europe	
5837	-23.2969	-45.9737	South America	
5871	52.5055	4.86152	Europe	
5889	51.5207	-0.142822	Europe	
6047	-33.4336	-70.6556	South America	
6067	-25.3849	-49.2596	South America	
6078	51.3819	-0.282529	Europe	
6117	51.5207	-0.142822	Europe	
6219	3.14845	101.705	Asia	
6224	51.5207	-0.142822	Europe	
6317	-22.8041	-43.2957	South America	
6471	51.5207	-0.142822	Europe	
6566	-3.78965	-38.5199	South America	
6615	-26.2617	-48.9665	South America	
6726	51.5207	-0.142822	Europe	
6774	51.5207	-0.142822	Europe	
6796	51.5207	-0.142822	Europe	
6807	51.5207	-0.142822	Europe	
6814	40.7695	-73.9676	North America	
6935	51.5207	-0.142822	Europe	
6940	51.5207	-0.142822	Europe	
6961	51.5207	-0.142822	Europe	
6994	51.5207	-0.142822	Europe	
7130	51.5207	-0.142822	Europe	
7182	-22.916	-43.4474	South America	
7213	51.5207	-0.142822	Europe	
7326	40.7695	-73.9676	North America	
7360	-33.4357	-70.6516	South America	
7512	51.5117	-0.162971	Europe	
7595	52.3834	13.1196	Europe	
7720	1.5254	103.838	Asia	
7886	51.5207	-0.142822	Europe	
7970	-7.94794	112.565	Asia	
8119	51.5207	-0.142822	Europe	
8182	-16.6428	-49.2612	South America	
8319	51.5207	-0.142822	Europe	
