Tweet Id 	 Latitude 	 Longitude 	 Continent
149	52.3834	13.1196	Europe	
484	25.8931	-80.1657	North America	
495	51.5207	-0.142822	Europe	
536	52.3834	13.1196	Europe	
655	52.3834	13.1196	Europe	
1034	52.3834	13.1196	Europe	
1183	52.0769	4.3064	Europe	
1205	-15.7763	-47.7966	South America	
1341	52.0046	4.21273	Europe	
1406	35.1688	136.898	Asia	
1872	53.7172	27.9867	Europe	
1980	19.4417	-99.1942	North America	
2020	51.5207	-0.142822	Europe	
2045	-23.6828	-46.5955	South America	
2304	51.5207	-0.142822	Europe	
2464	39.4207	26.8072	Asia	
2526	51.5207	-0.142822	Europe	
2574	51.5207	-0.142822	Europe	
2783	52.3834	13.1196	Europe	
2863	51.7131	5.31818	Europe	
2888	38.9637	35.2433	Asia	
2911	49.1994	-122.913	North America	
2965	52.3834	13.1196	Europe	
3018	-6.16896	106.827	Asia	
3047	51.5207	-0.142822	Europe	
3136	52.3834	13.1196	Europe	
3142	51.5207	-0.142822	Europe	
3179	-6.69493	-35.5978	South America	
3197	13.0061	77.5625	Asia	
3265	-6.69493	-35.5978	South America	
3294	-6.69493	-35.5978	South America	
3311	-6.69493	-35.5978	South America	
3481	-12.0857	-76.9967	South America	
3518	-28.3733	-53.904	South America	
3546	33.769	-117.969	North America	
3796	59.3336	17.98	Europe	
3936	52.3871	13.1165	Europe	
3996	39.4207	26.8072	Asia	
4009	2.98355	101.54	Asia	
4174	32.7237	-97.5	North America	
4179	58.5534	31.2773	Europe	
4814	51.5207	-0.142822	Europe	
4830	51.5207	-0.142822	Europe	
4853	51.5207	-0.142822	Europe	
4868	43.5238	13.5472	Europe	
4896	-36.7374	-71.0353	South America	
4983	-23.6828	-46.5955	South America	
5034	51.5207	-0.142822	Europe	
5090	39.4207	26.8072	Asia	
5107	20.9146	-89.6025	North America	
5195	39.4672	-0.389292	Europe	
5346	51.5207	-0.142822	Europe	
5397	51.5207	-0.142822	Europe	
5416	51.5207	-0.142822	Europe	
5427	40.0565	-83.0353	North America	
5428	51.5207	-0.142822	Europe	
5456	10.6149	122.97	Asia	
5457	-6.90558	107.626	Asia	
5490	51.5207	-0.142822	Europe	
5558	52.3834	13.1196	Europe	
5578	51.5207	-0.142822	Europe	
5714	41.6194	-93.547	North America	
5870	-23.2969	-45.9737	South America	
5907	-23.2969	-45.9737	South America	
5912	52.3834	13.1196	Europe	
5938	52.3871	13.1165	Europe	
6067	-25.3849	-49.2596	South America	
6224	51.5207	-0.142822	Europe	
6253	-22.916	-43.4474	South America	
6507	52.3834	13.1196	Europe	
6541	52.3834	13.1196	Europe	
6566	-3.78965	-38.5199	South America	
6649	52.3834	13.1196	Europe	
6776	51.5106	5.39844	Europe	
6828	52.3834	13.1196	Europe	
7199	52.3834	13.1196	Europe	
7248	51.5207	-0.142822	Europe	
7258	43.3395	16.8142	Europe	
7323	52.3871	13.1165	Europe	
7326	40.7695	-73.9676	North America	
7595	52.3834	13.1196	Europe	
7602	52.3871	13.1165	Europe	
7970	-7.94794	112.565	Asia	
7988	53.2109	5.67335	Europe	
8319	51.5207	-0.142822	Europe	
8407	40.6974	-73.9797	North America	
8422	52.3834	13.1196	Europe	
8440	40.6974	-73.9797	North America	
8493	40.6974	-73.9797	North America	
