Tweet Id 	 Latitude 	 Longitude 	 Continent
257	27.7	-97.3897	North America	
1045	37.5012	-77.3899	North America	
1247	55.7559	37.5483	Europe	
1310	49.1994	-122.913	North America	
1349	52.3834	13.1196	Europe	
1389	49.1994	-122.913	North America	
2644	49.1994	-122.913	North America	
2676	53.156	6.37757	Europe	
2742	49.1994	-122.913	North America	
2821	39.4207	26.8072	Asia	
2968	39.4207	26.8072	Asia	
3206	35.8469	-78.0069	North America	
3260	33.6017	-7.60975	Africa	
3787	39.4207	26.8072	Asia	
3970	51.5207	-0.142822	Europe	
4040	14.6268	-61.0749	North America	
4111	48.8588	2.34693	Europe	
4196	51.5207	-0.142822	Europe	
4295	39.4207	26.8072	Asia	
4412	51.5207	-0.142822	Europe	
4543	34.2465	-118.446	North America	
5387	42.3527	-83.0992	North America	
5575	-7.9725	112.629	Asia	
5925	51.5207	-0.142822	Europe	
6004	49.1994	-122.913	North America	
6963	51.5207	-0.142822	Europe	
7970	-7.94794	112.565	Asia	
8351	39.4207	26.8072	Asia	
8970	39.4207	26.8072	Asia	
9731	49.1994	-122.913	North America	
9768	53.3475	6.64443	Europe	
9829	51.5207	-0.142822	Europe	
10494	51.5207	-0.142822	Europe	
10763	51.5207	-0.142822	Europe	
10819	1.34884	103.957	Asia	
10824	1.34884	103.957	Asia	
10887	51.5207	-0.142822	Europe	
11014	-25.4951	-49.2884	South America	
12123	52.1617	6.39468	Europe	
12133	52.1627	6.39776	Europe	
12157	49.1994	-122.913	North America	
12232	41.8005	-88.1675	North America	
12275	49.1994	-122.913	North America	
12398	-36.7374	-71.0353	South America	
13023	51.5207	-0.142822	Europe	
13214	6.89258	79.9812	Asia	
13226	51.5207	-0.142822	Europe	
14606	37.2968	-121.817	North America	
14867	39.4207	26.8072	Asia	
15306	30.0813	31.413	Africa	
15536	19.2708	-99.6499	North America	
15960	-6.16896	106.827	Asia	
16285	53.2147	6.56066	Europe	
16427	39.4207	26.8072	Asia	
16916	-26.1672	28.1599	Africa	
17867	3.14845	101.705	Asia	
18276	-29.9006	30.9726	Africa	
18337	52.1638	5.39551	Europe	
18577	34.7016	-86.6036	North America	
18955	49.1994	-122.913	North America	
18993	48.957	2.54143	Europe	
18997	49.1994	-122.913	North America	
19749	51.5207	-0.142822	Europe	
20056	51.5207	-0.142822	Europe	
21388	36.9308	-76.2397	North America	
22568	52.4472	5.21763	Europe	
22693	32.7139	-117.226	North America	
22796	44.8638	-0.586176	Europe	
23232	52.3871	13.1165	Europe	
23569	48.8843	2.41459	Europe	
23757	48.9456	2.36827	Europe	
24897	38.7577	-77.4595	North America	
25457	51.5207	-0.142822	Europe	
26275	3.14853	101.705	Asia	
26436	-7.2771	112.717	Asia	
27455	-7.13384	110.409	Asia	
27852	33.8918	-117.236	North America	
28002	-6.16896	106.827	Asia	
28028	45.4512	9.2037	Europe	
28327	-1.16096	116.877	Asia	
28449	48.5846	2.56998	Europe	
28451	48.8588	2.34701	Europe	
29345	52.3871	13.1165	Europe	
29609	51.5207	-0.142822	Europe	
29628	-7.11619	110.417	Asia	
29916	-6.69493	-35.5978	South America	
30254	51.5207	-0.142822	Europe	
30359	52.5467	13.4057	Europe	
31190	51.5207	-0.142822	Europe	
31700	59.3578	18.003	Europe	
32371	51.5207	-0.142822	Europe	
32516	40.18	-80.2393	North America	
32533	0.247298	-51.0637	South America	
33037	-7.2771	112.717	Asia	
33487	51.5207	-0.142822	Europe	
33520	35.7068	139.743	Asia	
34076	53.8028	-1.52021	Europe	
34378	51.5207	-0.142822	Europe	
34448	51.5207	-0.142822	Europe	
34493	42.2686	-83.1487	North America	
35760	2.04811	103.382	Asia	
35783	52.2004	-0.958179	Europe	
36042	51.5207	-0.142822	Europe	
36095	51.5207	-0.142822	Europe	
37296	52.0571	5.31776	Europe	
38469	35.2035	-80.8361	North America	
38572	39.4207	26.8072	Asia	
38879	52.3871	13.1165	Europe	
38911	2.88622	101.366	Asia	
38924	51.5207	-0.142822	Europe	
39203	48.6297	2.44188	Europe	
39409	38.2753	24.508	Europe	
39789	51.5207	-0.142822	Europe	
39922	44.4834	11.3747	Europe	
40002	34.063	-118.441	North America	
40100	-23.6496	-46.8549	South America	
40661	51.5207	-0.142822	Europe	
41182	-25.4951	-49.2884	South America	
41250	-6.88973	107.664	Asia	
41313	52.3834	13.1196	Europe	
41868	30.4454	-84.2453	North America	
41950	52.9483	4.77601	Europe	
42428	51.9833	5.91225	Europe	
42624	35.3579	-80.6352	North America	
42874	52.3871	13.1165	Europe	
43047	-6.16896	106.827	Asia	
43593	33.1309	-91.9613	North America	
44326	32.4839	-99.7454	North America	
44455	51.7502	-2.90373	Europe	
45390	51.5207	-0.142822	Europe	
45728	51.5207	-0.142822	Europe	
46041	52.3871	13.1165	Europe	
46478	-5.99643	106.009	Asia	
46580	39.4207	26.8072	Asia	
46771	51.5207	-0.142822	Europe	
46941	48.8588	2.34701	Europe	
47680	39.4207	26.8072	Asia	
48521	19.6527	-101.276	North America	
49557	51.0386	3.39247	Europe	
49987	52.3871	13.1165	Europe	
50615	37.8476	-4.67425	Europe	
51012	39.4207	26.8072	Asia	
52373	48.1159	-1.68833	Europe	
52924	51.5207	-0.142822	Europe	
53104	51.5161	-0.393325	Europe	
53239	41.7581	2.06928	Europe	
53261	38.7995	-90.3408	North America	
53513	51.5207	-0.142822	Europe	
53725	51.5207	-0.142822	Europe	
53738	51.5975	-0.263999	Europe	
53907	52.8085	6.92526	Europe	
53996	39.4207	26.8072	Asia	
54059	0.247298	-51.0637	South America	
54457	50.861	5.81868	Europe	
54942	51.5207	-0.142822	Europe	
55137	41.8008	-88.1673	North America	
55457	48.6189	2.97564	Europe	
55531	38.9262	-76.8878	North America	
55669	51.5207	-0.142822	Europe	
55874	-6.29538	106.654	Asia	
56579	59.9394	30.0922	Europe	
56960	53.2218	6.56477	Europe	
57307	51.5207	-0.142822	Europe	
57532	41.817	-71.4212	North America	
58259	52.3871	13.1165	Europe	
59426	49.1994	-122.913	North America	
59542	29.6132	-98.2624	North America	
59967	50.3881	-4.11457	Europe	
60365	40.6974	-73.9797	North America	
60416	51.5207	-0.142822	Europe	
60502	51.5207	-0.142822	Europe	
60611	-7.97656	112.628	Asia	
62078	19.3991	-99.0965	North America	
62396	-7.7925	110.909	Asia	
62657	-6.10636	106.928	Asia	
62871	30.0375	31.0145	Africa	
62875	30.0375	31.0145	Africa	
62947	2.71563	101.953	Asia	
63215	39.4207	26.8072	Asia	
63896	51.5207	-0.142822	Europe	
64145	45.6016	9.11364	Europe	
65032	51.5207	-0.142822	Europe	
65601	51.5207	-0.142822	Europe	
65608	51.5207	-0.142822	Europe	
65780	39.4207	26.8072	Asia	
65850	59.3664	18.0104	Europe	
65908	3.05122	101.559	Asia	
66012	59.3312	18.0566	Europe	
66365	-23.6828	-46.5955	South America	
67162	51.5207	-0.142822	Europe	
67593	39.4207	26.8072	Asia	
67777	51.5207	-0.142822	Europe	
69010	3.58111	98.6676	Asia	
69914	39.4207	26.8072	Asia	
70648	51.5207	-0.142822	Europe	
70823	-6.28598	106.867	Asia	
70938	51.7909	5.44432	Europe	
70976	3.14853	101.705	Asia	
71275	51.5207	-0.142822	Europe	
72250	34.6222	-89.9727	North America	
72309	51.5207	-0.142822	Europe	
73068	49.1994	-122.913	North America	
73710	3.03297	101.654	Asia	
73831	39.4207	26.8072	Asia	
74403	51.7289	5.45244	Europe	
74898	39.4207	26.8072	Asia	
75449	55.6886	37.5463	Europe	
75944	52.3871	13.1165	Europe	
76256	39.4207	26.8072	Asia	
77157	-7.80284	110.375	Asia	
77530	3.14845	101.705	Asia	
77531	52.5055	4.86152	Europe	
78697	51.5207	-0.142822	Europe	
79249	4.64713	101.203	Asia	
79356	48.798	2.30929	Europe	
79608	-0.789275	113.921	Asia	
